@Theta_1,Alpha_1,LowBeta_1,HighBeta_1,Gamma_1,Theta_2,Alpha_2,LowBeta_2,HighBeta_2,Gamma_2,Theta_3,Alpha_3,LowBeta_3,HighBeta_3,Gamma_3,Theta_4,Alpha_4,LowBeta_4,HighBeta_4,Gamma_4,Theta_5,Alpha_5,LowBeta_5,HighBeta_5,Gamma_5,Theta_6,Alpha_6,LowBeta_6,HighBeta_6,Gamma_6,Theta_7,Alpha_7,LowBeta_7,HighBeta_7,Gamma_7,Theta_8,Alpha_8,LowBeta_8,HighBeta_8,Gamma_8,Theta_9,Alpha_9,LowBeta_9,HighBeta_9,Gamma_9,Theta_10,Alpha_10,LowBeta_10,HighBeta_10,Gamma_10,Theta_11,Alpha_11,LowBeta_11,HighBeta_11,Gamma_11,Theta_12,Alpha_12,LowBeta_12,HighBeta_12,Gamma_12,Theta_13,Alpha_13,LowBeta_13,HighBeta_13,Gamma_13,Theta_14,Alpha_14,LowBeta_14,HighBeta_14,Gamma_14,Theta_15,Alpha_15,LowBeta_15,HighBeta_15,Gamma_15,Theta_16,Alpha_16,LowBeta_16,HighBeta_16,Gamma_16,Theta_17,Alpha_17,LowBeta_17,HighBeta_17,Gamma_17,Theta_18,Alpha_18,LowBeta_18,HighBeta_18,Gamma_18,Theta_19,Alpha_19,LowBeta_19,HighBeta_19,Gamma_19,Theta_20,Alpha_20,LowBeta_20,HighBeta_20,Gamma_20,Theta_21,Alpha_21,LowBeta_21,HighBeta_21,Gamma_21,Theta_22,Alpha_22,LowBeta_22,HighBeta_22,Gamma_22,Theta_23,Alpha_23,LowBeta_23,HighBeta_23,Gamma_23,Theta_24,Alpha_24,LowBeta_24,HighBeta_24,Gamma_24,Theta_25,Alpha_25,LowBeta_25,HighBeta_25,Gamma_25,Theta_26,Alpha_26,LowBeta_26,HighBeta_26,Gamma_26,Theta_27,Alpha_27,LowBeta_27,HighBeta_27,Gamma_27,Theta_28,Alpha_28,LowBeta_28,HighBeta_28,Gamma_28,Theta_29,Alpha_29,LowBeta_29,HighBeta_29,Gamma_29,Theta_30,Alpha_30,LowBeta_30,HighBeta_30,Gamma_30,Theta_31,Alpha_31,LowBeta_31,HighBeta_31,Gamma_31,Theta_32,Alpha_32,LowBeta_32,HighBeta_32,Gamma_32,class
577.41,420.83,266.48,144.06,108.7,638.94,449.58,289.84,150.84,101.15,674.15,465.29,311.94,163.41,105.59,654.28,487.78,259.65,156.13,124.34,515.91,321.78,202.55,119.71,105.14,454.56,324.9,224.15,127.41,83.5,470.35,325.72,177.23,139.03,101.79,713.4,502.47,311.47,233.45,225.06,426.77,396.46,194.82,137.27,105.36,310.89,298.29,164.61,102.5,67.448,696.01,506.58,243.9,151.01,123.02,565.88,541.79,271.68,192.3,169.41,517.11,580.49,230.55,152.38,125.18,605.93,525.19,281.96,203.17,182.22,608.58,475.84,231.17,148.48,119.11,375.4,418.78,190.24,100.49,71.004,749.25,455.24,280.2,159.16,114.38,637.97,425.34,232.69,153.11,127.68,671.6,456.18,250.12,130.5,82.866,737.51,476.84,279.58,152.28,101.83,597.5,437.49,287.4,155.81,119.12,472.1,381.65,216.29,129.63,98.054,610.76,399.31,226.91,135.11,88.235,371.86,257.06,192.32,132.32,68.518,456.2,332.02,202.93,130.88,94.276,700.88,461.39,244.7,200.04,156.52,329.19,349.96,190.41,122.73,95.001,335.17,297.34,191.3,104.65,64.627,805.63,555.11,274.41,178.53,136.28,406.35,403.57,210.34,145.67,130.23,706.75,570.72,249.32,155.29,107.05,630.63,518.53,232.5,136.65,93.971,1
593.15,346.42,274.33,146.87,130.21,698.94,394.8,284.39,136.3,106.97,745.89,403.11,293.97,152.41,110.8,749.84,416.37,309.96,228.64,218,477.76,303.46,189.34,131.9,109.77,573.27,276.26,233.73,103.7,83.27,598.8,321.31,195.38,127.9,101.78,873.91,454.5,320.81,216.43,252.95,482.76,354.87,202.46,131.53,105.88,342.96,256.49,165.29,103.63,75.344,818.23,454.35,239.63,141.92,116.17,571.02,431.22,230.07,164.42,142.73,541.4,454.12,219.72,120.65,105.45,624.41,435.31,226.16,144.36,121.6,649.77,444.68,216.23,128.56,103.94,375.5,324.73,185.12,87.595,74.529,821.46,434.84,282.61,157.51,129,728.55,371.95,236.78,153.82,126.08,693.2,365.19,263.25,114.13,83.436,756.23,498.44,295.42,157.97,101.99,632,422.41,267.84,188.74,139.33,481.6,374.93,218.89,143.56,100.69,636.9,380.77,256.93,133.13,82.062,397.05,235.39,210.94,127.62,64.694,554.55,355.6,214.96,135.33,89.45,771.08,455.12,254.94,181.12,172.43,307.66,301.44,208.68,120.39,94.086,359.7,254.45,158.33,106.79,61.497,949.3,474.7,290.74,165.36,133,404.92,349.96,237.74,159.24,154.7,811.18,497.11,264.94,137.58,107.84,685,475.63,228.01,130.69,101.22,1
489.82,434.17,274.39,107.21,95.955,671.04,439.64,274.37,75.878,32.482,659.19,390.96,233.5,-0.54463,-42.453,482.52,456.62,239,97.798,85.667,415.92,378.23,168.64,95.238,-3.1843,384.78,293.38,205.21,55.546,-2.5842,510.6,351.77,171.21,65.845,36.583,717.5,468.24,280.84,188.66,187.81,414.38,376.88,175.42,109.83,85.255,269.7,335.83,191.06,114.59,54.498,778.65,528.21,244.86,127.16,92.157,494.37,484.69,266.86,186.1,157.9,428.35,534.58,214.46,121.86,67.217,504.1,487.22,216.79,111.37,73.831,558.03,502.79,228.88,100.35,79.994,310.73,389.41,186.52,101.26,55.494,693.04,441.91,282.49,158.45,104.58,551.75,383.73,233.37,133.23,71.687,580.17,392.54,286.59,130.54,60.151,706.77,432.95,250.91,109.94,79.329,471.52,433.97,263.44,86.649,27.993,322,262.7,152.14,11.24,-3.7001,515,367.18,267.53,104.97,64.684,266.15,270.14,226.62,133.82,62.994,408.34,339.4,181.23,79.858,20.948,521.26,258.5,119.93,90.344,9.0106,321.11,287.34,152.78,64.558,-18.205,266.82,311.43,184.99,104.04,52.143,946.33,502.03,261.79,125.66,92.849,385.38,398.24,212.32,102.73,96.42,800.59,552.22,245.15,113.27,91.277,636.31,565.62,236.02,109.36,88.64,1
554.07,401.75,275.32,184.17,138.88,712.8,472.75,297.14,161.79,113.2,775.86,511.86,306.36,157.72,110.37,677.71,411.79,273.54,161.99,149.38,483.36,358.45,203.87,117.93,98.679,574.72,404.13,229.93,132.01,93.043,521.42,431.36,223.3,133.42,110.39,793.29,505.52,343.14,200.4,253.96,452.18,435.82,215.36,151.27,118.93,366.15,359.88,189.45,111.8,75.955,837.47,544.88,228.52,143.4,134,598.65,591.25,255.87,198.64,184.93,579.19,536.15,216.76,133.31,91.478,673.4,526.87,232.26,131.98,112.65,676.61,521.16,246.09,138.65,125.06,333.46,408.9,180.39,105.82,68.926,758.05,408.89,264.56,172.24,130.36,690.29,418.87,253.87,179.08,132.51,761.17,519.81,265.84,131.78,82.787,849.14,524.27,296.98,153.88,117.53,534.03,396.39,282.45,187.36,160.76,477.79,363.03,239.01,139.2,103.91,683.92,477,267.96,125.3,87.922,383.58,327.5,218.81,130.43,70.125,533.01,430.61,252.09,139.67,95.51,775.29,482.89,282.19,168.17,141.49,410.03,425.17,225.36,130.8,97.059,314.93,351.35,191.09,120.87,68.414,963.15,562.86,277.85,170.64,146.52,480.8,511.69,264.68,186.43,156.73,827.9,635.19,255.74,144.17,128.65,733.86,638.22,258.94,163.62,144.33,-1
631.46,342.03,238.95,156.43,97.217,814.38,362.95,271.48,154.87,95.767,871.97,409.73,320.99,186.94,118.29,858.82,419.18,328.09,231.19,228.35,578.1,307.38,209.34,133.36,139.91,561.18,315.24,220.23,136.24,85.11,651.12,258.59,205.96,137.42,101.37,1041.5,443.16,363.26,226.77,235.76,520.79,300.35,193.2,116.8,94.597,402.87,202.63,159.73,115.36,72.253,924.68,327.87,210.57,134.87,104.82,585.76,422.55,232.62,162.22,144.13,516.54,402.55,199.94,128.66,101.09,534.18,420.01,217.14,160.3,133.89,559.2,416.88,205.37,126.06,101.59,360.04,281.45,174.4,112.47,72.985,951.77,373.18,258.45,171.37,107.52,848.42,367.81,226.87,144.54,103.62,774.41,378.68,244.8,144.26,86.311,883,386.74,253.52,146.11,100.1,565.43,377.1,279.02,174.44,132.08,538.66,347.21,248.17,161.38,126.58,679.76,326.12,213.65,138.4,90.192,375.12,251.08,197.44,141.52,74.432,585.4,292.69,241.26,159.5,125.9,889.94,439.83,309.28,217.05,184.5,398.24,258.7,211.48,133.47,98.862,314.53,187.17,174.32,117.58,75.478,1171.2,378.74,263.74,163.72,113.41,476.94,361.72,220.72,153.85,138.04,917.59,430.98,233.41,142.42,100.19,673.09,451.33,214.72,114.91,94.063,-1
496.24,467.1,267.27,160.17,106.56,499.46,514.71,293.55,135.93,78.188,516.54,517.81,319.79,165.6,96.581,526.04,478.14,253.2,156.38,105.15,319.28,356.58,206.68,119.56,85.088,375.88,354.88,226.47,126.88,86.001,298.85,348.65,210.7,119.07,94.836,386.32,512.7,321.24,231.29,236.65,393.92,461.83,239.72,139.42,119.36,329.81,328.82,187.53,106.39,66.249,301.87,554.06,273.59,140.82,114.59,568.29,619.88,308.48,229.09,215.65,450.35,621.41,250.27,145.43,111.45,530.68,523.96,256.62,188.8,155.68,558.83,506.27,231.48,158.85,108.05,354.68,437.58,177.2,104.72,61.371,457.02,511.56,292.59,171.58,121.91,469.49,427.15,245.33,154.65,126.12,787.07,526.6,282.01,146.5,81.346,661.53,548.33,286.66,166.68,109.63,607.8,475.83,273.93,185.54,139,442.19,390.75,239.54,140.28,98.956,676.08,441.44,263.52,141.86,83.122,460.1,276.63,220.58,146.71,70.595,370.4,420.24,222.89,131.06,91.526,530.36,425.99,275.48,173.13,140.69,433.65,430.31,230.4,130.55,97.191,361.83,344.8,178.99,108.57,63.594,346.86,485.82,271.87,165.77,120.77,544,471.33,267.68,205.25,169.22,452.87,553.75,247.99,138.72,96.82,595.68,537.06,233.03,135.79,92.785,-1
702.45,415.27,302.28,210.89,171.43,859.44,432.42,313.26,168.44,146.79,897.9,460.01,320.4,169.38,142.17,735.44,475.56,272.62,162.66,131.91,563.41,393.52,201.83,138.54,103.54,678.99,316.52,221.79,140.2,93.732,481.34,328.89,185.32,149.08,112.07,799.07,560.48,355.88,260.38,265.34,490.04,421.1,224.38,177.05,159.56,326,282.91,177.31,128.21,66.618,901.71,533.21,263.19,166.5,146.19,811.14,573.42,317.38,266.85,266.18,626.32,611.56,240.28,138.09,110.48,704.71,550.4,259.03,172.67,151.55,759.61,553.04,233.52,129.46,115.14,437.11,431.24,190.64,105.54,66.298,1069.1,519.94,324.27,225.76,202.04,988.85,445.78,274.09,185.16,162.22,1180.6,464.31,277.39,127.64,82.664,1156.4,544.84,323.73,193.96,149.92,591.5,478.31,353.42,252.5,237.63,468.39,418.43,266.11,195.25,159.66,979.32,448.59,247.92,134.66,89.38,456.29,280.45,176.69,139.67,69.647,533.73,409.95,208.51,144.44,104.39,797.83,488.7,288.74,200.14,176.14,450.62,375.59,190.03,149.5,122,373.57,311.51,170.71,123.96,67.758,992.62,527.7,277.36,193.05,165.67,624.67,448.82,283.1,260.92,248.93,900.28,577.12,252.28,149.84,127.92,791.27,572.78,235.01,134.36,106.28,-1
455.02,362.68,262.88,150.54,106.86,568.53,411.58,284.52,160.43,94.813,591.54,429.48,312.77,170.95,108.38,572.87,371.91,266.17,144.42,122.09,404.35,285.14,190.26,104,93.281,453.5,267,227.6,133.55,89.338,381.82,291.74,192.23,119.76,101.52,683.42,424.5,300.05,258.21,240.57,415.5,322.99,188.26,102.96,90.751,256.49,262.99,158.48,101.31,64.339,622.78,432.81,231.95,137.7,125.23,551.08,313.38,221.82,118.06,103.76,510.4,477.81,203.69,124.03,84.673,613.36,418.17,221.21,132.42,93.488,624.79,430.35,226.21,150.2,110.22,307.33,354.34,161.92,101.41,67.166,685.78,421.92,253.78,156.04,115.91,659.15,389.31,239.41,155.15,124.72,818.3,463.06,275.09,140.1,79.567,797.11,494.98,268.47,146.28,108.69,495.58,361.46,231.1,163.97,107.59,425.94,326.66,196.84,127.76,87.159,671.1,386.72,255.3,138.81,82.77,308.07,199.08,196.84,138.62,67.619,375.39,259.31,204.81,120.53,86.654,613.08,392.33,290.13,202.06,171.97,317.28,264.85,180,110.16,83.06,236.9,164.36,154.58,97.893,62.959,698.34,370.14,260.02,182.16,143.06,394.45,292.94,179.42,139.42,103.02,654.71,421.68,237.69,153.44,120.83,618.7,404.04,238.01,159.26,130.51,1
502.43,307.33,277.41,145.04,116.06,530.18,314.02,287.78,148.45,104.76,534.9,308.45,299.24,163.18,109.17,601.59,324.84,270.63,162.06,141.71,451.64,262.38,203.38,131.74,119.21,385.05,237.93,231.21,143.74,98.444,410.87,276.48,186.34,130.95,112.58,713.25,449.98,329.56,299.21,302.09,416.94,366.06,219.48,140.94,127.15,242.52,277.05,158.55,105.48,65.119,614.9,449.5,231.22,161.91,141.6,419.19,471.66,299.86,201.64,210.03,423.54,453.64,224.43,145.72,116.37,431.2,454.08,255.34,189.98,162.46,425.13,397.36,231.86,154.6,121.33,294.4,233.62,166.26,101.73,68.028,707.59,383.19,277.66,159.48,124.08,618.79,361.4,254.35,182.15,143.31,557.13,328.91,257.59,137.22,84.597,605.71,374.04,274.01,171.51,118.31,528.98,359.96,284.13,171.44,116.6,391.93,346.49,217.08,139.23,93.408,428.54,303.37,233.48,127.67,89.501,249.59,222.73,211.49,141.93,67.48,285.43,290.16,183.29,128.44,95.311,586.9,401.31,264.51,203.79,186.46,226.47,267.22,197.52,118.81,96.326,168.57,189.12,167.37,94.365,63.366,684.32,351.05,260.45,187.89,163.11,261.58,351.15,287.2,213.14,182.49,538.5,382.05,233.55,154.5,125.38,422.83,435.06,227.39,145.24,118.91,1
528.17,331.24,235.92,150.24,119.56,616.15,380.47,262.98,145.76,97.377,676.13,402.8,284.86,152.46,97.745,636.33,427.23,236.97,180.11,157.75,478.1,310.9,192.45,119.01,89.747,457.85,314.14,226.86,120.01,81.982,409.98,308.23,200.6,123.69,87.037,680.21,482.31,335.14,231.22,247.12,379.63,339.41,197.59,127.88,90.496,274.61,238.85,167.45,103.07,67.926,720.36,444.09,243.67,139.72,107.27,481.73,433.36,241.52,143.24,116.19,498.59,439.68,226.06,123.97,93.663,540.6,417.1,239.23,134.78,110.56,522.08,376.06,216.64,114.28,92.443,359.72,290.23,170.56,94.819,77.619,697.68,408.35,280.97,158.77,119.83,592.59,351.82,246.74,143.8,110.66,581.69,360.48,249.94,127.17,78.078,659.93,399.46,295.74,146.16,98.057,469.92,330.44,285.86,170.18,125.71,367.82,308.73,235.33,131.58,90.191,529.03,349.98,248.95,138.81,81.374,349.6,247.23,208.79,128.33,74.612,411.05,354.5,213.06,133.35,80.419,618,399.9,283.74,184.36,173.06,270.93,325.5,191.9,126.43,87.513,285.12,287.32,179.75,114.06,66.322,818.83,506.87,259.03,156.93,120.87,378.36,333.61,196.39,141.87,111.49,712.06,484.35,231.06,131.3,99.637,573.02,440.02,216.81,113.58,85.048,1
