@relation dominance

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
6.3366,6.1316,5.683,5.1025,4.7798,6.4275,6.1661,5.7603,5.1394,4.7535,6.4685,6.2333,5.8503,5.1942,4.7926,6.4871,6.2299,5.6597,5.1682,4.8792,6.2017,5.9025,5.3747,4.9343,4.6966,6.1659,5.8993,5.5264,4.972,4.5858,6.246,6.0304,5.3734,5.0388,4.7112,6.5742,6.2547,5.8744,5.535,5.5068,6.1404,6.1582,5.4743,5.0771,4.8141,5.8913,5.8515,5.294,4.8092,4.3275,6.5269,6.314,5.6102,5.1663,4.9235,6.3538,6.3751,5.7448,5.4015,5.2419,6.289,6.459,5.5785,5.1695,4.9345,6.4085,6.38,5.7156,5.4446,5.2765,6.4463,6.2856,5.578,5.1214,4.8812,6.0084,6.0554,5.3822,4.7758,4.3456,6.5603,6.1983,5.7622,5.1891,4.8594,6.4525,6.1341,5.6543,5.216,4.9627,6.552,6.1981,5.6835,4.9983,4.555,6.605,6.2519,5.7545,5.1346,4.7636,6.3968,6.1832,5.8002,5.1889,4.886,6.1871,6.0697,5.5739,5.0606,4.7051,6.4351,6.1024,5.6213,5.0295,4.6029,5.9798,5.6589,5.425,5.0426,4.3379,6.153,6.0131,5.4877,5.0548,4.6474,6.5892,6.2417,5.6863,5.308,5.1022,5.9233,6.041,5.4354,4.9531,4.6419,5.8851,5.8386,5.3085,4.8276,4.29,6.6606,6.3525,5.7101,5.2266,4.9935,6.1693,6.1391,5.5475,5.0725,4.9784,6.5576,6.3973,5.6518,5.1001,4.7475,6.4741,6.3437,5.5825,5.0223,4.6531,1
6.4718,6.223,5.7122,5.1868,4.9315,6.6346,6.2732,5.7569,5.1473,4.7877,6.683,6.2859,5.8288,5.2707,4.7885,6.6965,6.331,5.8852,5.5775,5.4899,6.3493,6.0628,5.4274,5.0408,4.7522,6.4067,5.9696,5.6062,4.8771,4.509,6.4589,6.0585,5.4964,5.0123,4.7143,6.8191,6.3822,5.8939,5.6426,5.5757,6.3183,6.2054,5.4346,5.0259,4.7549,6.0049,5.9012,5.2671,4.8539,4.3756,6.7007,6.4303,5.577,5.1985,4.8838,6.4502,6.4332,5.6612,5.2709,5.0791,6.4042,6.4765,5.5521,5.0133,4.7138,6.5,6.3794,5.5593,5.1115,4.8825,6.5998,6.3397,5.5185,5.0078,4.7546,6.0823,6.1324,5.3233,4.6955,4.3916,6.7461,6.3179,5.7433,5.2116,4.9338,6.6796,6.179,5.5869,5.1601,4.9338,6.6562,6.225,5.694,4.9804,4.521,6.7883,6.3491,5.7394,5.2285,4.7919,6.5689,6.2487,5.7745,5.3317,5.0446,6.2776,6.0862,5.5609,5.0511,4.645,6.6273,6.1468,5.6262,4.9769,4.5539,6.1295,5.7543,5.4597,5.0064,4.3108,6.3816,6.0261,5.4863,5.003,4.5694,6.6973,6.2809,5.7283,5.2639,5.1544,5.99,6.0294,5.4654,4.9428,4.6336,6.0088,5.9416,5.287,4.8099,4.2766,6.9068,6.424,5.7604,5.2622,4.9971,6.2098,6.1468,5.6167,5.1958,5.0683,6.7906,6.4664,5.6659,5.1267,4.7937,6.6373,6.4148,5.5697,5.067,4.7784,1
6.4109,6.2338,5.7379,5.2656,4.9337,6.5676,6.3308,5.8462,5.3577,4.9379,6.6641,6.3738,5.9844,5.5617,5.2631,6.7208,6.3438,5.9011,5.6206,5.5507,6.396,6.0107,5.4778,5.158,5.193,6.307,5.9964,5.5991,5.1961,4.8882,6.4032,6.069,5.5495,5.1921,5.0722,6.7743,6.3747,5.9043,5.7129,5.7206,6.2607,6.2329,5.5576,5.0956,4.9245,5.9559,5.9856,5.2964,4.9113,4.4072,6.7515,6.4717,5.6941,5.1722,4.9218,6.5174,6.4611,5.7894,5.4266,5.2741,6.3533,6.5277,5.5595,5.0714,4.6977,6.428,6.4327,5.6079,5.1172,4.8223,6.5249,6.4407,5.5847,5.1073,4.8045,6.0056,6.1867,5.3187,4.7987,4.3562,6.8174,6.3767,5.7869,5.2188,4.8811,6.6591,6.2776,5.672,5.1111,4.9179,6.7003,6.2612,5.7827,5.0816,4.5966,6.784,6.4346,5.8605,5.2841,4.8288,6.454,6.3149,5.8406,5.3791,5.2255,6.2993,6.154,5.6986,5.3416,4.9643,6.6648,6.183,5.7736,5.0062,4.5982,6.0391,5.7782,5.4799,5.0405,4.3959,6.3495,6.1631,5.5675,5.1563,4.827,6.7118,6.3703,5.893,5.3073,5.3769,6.0298,6.1348,5.5472,5.1051,5.0343,5.9752,5.9265,5.3261,4.891,4.3882,6.8641,6.4492,5.7678,5.3065,5.045,6.1963,6.2654,5.6197,5.2968,5.1156,6.7305,6.5719,5.6935,5.197,4.8748,6.6085,6.5527,5.6588,5.1167,4.8889,1
6.3535,6.1207,5.5744,5.1941,4.8633,6.5833,6.1733,5.6918,5.1899,4.7413,6.6699,6.1956,5.812,5.2522,4.8633,6.6349,6.2171,5.6914,5.2904,5.0342,6.3003,5.9469,5.415,5.026,4.7978,6.1773,5.9143,5.5531,4.9929,4.5958,6.3919,5.9505,5.3914,5.0187,4.6938,6.7139,6.2997,5.9753,5.7004,5.7624,6.2963,6.1047,5.3738,4.9918,4.7134,5.901,5.9137,5.2266,4.8843,4.3495,6.64,6.3187,5.5172,5.1017,4.7872,6.461,6.2795,5.5284,5.173,4.9846,6.358,6.4518,5.5236,5.0591,4.7903,6.4568,6.377,5.5798,5.186,5.0232,6.4428,6.3435,5.4809,5.0659,4.7403,6.0079,6.0511,5.2375,4.8009,4.3589,6.7226,6.202,5.6716,5.25,4.872,6.6904,6.1896,5.5681,5.1665,4.9112,6.6969,6.2136,5.6661,5.0121,4.5458,6.7741,6.2646,5.7164,5.177,4.7421,6.4287,6.2479,5.7469,5.3321,5.0136,6.3558,6.0725,5.565,5.1436,4.8516,6.5979,6.1054,5.626,5.0582,4.6014,6.6976,5.8964,5.5466,5.1025,4.5261,6.2868,6.0611,5.4743,5.0512,4.599,6.6986,6.2481,5.8445,5.3349,5.2616,6.0736,6.0042,5.3939,4.9445,4.4931,5.9147,5.8082,5.2859,4.8841,4.3349,6.8188,6.2756,5.6641,5.2567,4.9248,6.1216,6.0127,5.4005,4.9744,4.6485,6.6564,6.3895,5.6024,5.0937,4.7418,6.5081,6.4167,5.5274,5.0365,4.6712,1
6.0612,6.0719,5.5645,5.1379,4.6961,6.1526,6.124,5.6532,5.1581,4.688,6.1875,6.1145,5.7908,5.2365,4.7407,6.2597,6.1095,5.5777,5.2005,4.8761,5.9552,5.8361,5.4014,4.9533,4.6286,5.971,5.786,5.4695,4.925,4.4775,5.9484,5.8602,5.3984,4.9865,4.5799,6.2442,6.2538,6.0332,5.7634,5.7706,5.9808,6.05,5.4691,4.9758,4.722,5.8025,5.8164,5.2255,4.8118,4.3138,6.2032,6.2826,5.6133,5.0724,4.7138,6.229,6.3089,5.6154,5.2572,5.0797,6.1635,6.4232,5.5333,4.9748,4.6617,6.2103,6.3066,5.5635,5.0941,4.8478,6.2238,6.2823,5.5194,4.9108,4.6407,5.9215,6.0414,5.2399,4.8294,4.3112,6.2947,6.1173,5.7037,5.1389,4.7417,6.2105,6.0561,5.5722,5.0493,4.7763,6.2658,6.0836,5.7108,5.0104,4.4722,6.3713,6.1228,5.7576,5.1113,4.6845,6.2111,6.0899,5.7543,5.2293,4.8928,5.9629,5.9828,5.5479,5.0376,4.5974,6.3477,5.9853,5.657,5.0007,4.5361,5.9334,5.612,5.4041,5.0769,4.3904,5.9183,5.8567,5.4052,4.9999,4.5337,6.2591,6.1163,5.8325,5.392,5.3205,5.7894,5.9717,5.4009,5.0369,4.7465,5.7773,5.7796,5.2012,4.8393,4.2759,6.3184,6.2478,5.6738,5.1965,4.8641,5.9918,6.1226,5.594,5.263,5.0658,6.2704,6.3501,5.6375,5.03,4.6801,6.284,6.3676,5.5957,4.9596,4.6327,1
6.3732,6.0784,5.6208,5.161,4.9233,6.5071,6.1651,5.7146,5.1476,4.725,6.541,6.2219,5.841,5.2146,4.8014,6.499,6.1941,5.6746,5.2343,5.0274,6.1498,5.9888,5.401,5.0851,4.8795,6.2212,5.9626,5.5477,4.9847,4.6416,6.2251,5.9976,5.4476,5.1698,4.8735,6.6207,6.3784,6.0052,5.7656,5.7252,6.1764,6.1312,5.5538,5.2567,5.0413,5.8913,5.8155,5.2696,4.8596,4.3756,6.5116,6.3299,5.6339,5.1207,4.9382,6.3468,6.3783,5.7177,5.3478,5.232,6.3908,6.4276,5.5395,5.0913,4.7477,6.4772,6.3402,5.5954,5.1869,4.9616,6.4867,6.2294,5.5146,5.0637,4.7856,6.0538,6.0844,5.2989,4.759,4.36,6.6181,6.1227,5.684,5.175,4.8473,6.5431,6.1098,5.5619,5.1585,4.9826,6.4938,6.1685,5.6684,5.0556,4.5535,6.5847,6.2623,5.7599,5.1595,4.783,6.4287,6.1259,5.7227,5.271,4.8953,6.2282,5.9744,5.5436,5.073,4.7416,6.4601,6.1022,5.6312,5.0295,4.5939,6.0363,5.7296,5.4571,5.0304,4.3847,6.167,5.9943,5.4813,5.0779,4.6845,6.517,6.2357,5.7815,5.5656,5.4488,5.9625,6.0193,5.4526,4.9637,4.68,5.8889,5.871,5.3136,4.8824,4.3703,6.6949,6.3637,5.7141,5.303,5.06,6.2015,6.1519,5.5655,5.2324,5.1033,6.6645,6.4001,5.6232,5.1306,4.8873,6.5508,6.3357,5.5395,5.0735,4.8129,1
6.4073,6.1577,5.6726,5.0995,4.7946,6.5824,6.242,5.7831,5.3034,4.9459,6.6599,6.3378,5.9464,5.6555,5.1882,6.714,6.2806,5.764,5.5267,5.2154,6.3611,6.023,5.4086,5.1566,4.9899,6.3438,6.0218,5.6015,5.2021,4.7854,6.4915,6.0926,5.5049,5.2006,4.8791,6.9179,6.3825,6.026,5.8238,5.8087,6.2321,6.2948,5.4961,5.1464,4.9317,5.8713,5.9666,5.2897,4.9101,4.3359,6.8332,6.4782,5.679,5.1534,4.9129,6.4462,6.4901,5.8183,5.495,5.4135,6.3539,6.5577,5.639,5.136,4.9153,6.401,6.4593,5.6909,5.3679,5.2742,6.467,6.3727,5.6286,5.1038,4.8539,6.013,6.1642,5.3182,4.8231,4.3866,6.7557,6.3041,5.7499,5.1982,4.8394,6.6351,6.2481,5.6405,5.1519,4.9187,6.5187,6.2106,5.735,5.0621,4.6036,6.732,6.3134,5.8363,5.187,4.7903,6.4297,6.2359,5.8062,5.2798,4.9425,6.2564,6.1413,5.614,5.1631,4.8403,6.4418,6.1612,5.6931,5.0552,4.5835,6.0094,5.7673,5.516,5.102,4.3751,6.3694,6.1699,5.5697,5.0829,4.6635,6.7047,6.2968,5.789,5.3847,5.24,5.9153,6.0475,5.4722,4.9242,4.61,5.8598,5.8842,5.2654,4.8626,4.3145,6.9867,6.433,5.7612,5.2675,4.9703,6.1665,6.1921,5.5547,5.0937,4.8801,6.7695,6.4908,5.7323,5.0973,4.7603,6.4755,6.4868,5.6366,5.095,4.7122,1
6.4839,6.2573,5.7172,5.2911,4.9635,6.6526,6.3734,5.8114,5.2322,4.8184,6.7012,6.444,5.8887,5.2943,4.8475,6.7067,6.3628,5.7295,5.2311,5.0242,6.385,6.0732,5.4201,4.9331,4.6661,6.3753,6.126,5.5733,5.0317,4.6371,6.2646,6.1895,5.4994,5.0319,4.7555,6.801,6.443,5.9603,5.5735,5.5999,6.3374,6.2212,5.5266,5.1188,4.906,6.0654,6.04,5.3691,4.8763,4.4167,6.7613,6.4897,5.6586,5.1048,4.9556,6.5835,6.5486,5.7688,5.4208,5.3475,6.4506,6.531,5.5669,5.0068,4.6635,6.5417,6.4495,5.6014,5.0782,4.8182,6.601,6.4385,5.605,5.117,4.8943,6.0441,6.1894,5.3063,4.7702,4.334,6.783,6.4068,5.7612,5.2833,4.9111,6.6803,6.2872,5.6728,5.2601,4.9726,6.7471,6.4662,5.7358,5.0308,4.562,6.8489,6.4918,5.8437,5.2251,4.884,6.4438,6.2928,5.8415,5.3207,5.084,6.2654,6.1195,5.6185,5.0597,4.6833,6.6573,6.3226,5.6891,4.9809,4.6315,6.1107,5.8957,5.4546,5.0356,4.3428,6.3195,6.2143,5.5304,5.0648,4.618,6.6605,6.3692,5.732,5.3173,5.1155,6.106,6.1773,5.5074,5.0261,4.7203,5.9636,5.9751,5.3013,4.8507,4.3228,6.8458,6.5043,5.7525,5.2994,5.087,6.3476,6.3146,5.7024,5.3766,5.2916,6.7494,6.5931,5.6735,5.1456,4.9522,6.6327,6.5974,5.6867,5.2074,5.0592,1
6.5502,6.3258,5.793,5.2335,5.0525,6.6962,6.3793,5.8453,5.1748,4.8486,6.7955,6.4065,5.9152,5.2605,4.9069,6.8325,6.4314,5.753,5.2596,5.0065,6.5043,6.1062,5.5586,5.1697,4.9522,6.4796,6.0767,5.6313,5.0333,4.6584,6.4918,6.2191,5.5391,5.0865,4.8703,6.9701,6.5286,6.1554,5.958,5.9733,6.4078,6.2975,5.6004,5.1672,5.1089,5.9946,6.035,5.3336,4.8905,4.4457,6.9088,6.5255,5.7891,5.2746,5.0319,6.6448,6.4946,5.8707,5.5495,5.4961,6.5349,6.6015,5.6155,5.0724,4.7897,6.5782,6.5014,5.6894,5.2114,5.0281,6.5926,6.4773,5.6378,5.1284,4.8967,6.1625,6.2127,5.3621,4.8507,4.4609,6.8955,6.4966,5.854,5.2565,5.0385,6.8826,6.3552,5.6552,5.2333,5.066,6.8613,6.3644,5.83,5.0369,4.5853,6.9318,6.51,5.8489,5.2937,4.9083,6.5878,6.4102,5.8679,5.4447,5.2507,6.3958,6.2768,5.5857,5.1061,4.7633,6.8017,6.3496,5.7809,5.0603,4.6398,6.142,5.8682,5.5384,5.1076,4.3989,6.4896,6.2848,5.5943,5.0456,4.7115,6.8037,6.4103,5.9021,5.4712,5.4287,6.1549,6.1505,5.5531,5.1346,4.9338,6.0731,5.9577,5.3574,4.9199,4.4134,7.0481,6.5276,5.8115,5.3704,5.1538,6.3429,6.2913,5.7848,5.5581,5.5649,6.8626,6.5647,5.7366,5.2301,4.9747,6.6456,6.5316,5.6864,5.1704,4.9608,-1
6.3637,6.205,5.6545,5.2014,4.8675,6.4606,6.241,5.754,5.2661,4.7688,6.4862,6.2736,5.8728,5.302,4.8762,6.5237,6.2331,5.7164,5.2554,5.0071,6.3071,6.0523,5.4988,5.0032,4.9063,6.2082,5.968,5.614,5.0645,4.7123,6.1872,6.0619,5.5175,5.1255,4.8348,6.7497,6.4441,6.0978,5.8878,5.9477,6.1341,6.2706,5.4477,5.0636,4.8606,5.9215,5.9833,5.343,4.8467,4.3889,6.6274,6.5209,5.7013,5.264,5.0664,6.3109,6.4954,5.6791,5.2645,5.0733,6.2763,6.5654,5.5833,5.0987,4.7244,6.3853,6.4153,5.5929,5.1512,4.9138,6.3851,6.3578,5.571,5.1368,4.958,5.9746,6.1401,5.3587,4.8176,4.3408,6.6664,6.3509,5.7905,5.3162,4.9709,6.4442,6.1925,5.6492,5.2619,5.0575,6.5347,6.2851,5.7635,5.1382,4.5636,6.6593,6.331,5.8339,5.2149,4.8654,6.355,6.2015,5.7525,5.238,4.8622,6.1635,6.0754,5.5775,5.0727,4.679,6.5336,6.2124,5.7156,5.1016,4.687,5.9668,5.8163,5.4975,5.0343,4.4119,6.2516,6.1155,5.4869,5.1285,4.6918,6.5547,6.3239,5.8679,5.4583,5.3684,5.9351,6.0759,5.5051,5.0159,4.6056,5.9156,5.949,5.3195,4.8416,4.2919,6.7818,6.4551,5.7811,5.4102,5.157,6.1011,6.175,5.4804,5.0909,4.8841,6.6114,6.4702,5.6756,5.2382,5.0024,6.4046,6.4431,5.6075,5.2688,5.1177,-1
