@relation dominance 

@attribute Theta1_1 numeric
@attribute Alpha1_1 numeric
@attribute LowBeta1_1 numeric
@attribute HighBeta1_1 numeric
@attribute Gamma1_1 numeric
@attribute Theta2_1 numeric
@attribute Alpha2_1 numeric
@attribute LowBeta2_1 numeric
@attribute HighBeta2_1 numeric
@attribute Gamma2_1 numeric
@attribute Theta3_1 numeric
@attribute Alpha3_1 numeric
@attribute LowBeta3_1 numeric
@attribute HighBeta3_1 numeric
@attribute Gamma3_1 numeric
@attribute Theta4_1 numeric
@attribute Alpha4_1 numeric
@attribute LowBeta4_1 numeric
@attribute HighBeta4_1 numeric
@attribute Gamma4_1 numeric
@attribute Theta5_1 numeric
@attribute Alpha5_1 numeric
@attribute LowBeta5_1 numeric
@attribute HighBeta5_1 numeric
@attribute Gamma5_1 numeric
@attribute Theta6_1 numeric
@attribute Alpha6_1 numeric
@attribute LowBeta6_1 numeric
@attribute HighBeta6_1 numeric
@attribute Gamma6_1 numeric
@attribute Theta7_1 numeric
@attribute Alpha7_1 numeric
@attribute LowBeta7_1 numeric
@attribute HighBeta7_1 numeric
@attribute Gamma7_1 numeric
@attribute Theta8_1 numeric
@attribute Alpha8_1 numeric
@attribute LowBeta8_1 numeric
@attribute HighBeta8_1 numeric
@attribute Gamma8_1 numeric
@attribute Theta9_1 numeric
@attribute Alpha9_1 numeric
@attribute LowBeta9_1 numeric
@attribute HighBeta9_1 numeric
@attribute Gamma9_1 numeric
@attribute Theta10_1 numeric
@attribute Alpha10_1 numeric
@attribute LowBeta10_1 numeric
@attribute HighBeta10_1 numeric
@attribute Gamma10_1 numeric
@attribute Theta11_1 numeric
@attribute Alpha11_1 numeric
@attribute LowBeta11_1 numeric
@attribute HighBeta11_1 numeric
@attribute Gamma11_1 numeric
@attribute Theta12_1 numeric
@attribute Alpha12_1 numeric
@attribute LowBeta12_1 numeric
@attribute HighBeta12_1 numeric
@attribute Gamma12_1 numeric
@attribute Theta13_1 numeric
@attribute Alpha13_1 numeric
@attribute LowBeta13_1 numeric
@attribute HighBeta13_1 numeric
@attribute Gamma13_1 numeric
@attribute Theta14_1 numeric
@attribute Alpha14_1 numeric
@attribute LowBeta14_1 numeric
@attribute HighBeta14_1 numeric
@attribute Gamma14_1 numeric
@attribute Theta15_1 numeric
@attribute Alpha15_1 numeric
@attribute LowBeta15_1 numeric
@attribute HighBeta15_1 numeric
@attribute Gamma15_1 numeric
@attribute Theta16_1 numeric
@attribute Alpha16_1 numeric
@attribute LowBeta16_1 numeric
@attribute HighBeta16_1 numeric
@attribute Gamma16_1 numeric
@attribute Theta17_1 numeric
@attribute Alpha17_1 numeric
@attribute LowBeta17_1 numeric
@attribute HighBeta17_1 numeric
@attribute Gamma17_1 numeric
@attribute Theta18_1 numeric
@attribute Alpha18_1 numeric
@attribute LowBeta18_1 numeric
@attribute HighBeta18_1 numeric
@attribute Gamma18_1 numeric
@attribute Theta19_1 numeric
@attribute Alpha19_1 numeric
@attribute LowBeta19_1 numeric
@attribute HighBeta19_1 numeric
@attribute Gamma19_1 numeric
@attribute Theta20_1 numeric
@attribute Alpha20_1 numeric
@attribute LowBeta20_1 numeric
@attribute HighBeta20_1 numeric
@attribute Gamma20_1 numeric
@attribute Theta21_1 numeric
@attribute Alpha21_1 numeric
@attribute LowBeta21_1 numeric
@attribute HighBeta21_1 numeric
@attribute Gamma21_1 numeric
@attribute Theta22_1 numeric
@attribute Alpha22_1 numeric
@attribute LowBeta22_1 numeric
@attribute HighBeta22_1 numeric
@attribute Gamma22_1 numeric
@attribute Theta23_1 numeric
@attribute Alpha23_1 numeric
@attribute LowBeta23_1 numeric
@attribute HighBeta23_1 numeric
@attribute Gamma23_1 numeric
@attribute Theta24_1 numeric
@attribute Alpha24_1 numeric
@attribute LowBeta24_1 numeric
@attribute HighBeta24_1 numeric
@attribute Gamma24_1 numeric
@attribute Theta25_1 numeric
@attribute Alpha25_1 numeric
@attribute LowBeta25_1 numeric
@attribute HighBeta25_1 numeric
@attribute Gamma25_1 numeric
@attribute Theta26_1 numeric
@attribute Alpha26_1 numeric
@attribute LowBeta26_1 numeric
@attribute HighBeta26_1 numeric
@attribute Gamma26_1 numeric
@attribute Theta27_1 numeric
@attribute Alpha27_1 numeric
@attribute LowBeta27_1 numeric
@attribute HighBeta27_1 numeric
@attribute Gamma27_1 numeric
@attribute Theta28_1 numeric
@attribute Alpha28_1 numeric
@attribute LowBeta28_1 numeric
@attribute HighBeta28_1 numeric
@attribute Gamma28_1 numeric
@attribute Theta29_1 numeric
@attribute Alpha29_1 numeric
@attribute LowBeta29_1 numeric
@attribute HighBeta29_1 numeric
@attribute Gamma29_1 numeric
@attribute Theta30_1 numeric
@attribute Alpha30_1 numeric
@attribute LowBeta30_1 numeric
@attribute HighBeta30_1 numeric
@attribute Gamma30_1 numeric
@attribute Theta31_1 numeric
@attribute Alpha31_1 numeric
@attribute LowBeta31_1 numeric
@attribute HighBeta31_1 numeric
@attribute Gamma31_1 numeric
@attribute Theta32_1 numeric
@attribute Alpha32_1 numeric
@attribute LowBeta32_1 numeric
@attribute HighBeta32_1 numeric
@attribute Gamma32_1 numeric
@attribute class {-1,1}

@data
1.1005,0,0,0,0,1.48,0,0,0,0,1.6772,0,0,0,0,1.6253,0,0,0,0,0.82836,0,0,0,0,0.82061,0,0,0,0,0.94556,0,0,0,0,1.8355,0,0,0,0,0.74685,0,0,0,0,0.41678,0,0,0,0,1.7186,0,0,0,0,1.187,0,0,0,0,1.0924,0,0,0,0,1.395,0,0,0,0,1.4448,0,0,0,0,0.5695,0,0,0,0,1.9139,0,0,0,0,1.5324,0,0,0,0,1.705,0,0,0,0,1.9989,0,0,0,0,1.221,0,0,0,0,0.82865,0,0,0,0,1.4795,0,0,0,0,0.57512,0,0,0,0,0.7933,0,0,0,0,1.7351,0,0,0,0,0.48871,0,0,0,0,0.43401,0,0,0,0,2.3035,0,0,0,0,0.8082,0,0,0,0,1.926,0,0,0,0,1.5552,0,0,0,0,1
1.404,0,0,0,0,1.8799,0,0,0,0,2.0365,0,0,0,0,2.102,0,0,0,0,1.0005,0,0,0,0,1.1596,0,0,0,0,1.309,0,0,0,0,2.6339,0,0,0,0,0.896,0,0,0,0,0.56865,0,0,0,0,2.4111,0,0,0,0,1.525,0,0,0,0,1.2513,0,0,0,0,1.6868,0,0,0,0,1.8558,0,0,0,0,0.71468,0,0,0,0,2.6028,0,0,0,0,1.9851,0,0,0,0,2.103,0,0,0,0,2.6009,0,0,0,0,1.6016,0,0,0,0,0.9522,0,0,0,0,1.8803,0,0,0,0,0.6854,0,0,0,0,1.0233,0,0,0,0,2.162,0,0,0,0,0.52596,0,0,0,0,0.56851,0,0,0,0,3.224,0,0,0,0,0.88613,0,0,0,0,2.6845,0,0,0,0,2.1581,0,0,0,0,1
1.2539,0,0,0,0,1.745,0,0,0,0,2.067,0,0,0,0,2.2082,0,0,0,0,1.1778,0,0,0,0,1.0176,0,0,0,0,1.2356,0,0,0,0,2.8691,0,0,0,0,0.96981,0,0,0,0,0.45479,0,0,0,0,2.5988,0,0,0,0,1.6042,0,0,0,0,1.1145,0,0,0,0,1.3538,0,0,0,0,1.4826,0,0,0,0,0.57696,0,0,0,0,2.5986,0,0,0,0,1.8824,0,0,0,0,2.4912,0,0,0,0,2.8687,0,0,0,0,1.3176,0,0,0,0,0.93925,0,0,0,0,2.007,0,0,0,0,0.58804,0,0,0,0,1.0838,0,0,0,0,2.2094,0,0,0,0,0.62138,0,0,0,0,0.49139,0,0,0,0,3.3549,0,0,0,0,0.82469,0,0,0,0,2.5114,0,0,0,0,1.7454,0,0,0,0,1
1.1835,0,0,0,0,1.7989,0,0,0,0,2.0934,0,0,0,0,1.7015,0,0,0,0,1.0054,0,0,0,0,0.80201,0,0,0,0,1.0571,0,0,0,0,2.0112,0,0,0,0,0.89856,0,0,0,0,0.47778,0,0,0,0,2.2003,0,0,0,0,1.455,0,0,0,0,1.0806,0,0,0,0,1.2895,0,0,0,0,1.458,0,0,0,0,0.63405,0,0,0,0,2.7877,0,0,0,0,2.4252,0,0,0,0,3.7757,0,0,0,0,3.413,0,0,0,0,1.3151,0,0,0,0,1.0977,0,0,0,0,2.7576,0,0,0,0,2.3598,0,0,0,0,0.82539,0,0,0,0,2.2804,0,0,0,0,0.63425,0,0,0,0,0.46022,0,0,0,0,2.8993,0,0,0,0,0.75624,0,0,0,0,2.3199,0,0,0,0,1.7456,0,0,0,0,1
0.66688,0,0,0,0,0.81107,0,0,0,0,0.85167,0,0,0,0,0.94832,0,0,0,0,0.50529,0,0,0,0,0.56127,0,0,0,0,0.50363,0,0,0,0,1.0463,0,0,0,0,0.50084,0,0,0,0,0.3817,0,0,0,0,0.80286,0,0,0,0,0.8568,0,0,0,0,0.74087,0,0,0,0,0.8629,0,0,0,0,0.8397,0,0,0,0,0.43372,0,0,0,0,1.0045,0,0,0,0,0.84013,0,0,0,0,0.96745,0,0,0,0,1.1195,0,0,0,0,0.93861,0,0,0,0,0.58592,0,0,0,0,1.0616,0,0,0,0,0.53429,0,0,0,0,0.50153,0,0,0,0,0.99577,0,0,0,0,0.36899,0,0,0,0,0.41298,0,0,0,0,1.0365,0,0,0,0,0.57801,0,0,0,0,0.96366,0,0,0,0,0.94708,0,0,0,0,1
1.0232,0,0,0,0,1.2361,0,0,0,0,1.4009,0,0,0,0,1.5362,0,0,0,0,0.64916,0,0,0,0,0.73899,0,0,0,0,0.86166,0,0,0,0,1.7085,0,0,0,0,0.68829,0,0,0,0,0.48986,0,0,0,0,1.4186,0,0,0,0,1.058,0,0,0,0,1.0758,0,0,0,0,1.3136,0,0,0,0,1.3615,0,0,0,0,0.59304,0,0,0,0,1.7057,0,0,0,0,1.4351,0,0,0,0,1.4138,0,0,0,0,1.693,0,0,0,0,1.2249,0,0,0,0,0.78674,0,0,0,0,1.3026,0,0,0,0,0.65847,0,0,0,0,0.68747,0,0,0,0,1.4218,0,0,0,0,0.49872,0,0,0,0,0.4655,0,0,0,0,2.0395,0,0,0,0,0.77908,0,0,0,0,1.927,0,0,0,0,1.7703,0,0,0,0,1
1.1337,0,0,0,0,1.3887,0,0,0,0,1.5366,0,0,0,0,1.7794,0,0,0,0,0.9187,0,0,0,0,0.89651,0,0,0,0,1.0708,0,0,0,0,2.5,0,0,0,0,0.88494,0,0,0,0,0.5012,0,0,0,0,2.0769,0,0,0,0,1.3396,0,0,0,0,1.0812,0,0,0,0,1.1998,0,0,0,0,1.2619,0,0,0,0,0.58781,0,0,0,0,2.0777,0,0,0,0,1.6891,0,0,0,0,1.5322,0,0,0,0,2.0851,0,0,0,0,1.3425,0,0,0,0,0.95173,0,0,0,0,1.3496,0,0,0,0,0.61194,0,0,0,0,0.92819,0,0,0,0,1.8628,0,0,0,0,0.48137,0,0,0,0,0.4458,0,0,0,0,2.6183,0,0,0,0,0.72643,0,0,0,0,1.9287,0,0,0,0,1.3512,0,0,0,0,1
1.6525,0,0,0,0,2.2918,0,0,0,0,2.4838,0,0,0,0,2.6754,0,0,0,0,1.3943,0,0,0,0,1.3025,0,0,0,0,1.1814,0,0,0,0,3.0187,0,0,0,0,1.0982,0,0,0,0,0.62163,0,0,0,0,2.8126,0,0,0,0,1.9475,0,0,0,0,1.4513,0,0,0,0,1.844,0,0,0,0,1.9399,0,0,0,0,0.66123,0,0,0,0,3.1168,0,0,0,0,2.6675,0,0,0,0,3.5394,0,0,0,0,3.5769,0,0,0,0,1.4448,0,0,0,0,1.0444,0,0,0,0,2.5214,0,0,0,0,0.72206,0,0,0,0,1.2096,0,0,0,0,2.4151,0,0,0,0,0.7098,0,0,0,0,0.50995,0,0,0,0,3.5135,0,0,0,0,1.1664,0,0,0,0,2.7735,0,0,0,0,2.1683,0,0,0,0,1
1.8023,0,0,0,0,2.7513,0,0,0,0,3.1452,0,0,0,0,3.395,0,0,0,0,1.779,0,0,0,0,1.6509,0,0,0,0,1.685,0,0,0,0,4.3208,0,0,0,0,1.373,0,0,0,0,0.6653,0,0,0,0,4.3817,0,0,0,0,2.4115,0,0,0,0,1.8168,0,0,0,0,2.1055,0,0,0,0,2.3448,0,0,0,0,0.91325,0,0,0,0,4.4522,0,0,0,0,4.1476,0,0,0,0,5.765,0,0,0,0,5.5902,0,0,0,0,1.8509,0,0,0,0,1.372,0,0,0,0,4.325,0,0,0,0,0.92073,0,0,0,0,1.5501,0,0,0,0,3.2749,0,0,0,0,0.76172,0,0,0,0,0.60243,0,0,0,0,5.253,0,0,0,0,1.2953,0,0,0,0,3.9107,0,0,0,0,2.6596,0,0,0,0,-1
1.1996,0,0,0,0,1.4829,0,0,0,0,1.5977,0,0,0,0,1.8605,0,0,0,0,1.084,0,0,0,0,0.92346,0,0,0,0,0.94375,0,0,0,0,2.6433,0,0,0,0,0.77559,0,0,0,0,0.42837,0,0,0,0,2.1427,0,0,0,0,1.105,0,0,0,0,0.97793,0,0,0,0,1.1322,0,0,0,0,1.2392,0,0,0,0,0.53669,0,0,0,0,2.2764,0,0,0,0,1.6101,0,0,0,0,1.9749,0,0,0,0,2.3091,0,0,0,0,1.099,0,0,0,0,0.75958,0,0,0,0,1.7148,0,0,0,0,0.59644,0,0,0,0,0.89869,0,0,0,0,1.7755,0,0,0,0,0.51907,0,0,0,0,0.46949,0,0,0,0,2.8302,0,0,0,0,0.63072,0,0,0,0,2.0127,0,0,0,0,1.3425,0,0,0,0,-1
