@relation liking 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
0.010032,-0.41443,-1.2739,-2.3471,-3.0818,0.28655,-0.31272,-1.0899,-2.3148,-3.1843,0.39844,-0.21039,-0.95025,-2.2348,-3.0689,0.34058,-0.19927,-1.2951,-2.3083,-2.8686,-0.26653,-0.84786,-1.8635,-2.7771,-3.3095,-0.32654,-0.92681,-1.5771,-2.7297,-3.4919,-0.15726,-0.64758,-1.9,-2.5538,-3.2758,0.49146,-0.13636,-0.99776,-1.5898,-1.6972,-0.39246,-0.40468,-1.7553,-2.5152,-3.1007,-0.98432,-1.0096,-2.0778,-3.0337,-4.0011,0.44866,-0.0037902,-1.3908,-2.3815,-2.8165,0.052815,0.096815,-1.2019,-1.858,-2.2168,-0.019042,0.20299,-1.4882,-2.2918,-2.7709,0.21903,0.060948,-1.1826,-1.766,-2.078,0.25701,-0.082774,-1.4545,-2.3651,-2.9049,-0.64661,-0.54031,-1.9111,-3.1183,-3.9412,0.51988,-0.29778,-1.1238,-2.2873,-2.9798,0.31941,-0.41467,-1.405,-2.3096,-2.7754,0.36586,-0.36651,-1.272,-2.6559,-3.5457,0.56948,-0.23094,-1.0911,-2.325,-3.1308,0.11199,-0.34457,-1.0787,-2.2896,-2.9037,-0.27123,-0.58886,-1.542,-2.6016,-3.2412,0.25367,-0.48963,-1.3962,-2.6284,-3.46,-0.73152,-1.3323,-1.8164,-2.5834,-3.9637,-0.3448,-0.68552,-1.6534,-2.5676,-3.3572,0.48071,-0.18324,-1.3234,-2.0319,-2.3733,-0.77357,-0.62374,-1.7782,-2.7602,-3.3664,-0.92424,-1.0323,-1.9759,-2.9905,-4.0844,0.72778,0.039509,-1.2073,-2.2026,-2.652,-0.30335,-0.39089,-1.6097,-2.479,-2.6821,0.54437,0.15569,-1.3445,-2.4797,-3.1402,0.32876,0.058201,-1.481,-2.6048,-3.3602,1
0.26613,-0.41387,-1.2488,-2.3327,-2.7991,0.5416,-0.26022,-1.1482,-2.4164,-3.1065,0.59977,-0.1579,-0.95993,-2.2134,-3.0135,0.6587,-0.092585,-0.84052,-1.5373,-1.6881,-0.15843,-0.67657,-1.8299,-2.6568,-3.151,0.0078334,-0.82737,-1.4934,-2.9269,-3.594,0.19551,-0.60567,-1.7051,-2.6775,-3.3166,0.86663,0.071145,-0.91326,-1.4564,-1.5054,-0.16229,-0.36683,-1.7533,-2.6689,-3.1961,-0.67222,-0.94219,-2.1295,-3.01,-3.8688,0.69506,0.11889,-1.4713,-2.3648,-2.9248,0.28909,0.12516,-1.3889,-2.1765,-2.4863,0.15322,0.22702,-1.5993,-2.6473,-3.2267,0.44984,0.039889,-1.5762,-2.4729,-2.8692,0.53236,0.0027739,-1.6586,-2.674,-3.1608,-0.44512,-0.49643,-2.025,-3.2522,-3.8885,0.85016,-0.19178,-1.2553,-2.254,-2.8338,0.60563,-0.34853,-1.5061,-2.384,-2.8537,0.53793,-0.27752,-1.2533,-2.7464,-3.6071,0.7918,-0.038271,-1.1522,-2.2251,-3.0784,0.37098,-0.23652,-1.094,-1.9928,-2.6,-0.13076,-0.49753,-1.5421,-2.5668,-3.3873,0.44749,-0.37865,-1.3583,-2.6942,-3.5908,-0.47404,-1.1759,-1.7921,-2.6956,-4.0202,-0.057751,-0.57922,-1.655,-2.6606,-3.5487,0.65235,-0.12701,-1.2563,-2.1166,-2.4408,-0.73878,-0.6333,-1.7591,-2.7951,-3.3915,-0.64075,-0.86141,-2.1391,-3.0643,-4.0407,1.0311,0.041307,-1.1798,-2.1968,-2.6986,-0.23207,-0.37756,-1.5229,-2.2514,-2.4972,0.87662,0.20205,-1.3573,-2.4727,-3.0783,0.68326,0.15095,-1.5445,-2.6008,-3.0903,1
0.13517,-0.12796,-1.1473,-2.2643,-2.822,0.46903,-0.0021855,-0.99045,-2.2273,-3.1614,0.64642,0.039708,-0.80513,-2.1432,-3.0509,0.67944,0.0076612,-1.0175,-1.6933,-1.8252,0.053569,-0.57975,-1.7546,-2.5159,-2.9499,-0.096238,-0.71937,-1.4868,-2.7076,-3.5717,0.1236,-0.57469,-1.6343,-2.5684,-3.0027,0.94827,0.057601,-0.86117,-1.3401,-1.3297,-0.13389,-0.2731,-1.6358,-2.4699,-2.8905,-0.86618,-0.68363,-1.9801,-2.9212,-3.9336,0.87192,0.29102,-1.2866,-2.3665,-2.9289,0.32038,0.24535,-1.104,-1.8164,-2.1058,0.01175,0.39404,-1.5491,-2.5723,-3.3668,0.21404,0.24595,-1.4484,-2.5272,-3.1225,0.31543,0.19698,-1.4651,-2.583,-3.2016,-0.62587,-0.28888,-1.9686,-3.0749,-3.9668,0.8784,0.10586,-1.0917,-2.2215,-2.9785,0.51827,-0.11733,-1.3662,-2.425,-2.9549,0.69594,-0.11944,-1.057,-2.5062,-3.5692,0.92842,0.23485,-0.9435,-2.2345,-3.1063,0.20197,-0.069566,-1.0184,-2.1413,-2.6563,-0.14252,-0.44852,-1.4373,-2.5611,-3.358,0.52418,-0.30276,-1.1293,-2.6698,-3.5811,-0.70008,-1.1615,-1.6378,-2.5541,-3.9629,0.014615,-0.43778,-1.615,-2.5994,-3.4462,0.71052,-0.11534,-1.1822,-2.1656,-2.4622,-0.58338,-0.49744,-1.7612,-2.7261,-3.3874,-0.78818,-0.79656,-1.9855,-2.9036,-3.9718,1.1289,0.25817,-1.1205,-2.1587,-2.6901,-0.29059,-0.1939,-1.5016,-2.1874,-2.5619,0.85012,0.46655,-1.2321,-2.3545,-2.9751,0.47117,0.43744,-1.3544,-2.4504,-2.9575,1
0.051981,-0.53456,-1.4217,-2.2311,-2.8957,0.38087,-0.47713,-1.2661,-2.2715,-3.1466,0.55614,-0.40574,-1.0251,-2.1383,-2.9156,0.44687,-0.37238,-1.2619,-2.0928,-2.4548,-0.23368,-0.95937,-1.8222,-2.5673,-2.9731,-0.40848,-0.93719,-1.5248,-2.683,-3.4055,-0.04389,-0.86796,-1.801,-2.5492,-3.187,0.59489,-0.099571,-0.7253,-1.2295,-1.157,-0.25401,-0.52478,-1.9393,-2.594,-3.2205,-0.89091,-0.96278,-2.12,-2.8811,-3.9073,0.5367,-0.13041,-1.5827,-2.4273,-3.0339,0.13218,-0.10657,-1.5507,-2.3081,-2.6965,-0.067346,0.11142,-1.621,-2.5036,-3.0812,0.11252,-0.020647,-1.4673,-2.2195,-2.569,0.20589,-0.10965,-1.6721,-2.5379,-3.1478,-0.61638,-0.63115,-2.1187,-3.0233,-3.9317,0.64736,-0.31731,-1.2676,-2.1376,-2.9065,0.59091,-0.41365,-1.492,-2.3024,-2.8105,0.64611,-0.42951,-1.3463,-2.6127,-3.6102,0.77096,-0.29131,-1.2102,-2.3708,-3.1302,0.12699,-0.29198,-1.116,-1.962,-2.5691,-0.012856,-0.58875,-1.5009,-2.2939,-2.859,0.46533,-0.57423,-1.4231,-2.4886,-3.4569,0.63702,-0.87156,-1.5468,-2.3841,-3.6257,-0.31198,-0.68491,-1.7389,-2.5688,-3.454,0.61,-0.30162,-0.97894,-1.9646,-2.0904,-0.64974,-0.78218,-1.8464,-2.7711,-3.6261,-0.85868,-1.1237,-2.0512,-2.9192,-3.9914,0.85711,-0.15864,-1.3096,-2.1956,-2.7392,-0.47432,-0.65121,-1.8628,-2.6934,-3.3277,0.63729,0.037,-1.4771,-2.4694,-3.1373,0.34407,0.035347,-1.6149,-2.5674,-3.2638,1
-0.5132,-0.53541,-1.452,-2.321,-3.1772,-0.32299,-0.50652,-1.2597,-2.2477,-3.208,-0.24776,-0.43932,-1.0409,-2.1077,-3.1723,-0.1506,-0.50399,-1.4397,-2.2503,-2.8461,-0.75923,-1.015,-1.8537,-2.7303,-3.3079,-0.66432,-1.1003,-1.6877,-2.7567,-3.6716,-0.77458,-1.0063,-1.8488,-2.649,-3.4308,-0.049717,-0.17439,-0.57587,-1.1291,-1.0999,-0.76324,-0.58781,-1.7026,-2.6962,-3.16,-1.1025,-1.0209,-2.1852,-3.0152,-4.0059,-0.30643,-0.086898,-1.4513,-2.4958,-3.2095,-0.23335,-0.0074292,-1.3528,-2.122,-2.4613,-0.38116,0.22174,-1.5679,-2.6526,-3.3359,-0.21979,0.00069578,-1.4887,-2.514,-2.9504,-0.26316,-0.11414,-1.5727,-2.7642,-3.3168,-0.94597,-0.57447,-2.0837,-3.0165,-3.9522,-0.081976,-0.39702,-1.2967,-2.3065,-3.1478,-0.2326,-0.51808,-1.5001,-2.5268,-3.0554,-0.093928,-0.55015,-1.2151,-2.6239,-3.6489,0.036691,-0.35713,-1.1096,-2.4232,-3.3136,-0.16843,-0.39295,-1.1318,-2.16,-2.8242,-0.59591,-0.70818,-1.5644,-2.6224,-3.4241,-0.017661,-0.69687,-1.3011,-2.6472,-3.577,-0.74336,-1.4429,-1.821,-2.4959,-3.8179,-0.76186,-0.88682,-1.8198,-2.6082,-3.6102,-0.068827,-0.40954,-0.95021,-1.8744,-2.0018,-1.0816,-0.75985,-1.8125,-2.5415,-3.1689,-0.9808,-1.0971,-2.2053,-2.9247,-4.0484,-0.036979,-0.19807,-1.3234,-2.1892,-2.9041,-0.63453,-0.40541,-1.472,-2.0808,-2.5127,-0.12254,0.022083,-1.4211,-2.5124,-3.2547,-0.12676,0.071065,-1.4837,-2.6727,-3.3709,1
-0.08304,-0.4721,-1.3321,-2.3959,-2.8909,0.10373,-0.35538,-1.1662,-2.4107,-3.2681,0.24424,-0.24924,-0.98441,-2.2175,-3.0872,0.30875,-0.23108,-1.2562,-2.1421,-2.6556,-0.53595,-0.75785,-1.8441,-2.4677,-2.902,-0.3929,-0.83678,-1.5941,-2.6792,-3.4501,-0.24986,-0.7388,-1.7757,-2.366,-2.8624,0.41518,0.12837,-0.67424,-1.1448,-1.24,-0.48883,-0.39866,-1.6052,-2.212,-2.5517,-0.8569,-1.1791,-2.0916,-2.9423,-3.8672,0.25887,-0.054671,-1.403,-2.3963,-2.7507,-0.035011,0.14194,-1.216,-1.9413,-2.171,-0.025546,0.16195,-1.5443,-2.541,-3.1972,0.19631,-0.0058425,-1.4805,-2.326,-2.7432,0.21346,-0.13662,-1.5582,-2.5554,-3.0708,-0.61217,-0.53829,-1.9719,-3.0985,-3.8883,0.4243,-0.3554,-1.2206,-2.3016,-2.8607,0.2466,-0.45721,-1.5296,-2.2796,-2.7325,0.22458,-0.35838,-1.2642,-2.5902,-3.5383,0.42017,-0.2018,-1.0996,-2.2976,-3.049,0.11251,-0.43285,-1.1935,-2.13,-2.872,-0.34466,-0.67417,-1.5771,-2.4395,-3.1367,0.18482,-0.48829,-1.3591,-2.6123,-3.4396,-0.58364,-1.1955,-1.7451,-2.5459,-3.7832,-0.51103,-0.66351,-1.662,-2.4895,-3.2813,0.23595,-0.20168,-1.0522,-1.6146,-1.7535,-0.78636,-0.6753,-1.8029,-2.7728,-3.2967,-0.91379,-0.8749,-1.9915,-2.8801,-3.9428,0.60543,0.017957,-1.1778,-2.0722,-2.543,-0.33225,-0.43837,-1.5824,-2.2191,-2.4291,0.54682,0.12613,-1.3707,-2.3613,-2.9104,0.45492,0.029085,-1.5417,-2.5003,-3.016,1
0.0023478,-0.36537,-1.2975,-2.4282,-3.0285,0.2168,-0.20441,-1.0212,-2.0316,-2.7581,0.32088,0.011117,-0.72418,-1.4229,-2.3212,0.42563,-0.1287,-1.095,-1.6401,-2.2847,-0.21821,-0.67658,-1.7874,-2.3443,-2.7095,-0.23333,-0.68964,-1.4099,-2.3371,-3.1345,-0.065293,-0.43037,-1.591,-2.2739,-2.9754,0.75779,0.088961,-0.60676,-1.1134,-1.0502,-0.24194,-0.080789,-1.5959,-2.4596,-2.843,-0.80377,-0.70587,-2.0286,-2.8811,-3.9794,0.60163,0.20754,-1.2717,-2.3632,-2.8344,0.18863,0.32262,-0.99715,-1.6571,-1.8242,-0.011578,0.36194,-1.3877,-2.4098,-2.8505,0.11191,0.16414,-1.2132,-1.9677,-2.1501,0.16662,0.041141,-1.4187,-2.4025,-2.8752,-0.64425,-0.44231,-2.0186,-2.9849,-3.8833,0.60181,-0.11074,-1.1255,-2.2302,-2.9209,0.36815,-0.283,-1.3861,-2.3523,-2.8236,0.28637,-0.26486,-1.1585,-2.4865,-3.4279,0.61546,-0.10345,-1.0065,-2.2639,-3.0802,0.19398,-0.19179,-1.0297,-2.116,-2.7742,-0.22769,-0.40055,-1.4594,-2.3559,-2.9653,0.14996,-0.37917,-1.2861,-2.5071,-3.4854,-0.58807,-1.168,-1.6595,-2.5155,-3.8921,-0.19447,-0.33335,-1.5536,-2.5387,-3.3381,0.4872,-0.099658,-1.1268,-1.8471,-2.1823,-0.80084,-0.53705,-1.7016,-2.748,-3.4667,-0.91475,-0.92424,-2.108,-2.9256,-4.0225,0.80223,0.060222,-1.1147,-2.1788,-2.7572,-0.39327,-0.33996,-1.5257,-2.3922,-2.9281,0.5455,0.2108,-1.2285,-2.4146,-3.1535,0.23042,0.2126,-1.3573,-2.4751,-3.2323,1
0.11728,-0.29728,-1.2925,-2.2087,-2.8676,0.3174,-0.15928,-1.1125,-2.1753,-3.1166,0.37335,-0.1019,-0.89915,-2.0373,-2.9043,0.50214,-0.11021,-1.187,-2.1126,-2.6028,-0.0412,-0.53349,-1.651,-2.5602,-2.8952,-0.20045,-0.74194,-1.4389,-2.5582,-3.2596,-0.18734,-0.59988,-1.6412,-2.4236,-2.996,0.81913,0.29007,-0.44942,-0.83328,-0.77691,-0.36202,-0.18532,-1.6693,-2.5503,-2.9321,-0.91332,-0.90339,-2.0403,-2.9261,-3.9259,0.65435,0.29938,-1.2958,-2.1189,-2.578,0.0037366,0.29577,-1.3544,-2.1437,-2.5447,-0.11043,0.33549,-1.553,-2.4832,-3.231,0.051296,0.10521,-1.5031,-2.3743,-2.8084,0.12812,0.010506,-1.519,-2.3847,-2.7395,-0.74139,-0.43374,-2.0226,-3.0346,-3.9394,0.75164,-0.058604,-1.0899,-2.0095,-2.679,0.34508,-0.35599,-1.3726,-2.1111,-2.4823,0.42084,-0.14734,-1.1429,-2.4293,-3.4692,0.69153,-0.032642,-0.96939,-2.1213,-2.9235,0.016641,-0.326,-1.0824,-2.1751,-2.9421,-0.36373,-0.58041,-1.4883,-2.5265,-3.317,0.35078,-0.25345,-1.244,-2.4409,-3.2918,-0.61704,-1.0611,-1.6895,-2.492,-3.7887,-0.19194,-0.42604,-1.6291,-2.4071,-3.2549,0.47384,-0.12115,-0.92541,-1.7746,-1.8942,-0.76104,-0.59483,-1.7192,-2.6527,-3.385,-0.86346,-0.77807,-2.0406,-2.8978,-4.0437,0.94623,0.18591,-1.0711,-1.7985,-2.3298,-0.56491,-0.43122,-1.7516,-2.4755,-2.8416,0.60105,0.25005,-1.2887,-2.144,-2.6554,0.17114,0.14756,-1.4228,-2.0987,-2.439,1
0.3155,-0.35421,-1.3532,-2.362,-3.2592,0.76164,-0.22449,-1.1319,-2.2983,-3.2963,0.9041,-0.10698,-0.86059,-2.0183,-2.9619,0.88892,-0.084335,-0.90059,-1.4849,-1.6361,0.12826,-0.7109,-1.7457,-2.6711,-2.7623,0.011571,-0.68755,-1.4862,-2.6955,-3.5401,0.29543,-0.76922,-1.624,-2.521,-3.2568,1.2124,0.0074949,-0.66924,-1.4567,-1.3852,0.068181,-0.41948,-1.7222,-2.6968,-3.3028,-0.58383,-1.0435,-2.0821,-2.8453,-3.8925,1.0095,-0.0085932,-1.4454,-2.4912,-3.1522,0.33448,0.11661,-1.3799,-2.1393,-2.53,0.053049,0.19321,-1.5617,-2.6159,-3.1619,0.098824,0.049127,-1.4943,-2.3345,-2.6776,0.14146,-0.077565,-1.6326,-2.6497,-3.1346,-0.67227,-0.69084,-2.0825,-2.9878,-3.8735,0.97931,-0.14435,-1.2019,-2.1726,-3.1328,0.69326,-0.30745,-1.5461,-2.4028,-3.1236,0.70365,-0.20009,-1.2811,-2.4765,-3.5472,0.92368,-0.093023,-1.1884,-2.3071,-3.2326,0.16912,-0.30039,-1.0041,-1.9624,-2.643,0.024967,-0.5567,-1.3303,-2.274,-2.8299,0.46913,-0.45833,-1.4277,-2.6032,-3.4696,-0.67608,-1.2482,-1.7647,-2.5477,-3.8485,0.17179,-0.64727,-1.4061,-2.2283,-2.7712,0.93794,-0.18612,-1.0153,-1.8141,-2.0395,-0.47084,-0.74082,-1.6255,-2.5956,-3.1917,-0.93073,-1.2005,-2.0937,-2.8522,-3.8309,1.3481,-0.10455,-1.1968,-2.1909,-2.8832,-0.20646,-0.38963,-1.45,-2.1163,-2.3542,0.94165,0.055826,-1.3708,-2.4644,-3.1985,0.39134,0.017088,-1.5303,-2.6736,-3.2407,1
0.10038,-0.0562,-1.2992,-2.3212,-3.0314,0.27843,0.11368,-1.1111,-2.2616,-3.2377,0.34284,0.16149,-0.93934,-2.1927,-3.1487,0.43495,-0.029414,-1.3118,-2.4136,-3.076,-0.27121,-0.49551,-1.7917,-2.8132,-3.6262,-0.14981,-0.52989,-1.5275,-2.7223,-3.5799,-0.27294,-0.56087,-1.7048,-2.8384,-3.3937,0.36371,0.048079,-0.8924,-1.658,-1.5987,-0.18351,-0.096082,-1.6035,-2.6527,-3.0286,-0.80038,-0.62498,-1.9632,-3.0712,-4.031,0.18984,0.36585,-1.256,-2.4278,-2.952,0.35785,0.47886,-1.0216,-1.7631,-1.8192,0.0028154,0.56451,-1.323,-2.4861,-2.9474,0.16498,0.28121,-1.231,-2.019,-2.3035,0.21791,0.15876,-1.4189,-2.4595,-3.051,-0.60644,-0.12967,-1.9157,-3.0674,-3.9946,0.45429,0.15682,-1.0205,-2.1209,-2.834,0.33764,-0.097469,-1.3446,-2.3685,-2.8278,0.77665,0.13828,-1.1278,-2.4742,-3.5385,0.75355,0.26524,-0.92523,-2.1433,-2.9933,0.37102,-0.012501,-1.0627,-2.0593,-2.6857,-0.11084,-0.3577,-1.4439,-2.5566,-3.3581,0.58732,-0.10488,-1.1712,-2.5259,-3.5376,-0.3666,-0.99641,-1.6177,-2.516,-3.8817,-0.19531,-0.32716,-1.5586,-2.7195,-3.4545,0.52033,-0.11147,-1.2109,-2.1633,-2.6132,-0.37235,-0.31668,-1.6345,-2.6609,-3.3047,-0.60588,-0.55626,-1.9453,-2.9951,-4.0698,0.44371,0.24574,-1.1182,-2.1727,-2.8079,0.029789,-0.10388,-1.3332,-1.983,-2.3995,0.40965,0.4253,-1.2506,-2.4868,-3.1939,0.3662,0.32159,-1.3937,-2.6385,-3.351,1
