@relation liking 

@attribute Theta1_1 numeric
@attribute Alpha1_1 numeric
@attribute LowBeta1_1 numeric
@attribute HighBeta1_1 numeric
@attribute Gamma1_1 numeric
@attribute Theta2_1 numeric
@attribute Alpha2_1 numeric
@attribute LowBeta2_1 numeric
@attribute HighBeta2_1 numeric
@attribute Gamma2_1 numeric
@attribute Theta3_1 numeric
@attribute Alpha3_1 numeric
@attribute LowBeta3_1 numeric
@attribute HighBeta3_1 numeric
@attribute Gamma3_1 numeric
@attribute Theta4_1 numeric
@attribute Alpha4_1 numeric
@attribute LowBeta4_1 numeric
@attribute HighBeta4_1 numeric
@attribute Gamma4_1 numeric
@attribute Theta5_1 numeric
@attribute Alpha5_1 numeric
@attribute LowBeta5_1 numeric
@attribute HighBeta5_1 numeric
@attribute Gamma5_1 numeric
@attribute Theta6_1 numeric
@attribute Alpha6_1 numeric
@attribute LowBeta6_1 numeric
@attribute HighBeta6_1 numeric
@attribute Gamma6_1 numeric
@attribute Theta7_1 numeric
@attribute Alpha7_1 numeric
@attribute LowBeta7_1 numeric
@attribute HighBeta7_1 numeric
@attribute Gamma7_1 numeric
@attribute Theta8_1 numeric
@attribute Alpha8_1 numeric
@attribute LowBeta8_1 numeric
@attribute HighBeta8_1 numeric
@attribute Gamma8_1 numeric
@attribute Theta9_1 numeric
@attribute Alpha9_1 numeric
@attribute LowBeta9_1 numeric
@attribute HighBeta9_1 numeric
@attribute Gamma9_1 numeric
@attribute Theta10_1 numeric
@attribute Alpha10_1 numeric
@attribute LowBeta10_1 numeric
@attribute HighBeta10_1 numeric
@attribute Gamma10_1 numeric
@attribute Theta11_1 numeric
@attribute Alpha11_1 numeric
@attribute LowBeta11_1 numeric
@attribute HighBeta11_1 numeric
@attribute Gamma11_1 numeric
@attribute Theta12_1 numeric
@attribute Alpha12_1 numeric
@attribute LowBeta12_1 numeric
@attribute HighBeta12_1 numeric
@attribute Gamma12_1 numeric
@attribute Theta13_1 numeric
@attribute Alpha13_1 numeric
@attribute LowBeta13_1 numeric
@attribute HighBeta13_1 numeric
@attribute Gamma13_1 numeric
@attribute Theta14_1 numeric
@attribute Alpha14_1 numeric
@attribute LowBeta14_1 numeric
@attribute HighBeta14_1 numeric
@attribute Gamma14_1 numeric
@attribute Theta15_1 numeric
@attribute Alpha15_1 numeric
@attribute LowBeta15_1 numeric
@attribute HighBeta15_1 numeric
@attribute Gamma15_1 numeric
@attribute Theta16_1 numeric
@attribute Alpha16_1 numeric
@attribute LowBeta16_1 numeric
@attribute HighBeta16_1 numeric
@attribute Gamma16_1 numeric
@attribute Theta17_1 numeric
@attribute Alpha17_1 numeric
@attribute LowBeta17_1 numeric
@attribute HighBeta17_1 numeric
@attribute Gamma17_1 numeric
@attribute Theta18_1 numeric
@attribute Alpha18_1 numeric
@attribute LowBeta18_1 numeric
@attribute HighBeta18_1 numeric
@attribute Gamma18_1 numeric
@attribute Theta19_1 numeric
@attribute Alpha19_1 numeric
@attribute LowBeta19_1 numeric
@attribute HighBeta19_1 numeric
@attribute Gamma19_1 numeric
@attribute Theta20_1 numeric
@attribute Alpha20_1 numeric
@attribute LowBeta20_1 numeric
@attribute HighBeta20_1 numeric
@attribute Gamma20_1 numeric
@attribute Theta21_1 numeric
@attribute Alpha21_1 numeric
@attribute LowBeta21_1 numeric
@attribute HighBeta21_1 numeric
@attribute Gamma21_1 numeric
@attribute Theta22_1 numeric
@attribute Alpha22_1 numeric
@attribute LowBeta22_1 numeric
@attribute HighBeta22_1 numeric
@attribute Gamma22_1 numeric
@attribute Theta23_1 numeric
@attribute Alpha23_1 numeric
@attribute LowBeta23_1 numeric
@attribute HighBeta23_1 numeric
@attribute Gamma23_1 numeric
@attribute Theta24_1 numeric
@attribute Alpha24_1 numeric
@attribute LowBeta24_1 numeric
@attribute HighBeta24_1 numeric
@attribute Gamma24_1 numeric
@attribute Theta25_1 numeric
@attribute Alpha25_1 numeric
@attribute LowBeta25_1 numeric
@attribute HighBeta25_1 numeric
@attribute Gamma25_1 numeric
@attribute Theta26_1 numeric
@attribute Alpha26_1 numeric
@attribute LowBeta26_1 numeric
@attribute HighBeta26_1 numeric
@attribute Gamma26_1 numeric
@attribute Theta27_1 numeric
@attribute Alpha27_1 numeric
@attribute LowBeta27_1 numeric
@attribute HighBeta27_1 numeric
@attribute Gamma27_1 numeric
@attribute Theta28_1 numeric
@attribute Alpha28_1 numeric
@attribute LowBeta28_1 numeric
@attribute HighBeta28_1 numeric
@attribute Gamma28_1 numeric
@attribute Theta29_1 numeric
@attribute Alpha29_1 numeric
@attribute LowBeta29_1 numeric
@attribute HighBeta29_1 numeric
@attribute Gamma29_1 numeric
@attribute Theta30_1 numeric
@attribute Alpha30_1 numeric
@attribute LowBeta30_1 numeric
@attribute HighBeta30_1 numeric
@attribute Gamma30_1 numeric
@attribute Theta31_1 numeric
@attribute Alpha31_1 numeric
@attribute LowBeta31_1 numeric
@attribute HighBeta31_1 numeric
@attribute Gamma31_1 numeric
@attribute Theta32_1 numeric
@attribute Alpha32_1 numeric
@attribute LowBeta32_1 numeric
@attribute HighBeta32_1 numeric
@attribute Gamma32_1 numeric
@attribute class {-1,1}

@data
NaN,0,0,0,0,1.48,0,0,0,0,1.6772,0,0,0,0,1.6253,0,0,0,0,0.82836,0,0,0,0,0.82061,0,0,0,0,0.94556,0,0,0,0,1.8355,0,0,0,0,0.74685,0,0,0,0,0.41678,0,0,0,0,1.7186,0,0,0,0,1.187,0,0,0,0,1.0924,0,0,0,0,1.395,0,0,0,0,1.4448,0,0,0,0,0.5695,0,0,0,0,1.9139,0,0,0,0,1.5324,0,0,0,0,1.705,0,0,0,0,1.9989,0,0,0,0,1.221,0,0,0,0,0.82865,0,0,0,0,1.4795,0,0,0,0,0.57512,0,0,0,0,0.7933,0,0,0,0,1.7351,0,0,0,0,0.48871,0,0,0,0,0.43401,0,0,0,0,2.3035,0,0,0,0,0.8082,0,0,0,0,1.926,0,0,0,0,1.5552,0,0,0,0,1
1.404,0,0,0,0,1.8799,0,0,0,0,2.0365,0,0,0,0,2.102,0,0,0,0,1.0005,0,0,0,0,1.1596,0,0,0,0,1.309,0,0,0,0,2.6339,0,0,0,0,0.896,0,0,0,0,0.56865,0,0,0,0,2.4111,0,0,0,0,1.525,0,0,0,0,1.2513,0,0,0,0,1.6868,0,0,0,0,1.8558,0,0,0,0,0.71468,0,0,0,0,2.6028,0,0,0,0,1.9851,0,0,0,0,2.103,0,0,0,0,2.6009,0,0,0,0,1.6016,0,0,0,0,0.9522,0,0,0,0,1.8803,0,0,0,0,0.6854,0,0,0,0,1.0233,0,0,0,0,2.162,0,0,0,0,0.52596,0,0,0,0,0.56851,0,0,0,0,3.224,0,0,0,0,0.88613,0,0,0,0,2.6845,0,0,0,0,2.1581,0,0,0,0,1
1.2539,0,0,0,0,1.745,0,0,0,0,2.067,0,0,0,0,2.2082,0,0,0,0,1.1778,0,0,0,0,1.0176,0,0,0,0,1.2356,0,0,0,0,2.8691,0,0,0,0,0.96981,0,0,0,0,0.45479,0,0,0,0,2.5988,0,0,0,0,1.6042,0,0,0,0,1.1145,0,0,0,0,1.3538,0,0,0,0,1.4826,0,0,0,0,0.57696,0,0,0,0,2.5986,0,0,0,0,1.8824,0,0,0,0,2.4912,0,0,0,0,2.8687,0,0,0,0,1.3176,0,0,0,0,0.93925,0,0,0,0,2.007,0,0,0,0,0.58804,0,0,0,0,1.0838,0,0,0,0,2.2094,0,0,0,0,0.62138,0,0,0,0,0.49139,0,0,0,0,3.3549,0,0,0,0,0.82469,0,0,0,0,2.5114,0,0,0,0,1.7454,0,0,0,0,1
1.1835,0,0,0,0,1.7989,0,0,0,0,2.0934,0,0,0,0,1.7015,0,0,0,0,1.0054,0,0,0,0,0.80201,0,0,0,0,1.0571,0,0,0,0,2.0112,0,0,0,0,0.89856,0,0,0,0,0.47778,0,0,0,0,2.2003,0,0,0,0,1.455,0,0,0,0,1.0806,0,0,0,0,1.2895,0,0,0,0,1.458,0,0,0,0,0.63405,0,0,0,0,2.7877,0,0,0,0,2.4252,0,0,0,0,3.7757,0,0,0,0,3.413,0,0,0,0,1.3151,0,0,0,0,1.0977,0,0,0,0,2.7576,0,0,0,0,2.3598,0,0,0,0,0.82539,0,0,0,0,2.2804,0,0,0,0,0.63425,0,0,0,0,0.46022,0,0,0,0,2.8993,0,0,0,0,0.75624,0,0,0,0,2.3199,0,0,0,0,1.7456,0,0,0,0,1
0.66688,0,0,0,0,0.81107,0,0,0,0,0.85167,0,0,0,0,0.94832,0,0,0,0,0.50529,0,0,0,0,0.56127,0,0,0,0,0.50363,0,0,0,0,1.0463,0,0,0,0,0.50084,0,0,0,0,0.3817,0,0,0,0,0.80286,0,0,0,0,0.8568,0,0,0,0,0.74087,0,0,0,0,0.8629,0,0,0,0,0.8397,0,0,0,0,0.43372,0,0,0,0,1.0045,0,0,0,0,0.84013,0,0,0,0,0.96745,0,0,0,0,1.1195,0,0,0,0,0.93861,0,0,0,0,0.58592,0,0,0,0,1.0616,0,0,0,0,0.53429,0,0,0,0,0.50153,0,0,0,0,0.99577,0,0,0,0,0.36899,0,0,0,0,0.41298,0,0,0,0,1.0365,0,0,0,0,0.57801,0,0,0,0,0.96366,0,0,0,0,0.94708,0,0,0,0,1
1.0232,0,0,0,0,1.2361,0,0,0,0,1.4009,0,0,0,0,1.5362,0,0,0,0,0.64916,0,0,0,0,0.73899,0,0,0,0,0.86166,0,0,0,0,1.7085,0,0,0,0,0.68829,0,0,0,0,0.48986,0,0,0,0,1.4186,0,0,0,0,1.058,0,0,0,0,1.0758,0,0,0,0,1.3136,0,0,0,0,1.3615,0,0,0,0,0.59304,0,0,0,0,1.7057,0,0,0,0,1.4351,0,0,0,0,1.4138,0,0,0,0,1.693,0,0,0,0,1.2249,0,0,0,0,0.78674,0,0,0,0,1.3026,0,0,0,0,0.65847,0,0,0,0,0.68747,0,0,0,0,1.4218,0,0,0,0,0.49872,0,0,0,0,0.4655,0,0,0,0,2.0395,0,0,0,0,0.77908,0,0,0,0,1.927,0,0,0,0,1.7703,0,0,0,0,1
1.1337,0,0,0,0,1.3887,0,0,0,0,1.5366,0,0,0,0,1.7794,0,0,0,0,0.9187,0,0,0,0,0.89651,0,0,0,0,1.0708,0,0,0,0,2.5,0,0,0,0,0.88494,0,0,0,0,0.5012,0,0,0,0,2.0769,0,0,0,0,1.3396,0,0,0,0,1.0812,0,0,0,0,1.1998,0,0,0,0,1.2619,0,0,0,0,0.58781,0,0,0,0,2.0777,0,0,0,0,1.6891,0,0,0,0,1.5322,0,0,0,0,2.0851,0,0,0,0,1.3425,0,0,0,0,0.95173,0,0,0,0,1.3496,0,0,0,0,0.61194,0,0,0,0,0.92819,0,0,0,0,1.8628,0,0,0,0,0.48137,0,0,0,0,0.4458,0,0,0,0,2.6183,0,0,0,0,0.72643,0,0,0,0,1.9287,0,0,0,0,1.3512,0,0,0,0,1
1.1996,0,0,0,0,1.4829,0,0,0,0,1.5977,0,0,0,0,1.8605,0,0,0,0,1.084,0,0,0,0,0.92346,0,0,0,0,0.94375,0,0,0,0,2.6433,0,0,0,0,0.77559,0,0,0,0,0.42837,0,0,0,0,2.1427,0,0,0,0,1.105,0,0,0,0,0.97793,0,0,0,0,1.1322,0,0,0,0,1.2392,0,0,0,0,0.53669,0,0,0,0,2.2764,0,0,0,0,1.6101,0,0,0,0,1.9749,0,0,0,0,2.3091,0,0,0,0,1.099,0,0,0,0,0.75958,0,0,0,0,1.7148,0,0,0,0,0.59644,0,0,0,0,0.89869,0,0,0,0,1.7755,0,0,0,0,0.51907,0,0,0,0,0.46949,0,0,0,0,2.8302,0,0,0,0,0.63072,0,0,0,0,2.0127,0,0,0,0,1.3425,0,0,0,0,1
1.5183,0,0,0,0,2.3791,0,0,0,0,2.7846,0,0,0,0,2.8115,0,0,0,0,1.3179,0,0,0,0,1.1452,0,0,0,0,1.6786,0,0,0,0,4.122,0,0,0,0,1.2487,0,0,0,0,0.61477,0,0,0,0,3.214,0,0,0,0,1.5519,0,0,0,0,1.1859,0,0,0,0,1.2317,0,0,0,0,1.2869,0,0,0,0,0.58327,0,0,0,0,3.2532,0,0,0,0,2.6986,0,0,0,0,2.7184,0,0,0,0,3.2592,0,0,0,0,1.3404,0,0,0,0,1.2198,0,0,0,0,2.0299,0,0,0,0,0.55713,0,0,0,0,1.3942,0,0,0,0,3.12,0,0,0,0,0.69694,0,0,0,0,0.43109,0,0,0,0,4.767,0,0,0,0,0.92283,0,0,0,0,3.036,0,0,0,0,1.6742,0,0,0,0,1
1.2616,0,0,0,0,1.5781,0,0,0,0,1.7691,0,0,0,0,1.7583,0,0,0,0,0.86023,0,0,0,0,1.1571,0,0,0,0,0.85657,0,0,0,0,1.6074,0,0,0,0,0.90635,0,0,0,0,0.4878,0,0,0,0,1.3803,0,0,0,0,1.6147,0,0,0,0,1.101,0,0,0,0,1.3063,0,0,0,0,1.4354,0,0,0,0,0.59418,0,0,0,0,1.7791,0,0,0,0,1.5934,0,0,0,0,3.1302,0,0,0,0,2.6429,0,0,0,0,1.5825,0,0,0,0,0.97491,0,0,0,0,2.4085,0,0,0,0,0.81112,0,0,0,0,0.9015,0,0,0,0,1.9804,0,0,0,0,0.79434,0,0,0,0,0.60141,0,0,0,0,1.744,0,0,0,0,1.2441,0,0,0,0,1.7124,0,0,0,0,1.6585,0,0,0,0,1
1.2491,0,0,0,0,1.9011,0,0,0,0,2.282,0,0,0,0,2.2617,0,0,0,0,1.1984,0,0,0,0,0.97236,0,0,0,0,1.3982,0,0,0,0,3.2614,0,0,0,0,1.1609,0,0,0,0,0.52952,0,0,0,0,2.9978,0,0,0,0,1.8043,0,0,0,0,1.3796,0,0,0,0,1.5671,0,0,0,0,1.4568,0,0,0,0,0.66541,0,0,0,0,2.4638,0,0,0,0,2.2041,0,0,0,0,2.0191,0,0,0,0,2.5765,0,0,0,0,1.5229,0,0,0,0,1.1383,0,0,0,0,1.9355,0,0,0,0,0.65769,0,0,0,0,1.215,0,0,0,0,2.3749,0,0,0,0,0.59017,0,0,0,0,0.49857,0,0,0,0,3.665,0,0,0,0,0.79745,0,0,0,0,2.6004,0,0,0,0,1.69,0,0,0,0,1
0.87355,0,0,0,0,1.0952,0,0,0,0,1.2147,0,0,0,0,1.2209,0,0,0,0,0.6549,0,0,0,0,0.62377,0,0,0,0,0.7124,0,0,0,0,1.6137,0,0,0,0,0.67278,0,0,0,0,0.40927,0,0,0,0,1.3062,0,0,0,0,0.96033,0,0,0,0,0.84208,0,0,0,0,1.0198,0,0,0,0,1.0334,0,0,0,0,0.43864,0,0,0,0,1.4915,0,0,0,0,1.1811,0,0,0,0,1.2727,0,0,0,0,1.5032,0,0,0,0,1.0363,0,0,0,0,0.73021,0,0,0,0,1.1022,0,0,0,0,0.43071,0,0,0,0,0.69068,0,0,0,0,1.2943,0,0,0,0,0.40093,0,0,0,0,0.37695,0,0,0,0,1.7516,0,0,0,0,0.66408,0,0,0,0,1.4744,0,0,0,0,1.1556,0,0,0,0,1
0.9471,0,0,0,0,1.1044,0,0,0,0,1.2456,0,0,0,0,1.4257,0,0,0,0,0.71804,0,0,0,0,0.72217,0,0,0,0,0.72822,0,0,0,0,1.4756,0,0,0,0,0.71027,0,0,0,0,0.40546,0,0,0,0,1.165,0,0,0,0,1.0401,0,0,0,0,0.9753,0,0,0,0,1.1595,0,0,0,0,1.1937,0,0,0,0,0.50291,0,0,0,0,1.4892,0,0,0,0,1.4772,0,0,0,0,1.7943,0,0,0,0,1.8311,0,0,0,0,0.97905,0,0,0,0,0.69853,0,0,0,0,1.5155,0,0,0,0,0.61142,0,0,0,0,0.63467,0,0,0,0,1.43,0,0,0,0,0.48287,0,0,0,0,0.43315,0,0,0,0,1.5562,0,0,0,0,0.70984,0,0,0,0,1.4732,0,0,0,0,1.3419,0,0,0,0,1
1.0577,0,0,0,0,1.3121,0,0,0,0,1.4998,0,0,0,0,1.6519,0,0,0,0,0.93041,0,0,0,0,0.83559,0,0,0,0,0.89817,0,0,0,0,1.9913,0,0,0,0,0.70756,0,0,0,0,0.48695,0,0,0,0,1.9924,0,0,0,0,1.0889,0,0,0,0,1.0774,0,0,0,0,1.1756,0,0,0,0,1.1352,0,0,0,0,0.57458,0,0,0,0,1.9754,0,0,0,0,1.5527,0,0,0,0,1.4148,0,0,0,0,1.874,0,0,0,0,1.2788,0,0,0,0,0.78105,0,0,0,0,1.2611,0,0,0,0,0.62641,0,0,0,0,0.79862,0,0,0,0,1.6,0,0,0,0,0.40602,0,0,0,0,0.4291,0,0,0,0,2.2874,0,0,0,0,0.65147,0,0,0,0,1.7659,0,0,0,0,1.3311,0,0,0,0,1
1.0465,0,0,0,0,1.6213,0,0,0,0,1.908,0,0,0,0,1.8123,0,0,0,0,1.2838,0,0,0,0,1.2814,0,0,0,0,1.3277,0,0,0,0,3.3397,0,0,0,0,1.0084,0,0,0,0,0.52131,0,0,0,0,2.9286,0,0,0,0,1.4397,0,0,0,0,1.2732,0,0,0,0,1.4935,0,0,0,0,1.3635,0,0,0,0,0.59411,0,0,0,0,2.7955,0,0,0,0,1.944,0,0,0,0,1.4308,0,0,0,0,2.4728,0,0,0,0,1.5971,0,0,0,0,0.96063,0,0,0,0,1.3736,0,0,0,0,0.64892,0,0,0,0,1.2629,0,0,0,0,2.3889,0,0,0,0,0.50773,0,0,0,0,0.4938,0,0,0,0,4.2217,0,0,0,0,0.79768,0,0,0,0,2.7252,0,0,0,0,1.652,0,0,0,0,1
1.2093,0,0,0,0,1.7371,0,0,0,0,2.1704,0,0,0,0,2.412,0,0,0,0,1.1814,0,0,0,0,1.1297,0,0,0,0,1.6075,0,0,0,0,3.734,0,0,0,0,1.1314,0,0,0,0,0.51288,0,0,0,0,2.5426,0,0,0,0,1.2015,0,0,0,0,1.2606,0,0,0,0,1.5091,0,0,0,0,1.6982,0,0,0,0,0.65793,0,0,0,0,2.2333,0,0,0,0,2.4707,0,0,0,0,1.7111,0,0,0,0,2.2241,0,0,0,0,1.4846,0,0,0,0,1.2817,0,0,0,0,1.4805,0,0,0,0,0.55209,0,0,0,0,1.3421,0,0,0,0,2.4661,0,0,0,0,0.56503,0,0,0,0,0.49127,0,0,0,0,3.9237,0,0,0,0,0.84941,0,0,0,0,2.8734,0,0,0,0,2.0193,0,0,0,0,1
1.3306,0,0,0,0,2.0824,0,0,0,0,2.6687,0,0,0,0,2.6859,0,0,0,0,1.5703,0,0,0,0,1.4697,0,0,0,0,1.9405,0,0,0,0,4.6743,0,0,0,0,1.2323,0,0,0,0,0.54303,0,0,0,0,3.7705,0,0,0,0,1.3391,0,0,0,0,1.4186,0,0,0,0,1.8054,0,0,0,0,1.7099,0,0,0,0,0.63401,0,0,0,0,2.9186,0,0,0,0,3.2059,0,0,0,0,1.8952,0,0,0,0,2.879,0,0,0,0,1.5617,0,0,0,0,1.4086,0,0,0,0,1.6432,0,0,0,0,0.59007,0,0,0,0,1.5713,0,0,0,0,3.1117,0,0,0,0,0.48073,0,0,0,0,0.53412,0,0,0,0,5.1197,0,0,0,0,0.79668,0,0,0,0,3.2556,0,0,0,0,1.988,0,0,0,0,1
1.1789,0,0,0,0,1.6063,0,0,0,0,1.7502,0,0,0,0,1.8647,0,0,0,0,0.9171,0,0,0,0,0.85886,0,0,0,0,1.0993,0,0,0,0,2.2464,0,0,0,0,0.79676,0,0,0,0,0.46578,0,0,0,0,2.0106,0,0,0,0,1.0615,0,0,0,0,1.042,0,0,0,0,1.218,0,0,0,0,1.3266,0,0,0,0,0.62152,0,0,0,0,2.2442,0,0,0,0,1.9291,0,0,0,0,1.8444,0,0,0,0,2.2513,0,0,0,0,1.3055,0,0,0,0,0.9219,0,0,0,0,1.5229,0,0,0,0,0.60086,0,0,0,0,0.92951,0,0,0,0,1.7603,0,0,0,0,0.53425,0,0,0,0,0.44913,0,0,0,0,2.7719,0,0,0,0,0.66443,0,0,0,0,2.091,0,0,0,0,1.568,0,0,0,0,1
1.0512,0,0,0,0,1.3711,0,0,0,0,1.6441,0,0,0,0,1.5025,0,0,0,0,0.8223,0,0,0,0,0.94069,0,0,0,0,0.7921,0,0,0,0,1.8589,0,0,0,0,0.82572,0,0,0,0,0.45311,0,0,0,0,1.4425,0,0,0,0,1.5048,0,0,0,0,1.1205,0,0,0,0,1.2525,0,0,0,0,1.3133,0,0,0,0,0.52928,0,0,0,0,1.6346,0,0,0,0,1.4818,0,0,0,0,2.2057,0,0,0,0,2.3322,0,0,0,0,1.0882,0,0,0,0,0.79147,0,0,0,0,1.7608,0,0,0,0,0.6556,0,0,0,0,0.79106,0,0,0,0,1.5291,0,0,0,0,0.52327,0,0,0,0,0.52442,0,0,0,0,1.7153,0,0,0,0,0.79919,0,0,0,0,1.5552,0,0,0,0,1.3925,0,0,0,0,1
1.0002,0,0,0,0,1.3636,0,0,0,0,1.6142,0,0,0,0,1.6638,0,0,0,0,0.84431,0,0,0,0,0.80996,0,0,0,0,1.0778,0,0,0,0,2.0889,0,0,0,0,0.89256,0,0,0,0,0.47896,0,0,0,0,1.7404,0,0,0,0,1.4226,0,0,0,0,1.1462,0,0,0,0,1.3822,0,0,0,0,1.3644,0,0,0,0,0.52498,0,0,0,0,1.6757,0,0,0,0,1.6106,0,0,0,0,1.7105,0,0,0,0,2.0017,0,0,0,0,1.2214,0,0,0,0,0.94327,0,0,0,0,1.5636,0,0,0,0,3.4448,0,0,0,0,0.9577,0,0,0,0,1.7191,0,0,0,0,0.53328,0,0,0,0,0.53119,0,0,0,0,2.2446,0,0,0,0,0.79027,0,0,0,0,1.8088,0,0,0,0,1.4846,0,0,0,0,1
1.4526,0,0,0,0,1.9789,0,0,0,0,2.1469,0,0,0,0,2.0968,0,0,0,0,1.2868,0,0,0,0,1.1429,0,0,0,0,1.2569,0,0,0,0,2.9179,0,0,0,0,1.0282,0,0,0,0,0.51735,0,0,0,0,2.7899,0,0,0,0,1.8752,0,0,0,0,1.4098,0,0,0,0,1.6655,0,0,0,0,1.7243,0,0,0,0,0.68553,0,0,0,0,3.0126,0,0,0,0,2.2641,0,0,0,0,2.9755,0,0,0,0,3.5709,0,0,0,0,1.5338,0,0,0,0,0.92997,0,0,0,0,2.3528,0,0,0,0,0.62332,0,0,0,0,0.9598,0,0,0,0,2.2495,0,0,0,0,0.64943,0,0,0,0,0.47955,0,0,0,0,3.3716,0,0,0,0,1.2747,0,0,0,0,2.6876,0,0,0,0,2.0038,0,0,0,0,1
