@relation liking 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
659.34,531.84,354.43,194,138.69,742.99,563.5,382.78,201.9,131.36,793.77,594.6,408.05,214.74,139.78,774.66,599.31,347.11,204.86,153.83,580.47,431.4,255.28,163.29,127.23,563.85,416.56,296.67,166.98,112.93,592.7,479.48,256.98,179.75,128.18,840.92,621.51,406.93,291.71,282.4,534.63,556.42,274.52,182.99,139.65,408.83,411.02,234.08,141.34,87.552,817.04,671.83,328.46,199.15,158.98,680.95,699.19,358.69,254.45,216.99,644.06,752.79,309.18,201.31,161.91,721.34,681.08,354.97,264.54,229.76,739.08,627.95,309.63,194.29,152.05,474.34,514.95,252.27,135.47,89.751,862.27,568.75,377.5,207.55,146.9,754.21,535.93,329.74,205.91,163.31,808.4,565.91,347.47,174.08,110.12,884.65,595.63,376.8,202.9,136.01,699.46,560.62,389.34,204.45,152.01,559.87,491.07,304.41,177.2,126.9,747.63,513.01,323.46,175.57,115.23,466.27,335.83,268.35,179.41,89.053,546.81,469.56,284.91,180.73,120.26,833.62,604.95,338.14,237.78,194.72,428.91,488.87,265.54,163.97,119.88,412.28,396.37,238.65,145.44,84.554,936.1,679.34,358.59,218.05,172.85,553.39,541.84,288.42,188.04,167.62,855.38,711.52,333.13,191.09,135.47,773.21,670.58,312,177.95,122.38,1
748.55,548.41,364.29,202.41,162.35,873.52,589.56,385.19,192.62,138,918.25,610.69,409.39,217.7,141.13,950.25,631.26,431.68,301.99,278.78,648.49,477.01,268.67,174.17,137.99,696.15,439.38,316.24,152.05,107.52,720.84,485.11,284.35,171.63,128.04,1068.4,669.37,429.63,318.09,306.93,617.51,550.81,276.29,172.72,133.1,469.47,413.11,229.38,143.96,94.548,985.78,712.37,317.58,200.89,153.07,769.13,701.64,325.87,219.91,188.33,706.22,744.56,297.62,170.01,129.9,794.37,667.89,300.66,188.46,153.54,839.98,649.07,290.01,172.13,133,513.59,519.1,240.94,126.79,93.201,1012.6,628.51,364.32,209.34,159.72,912.67,552.79,321.77,198.52,159.02,924.19,573.98,356.84,163.3,107.59,1015.9,668.32,377.06,212.13,139.2,813.27,588.38,377.76,236.4,178.01,621.36,508.7,304.64,179.29,122.44,869.13,543.86,336.32,169.36,109.48,527.6,360.1,278.16,172.81,86.674,671.74,485.5,288.17,173.9,111.86,939.25,622.93,354.07,225.06,200.96,456.99,473.82,276.2,160.3,119.32,472.21,418.42,227.23,141.7,85.362,1158.1,687.63,375.4,222,170.5,584.17,536.67,310.03,206.86,185.92,1032.6,730.17,341.11,190,139.35,899.57,697.59,304.77,179.72,137.71,1
691.27,599.58,372.96,203.6,155.68,825.76,637.27,406.92,210.34,132.28,888.69,650.61,442.7,217.92,138.07,889.74,657.04,402.83,269.9,255.6,665.65,487.32,271.57,185.21,150.56,602.96,444.2,313.13,170.21,107.94,689.4,501.58,292.07,180.69,145.51,1010.2,667.09,427.09,331.9,329.95,600.31,587.28,291.42,185.81,151.17,431.23,468.19,245.47,152.24,91.68,993.86,751.6,344.3,195.43,149.03,771.78,744.8,376.23,259.64,224.85,645.17,792.37,305.21,179.39,119.62,708.31,717.32,318.26,182.89,135.28,760.29,709.28,314.17,177.67,131.86,469.91,558.37,240.91,140.06,88.297,1021.7,669.24,386.32,213.28,148.05,858.51,594.56,338.92,190.28,146.2,970.87,589.39,391.67,187.07,108.84,1057.1,703.52,408.73,213.86,137.33,715.51,628.06,395.77,220.45,170.46,588.57,523.95,320.45,178.43,117.5,883.46,545.16,371.15,173.16,109.03,459.81,366.23,294.27,183.9,92.014,634.45,535.89,296.54,176.29,114.68,925.91,610.37,362.76,218.83,186.74,484.63,512.67,275.88,166.11,117.09,433.64,437.44,241.86,153.97,88.732,1137,733.92,371.31,218.35,168.44,563.76,607.28,308.36,214,177.99,991.13,823.63,348.66,196.75,146.79,828.36,818.13,329.44,187.92,147.9,1
676.76,522.81,320.26,208,148.42,808.76,546.16,351.56,203.32,131.9,877.53,560.49,396.63,222.28,148.99,837.59,574.14,352.96,228.1,181.66,606.92,429.15,263.79,176.97,140.69,528.89,421.67,302.63,167.35,116.54,628.58,443.37,263.77,174.48,127.12,868.48,625.67,453.76,346.69,364.78,581.71,519.74,254.38,171.4,128.9,426.21,420.83,226.37,152.13,90.881,855.43,645.03,296.86,189.89,139.17,713.99,645.26,301.35,204.38,167.47,631.72,726.64,292.62,184.3,137.92,692.7,662.51,311.22,211.59,176.95,725.81,640.47,283.79,181,132.48,477.7,504.41,225.58,140.08,89.716,944.94,571.76,345,221.18,148.75,880.12,548.46,315.23,202.57,156.37,1003,554.86,340.9,176.35,108.79,1036.5,595.16,361.04,201.34,134.13,696.42,589.48,372.65,244.18,175.03,626.83,506.25,306.63,201.92,149.28,890.43,522.18,321.71,185.69,115.56,937.67,431.82,306.12,197.6,106.09,562.93,493.29,278.52,184.4,115.48,900.51,579.05,400.91,239.45,224.79,503.88,458.09,256.65,164.39,104.51,423.72,395.11,233.99,153.29,88.14,1002.5,617.83,336.25,215.49,161.07,529.7,480,253.71,170.36,121.29,896.31,692.21,310.36,187.77,133.06,793.08,690.55,290.51,177.29,124.07,1
502.89,498.61,321.92,195.71,128.35,545.62,512.43,347.6,204.68,126.29,564.35,525.76,383.48,219.1,130.05,602.77,516.98,318.05,207.19,153,440.43,398.62,256.43,167.08,121.26,461.79,373.02,281.8,162.87,102.56,440.1,403.7,260.48,170.6,114.61,617.01,589.09,488.54,365.19,370.23,442.3,496.95,280.45,168.95,131.91,382.65,391.47,222.11,143.42,86.852,555.98,624.85,310.41,181.55,130.61,585.12,652.99,328.27,226.11,187.3,540.87,738.98,294.81,168.45,121.24,580.44,648.11,304.36,183.86,147.07,573.81,616.04,292.99,159.15,121.29,419.07,491.84,226.76,142.62,87.451,610.13,521.59,348.63,201.83,131.8,568.02,496.74,316.18,180.08,138.81,614.42,496.59,355.72,174.47,103.73,662.2,529.46,373.42,190.26,123.16,581.75,520.77,368.03,220.68,155.25,467.9,452.83,295.2,176.49,115.67,648.27,454.85,334.17,169.71,108.16,454.72,317.08,267.55,188.04,95.171,441.65,415.08,258.69,174.5,106.98,609.12,528.25,398.64,253.86,233.09,374.28,451.36,260,179.94,132.44,398.91,373.43,212.34,148.14,84.323,626.51,595.65,336.11,210.13,150.93,463.54,538.03,308.85,225.08,184.32,601.77,672.9,318.06,178.87,125.9,602.32,684.15,309.88,165.65,118.25,1
642.58,512.12,333.38,195.25,154.18,703.28,538.86,361.41,194.75,127.17,744.22,570.57,398.98,210.34,138.71,767.57,579.78,344.55,221.28,174.34,518.91,462.84,257.14,187.81,153.57,555.03,422.76,294.62,168.39,116.65,584.15,453.08,267.56,199.81,155.62,833.72,700.08,467.26,369.68,356.23,524.34,547.95,294.97,216.59,181.33,425.15,375.47,230.68,148.77,93.734,742.64,652.43,325.41,196.24,162.69,649.09,719.18,355.53,245.16,218.69,666.61,743.19,302.63,181.83,133.07,745.92,662.42,311.58,204.72,164.73,763.14,605.76,295.02,180.83,138.59,491.79,529.17,240.77,137.64,91.925,814.44,548.75,352.62,205.95,153.01,780.12,528.66,312.06,201.51,169.21,735.88,534.47,349.87,178.62,110.32,805.83,586.76,375.95,204.57,139.1,700.98,534.42,362.26,222.78,154.54,569,469.86,296.94,188.08,134.07,707.55,503.97,329.22,180.66,113.92,487.38,349.04,277.28,183.1,96.541,530.75,467.93,283.11,184.75,126.38,758.85,594.69,383.86,299.64,270.54,442.71,468.58,266.08,164.25,125.02,423.97,422.84,237.81,151.31,90.923,908.65,676.55,356.43,230.42,183.8,563.51,524.82,298.66,211.81,190.7,877.08,710.35,322.59,197.79,152.42,845.24,662.54,297.91,186.94,141.81,1
661.72,548.05,346.63,194.08,143.72,745.25,591.6,397.47,236.03,166.95,778.85,652.74,460.37,329.52,223.13,839.19,614.04,381.6,293.76,222.46,603.01,466.42,265.89,201.88,170.51,599.68,466.93,326.01,205.77,140.23,653.95,543.36,293.74,205.38,149.5,1003,693.52,479.26,372.75,381,582.1,661.92,290.82,188.76,157.02,415.31,475.24,238.76,155.88,89.02,914.97,768.76,344.56,197.34,156.41,714.02,789.06,391.29,281.97,259.09,658.07,848.97,322.15,194.11,155.9,693.88,742.15,350.43,243.41,220.39,714.06,681.42,320.63,192.61,152.22,472.53,542.33,236.24,145.73,93.442,902.22,627.51,379.06,212.07,149.33,804.85,596.91,337.41,198.87,157.14,751.53,579.12,371.24,184.81,117.16,903.2,638.42,393.95,210.71,139.07,710.62,592.23,392.46,227.96,164.13,586.51,541.43,315.36,199.41,149.06,709.88,552.31,346.77,182.23,113.51,473.12,365.01,294.07,189.86,92.783,611.71,570.26,304.25,185.82,122.05,833.91,630.88,378.16,255.97,217.23,427.29,505.64,278.56,162.83,115.37,406.68,414.29,227.04,151.68,86.153,1057.2,697.94,376.61,220.37,164.12,527.96,558.74,302.32,195.71,150.28,900.68,752.61,355.08,193.32,134.04,733.62,749.97,330.33,188.69,128.91,1
679.1,553.9,345.1,213.14,151.25,756.79,587.56,382.25,220.87,135.69,775.33,605.48,424.83,231.49,151.41,825.52,606.41,360.3,224.49,174.79,631.68,490.64,285.07,179.15,152.45,582.3,446.97,323.75,181.27,127.39,586.72,480.86,290,189.71,144.96,988.29,741.09,514.91,420.62,441.23,544.37,603.26,283.04,179.13,148.83,418.2,428.21,243.24,147.38,91.856,895.73,751.69,349.13,223.13,180.48,640.13,756.8,333.19,216.52,178.92,617.89,791.04,307.62,184.08,129.66,664.46,690.56,311.98,194.42,157.45,694.33,648.35,303.66,192.78,163.96,456.87,540.52,244.64,140.28,90.647,934.07,628.15,387.33,237.23,168.3,762.27,548.4,342.72,221.1,186.89,820.85,602.66,381.88,193.74,113.86,918.93,633.18,405.75,218.8,151.13,663.58,556.51,374.71,217.26,148.86,544.99,492.46,311.08,182.11,122.92,785.95,567.14,354.48,188.49,124.43,468.86,380.88,290.18,186.67,96.994,589.86,534.61,291.13,195.4,127.45,819.62,617.73,411,267.02,247.68,440.66,491.12,281.62,174.33,118.05,422.84,447.96,236.24,150.08,85.293,1034.5,713.54,381.22,257.46,204.13,499.08,525.93,277.94,190.79,154.13,884.45,735.84,343.46,216.65,171.37,718.26,699.08,320.13,223,192.12,1
743.92,540.77,339.58,203.11,128.45,927.89,579.21,386.68,204.39,124.37,1012.4,617.38,438.67,230.93,148.28,999.2,619.42,423.11,312.62,287.06,704.3,460.08,277.76,173.47,171.33,653.46,458.83,310.22,168.78,109.95,764.69,444.22,288.86,181.71,128.7,1202,645.26,470.28,314.9,318.69,669.8,533.83,276.99,165.18,124.65,491.4,386.1,234.18,155.51,91.269,1072.2,654.59,314.91,183.42,134.33,758.9,697.98,325.27,220.91,182.52,666.93,730.13,300.77,171.68,132.36,682.94,674.42,308.57,202.09,169.66,691.04,628.32,287.03,171.09,134.09,461.63,463.05,234.5,146.78,93.441,1069.8,600.06,361.56,219.55,136.52,970.26,561.18,309.46,193.46,135.65,942.28,583.63,350.96,186.67,109.82,1058.2,619.09,357.43,201.29,127.29,696.09,565.24,394.24,239.7,175.55,671.81,502.79,335.69,206.87,158.48,840.02,511.02,317.82,178.11,114.4,458.63,345.68,276.24,185.26,94.872,717.48,471.85,322.42,212.65,161.98,1044.8,599.67,393.96,263.36,233.12,502.11,461.85,289.18,177.71,130.44,403.89,350.71,234.23,160.51,95.563,1283.2,630.33,361.19,215.77,151.63,581.89,550.18,313.73,220.24,198.05,1033.9,688.82,328.86,188.1,130.32,790.77,674.5,300.57,167.84,127.24,1
688.8,635.02,355.11,200.41,139.8,759.78,685.06,392.24,206.27,126.5,792.57,696.64,423.94,217.93,132.72,817.96,653.08,346.52,191.67,138.44,575.39,511.27,269.18,158.61,106.61,631.03,485.86,306.62,165.19,108.48,570.15,510.3,280.77,156.58,118.57,797.09,675.87,426.19,289.89,293.87,591.95,636.56,298.06,173.53,144.92,438.17,486.05,244.71,140.76,86.345,729.85,798.69,353.51,186.2,149.01,772.32,843.75,398.91,270.89,263.37,645.28,911.14,335.92,186.84,144.82,717.33,757.09,346.57,233.36,200.08,748.56,708.67,318.27,190.25,139.27,480.33,642.65,251.99,140.83,87.266,817.33,699.77,386.9,221.77,156.67,783.92,617.3,340.51,198,155.78,992.05,694.18,376.54,185.14,109.85,974.44,737.31,408.65,217.01,145.07,782.57,639.71,385.96,230.23,170.87,618.14,541.24,316.84,182.92,122.86,895,609.58,361.26,181.12,108.86,546.62,390.07,292.97,187.18,92.158,593.66,560.43,297.06,167.87,116.78,850.48,626.96,357.79,220.32,174.92,533.32,555.65,287.2,172.24,124.73,470.93,497.64,244.39,144.03,85.255,822.92,730.79,370.34,219.14,158.53,675.91,641.46,333.4,245.83,204.21,802.18,820.19,346.43,186.06,131.08,792.65,780.17,323.61,173.77,120.81,1
