@relation arousal 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
3.1661,1.7199,1.1734,1.2537,1.3932,2.4493,-0.096674,-1.511,-1.1405,-1.6214,2.5217,1.1332,0.65227,0.7353,0.86658,3.8248,1.7561,1.1181,1.1312,1.3301,1.83,0.89364,0.34561,0.35491,0.49698,2.9794,1.8746,1.361,1.3816,1.5883,2.0357,0.84223,0.17753,0.25797,0.34741,5.0146,2.8025,2.2225,2.2945,2.4418,1.9826,0.40643,-0.1828,-0.079889,0.050301,4.2522,1.3157,0.34325,0.68676,0.64309,1.7255,0.16551,-0.55365,-0.42588,-0.31479,5.1083,2.6146,1.8838,1.9659,2.0939,1.9357,0.22013,-0.55349,-0.39085,-0.34566,1.677,-0.57894,-1.5541,-1.4565,-1.9883,0.88749,-0.72713,-1.5244,-1.5009,-1.8492,1.5349,0.37353,-0.26402,-0.19421,-0.07748,3.2077,2.2093,1.6702,1.7165,1.8349,2.9425,0.30076,-0.43226,-0.21175,-0.115,4.2271,1.9128,1.2287,1.306,1.4529,2.7666,1.2872,0.7309,0.8699,0.983,2.3129,0.95783,0.64317,0.64165,0.89691,3.9287,1.6972,1.1716,1.2182,1.241,0.87851,-0.22168,-0.76834,-0.7919,-0.79704,5.3763,2.7629,1.8618,2.1273,2.1333,1.7089,-0.33676,-1.0789,-0.87147,-1.0225,2.7269,1.1832,0.92131,0.93485,0.8827,3.3465,1.121,0.45095,0.53863,0.7202,4.6801,1.8647,1.02,1.2287,1.3057,2.2797,0.96176,0.2455,0.2988,0.40528,1.5131,0.50413,-0.088099,-0.13365,0.0095676,2.8351,1.6481,1.13,1.1367,1.3706,4.0239,1.4205,0.63244,0.78112,0.83931,1
3.8227,1.9385,0.88564,0.85619,0.90762,3.0596,0.32153,-1.6794,-1.3556,-2.1162,3.1924,1.3333,0.31925,0.33347,0.3401,4.4899,2.0643,0.90062,0.76255,0.74499,2.434,1.0251,0.16402,-0.047312,0.05676,3.6158,1.9923,1.055,0.92588,1.0619,2.4314,0.90025,-0.039069,-0.1394,-0.061763,5.656,3.1388,1.9198,1.9389,1.9088,2.3707,0.44348,-0.56378,-0.54501,-0.4141,4.8305,1.7637,-0.02719,0.13777,-0.045582,2.1414,0.20785,-0.92043,-0.94378,-0.8286,5.7455,3.0242,1.56,1.5615,1.4729,2.3509,0.23902,-0.89686,-0.93065,-0.88326,2.2276,-0.237,-1.6674,-1.6984,-2.5217,1.4658,-0.44213,-1.586,-1.5702,-2.3179,1.948,0.41106,-0.6,-0.67867,-0.59913,3.6721,2.3263,1.4512,1.2882,1.3221,3.5103,0.70261,-0.52315,-0.54256,-0.59663,4.8802,2.2921,0.90354,0.95655,0.8641,3.1534,1.2726,0.29441,0.26618,0.44257,2.9458,1.0668,0.22469,0.28289,0.4406,4.5722,2.0143,0.91331,0.84183,0.81608,1.4993,-0.044735,-1.0161,-1.0802,-1.2852,5.8844,2.968,1.4193,1.4814,1.4483,2.1632,-0.15927,-1.1267,-0.93467,-1.0319,3.2085,1.1934,0.57361,0.34509,0.2969,4.0106,1.4553,0.18103,0.19252,0.21899,5.2804,2.3217,0.67594,0.75331,0.64631,2.6775,0.93561,-0.057364,-0.21071,-0.083522,2.0936,0.59788,-0.25566,-0.47139,-0.46148,3.4872,1.776,0.88658,0.75695,0.87587,4.6406,1.8951,0.39006,0.50446,0.33035,1
3.4648,1.8333,0.81853,0.64513,0.41881,2.483,-0.076337,-1.644,-1.3072,-1.8219,2.832,1.2489,0.24369,0.1393,-0.070586,3.9497,1.9082,0.86021,0.87613,0.71915,2.3205,1.0602,-0.00067027,-0.27316,-0.49612,3.4338,2.0237,1,0.76609,0.58225,2.389,0.95154,-0.1562,-0.4888,-0.68881,5.1028,2.9055,1.8431,1.8002,1.6283,2.2676,0.42345,-0.73623,-0.87352,-1.0024,4.2499,1.3886,-0.015872,0.27798,0.28781,2.015,0.17625,-1.0299,-1.1604,-1.3443,5.159,2.6907,1.5122,1.5791,1.4379,2.1848,0.23612,-0.98373,-1.0262,-1.3402,1.7486,-0.63564,-1.7571,-1.8192,-2.5111,1.0536,-0.79134,-1.6733,-1.8736,-2.6272,1.951,0.43778,-0.68064,-0.86177,-1.1047,3.7105,2.3571,1.3581,1.0253,0.84975,2.94,0.4259,-0.80539,-0.54605,-0.58523,4.3012,1.9971,0.8572,0.91049,0.73777,3.0607,1.3109,0.20934,0.083297,-0.02885,2.6181,1.0435,0.024495,-0.0019546,-0.10919,4.0085,1.7395,0.71467,0.69985,0.48168,1.2926,-0.092301,-1.0691,-1.2846,-1.7295,5.4293,2.7678,1.4357,1.4991,1.4686,1.7514,-0.42904,-1.7522,-1.6371,-1.8716,2.8768,1.0392,0.17236,-0.25213,-0.42326,3.4437,1.1955,-0.0039702,0.057429,-0.061324,4.6882,1.9222,0.62707,0.89703,0.83521,2.5884,1.0216,-0.16197,-0.37361,-0.63521,1.8604,0.60507,-0.46314,-0.65256,-0.96842,3.2336,1.7834,0.73844,0.56973,0.37721,4.0574,1.4584,0.24388,0.39627,0.2363,1
3.8725,1.8496,0.76843,0.50931,0.26841,3.0275,0.09397,-1.5878,-1.4038,-2.2532,3.251,1.2824,0.34135,0.075803,-0.14234,4.4402,1.9716,0.89201,0.63024,0.44078,2.698,1.0245,-0.055683,-0.07161,-0.15321,3.8096,1.9881,0.90707,0.60751,0.40115,2.8499,0.98039,-0.14516,-0.2456,-0.70027,5.608,3.0079,1.8435,1.6575,1.3078,2.7044,0.58032,-0.46291,-0.79545,-0.93087,4.8311,1.5454,-0.1894,-0.13439,-0.54715,2.4582,0.29755,-0.92899,-1.0473,-1.3865,5.6986,2.8216,1.459,1.3188,0.93244,2.6104,0.31793,-0.99176,-1.0925,-1.5261,2.1959,-0.38823,-1.7253,-1.7697,-2.6052,1.3798,-0.65284,-1.6162,-1.7645,-2.4441,2.3737,0.44593,-0.7547,-1.0022,-1.24,4.1113,2.3292,1.265,0.92378,0.74383,3.5105,0.50973,-0.67193,-0.71159,-1.1116,4.8236,2.0986,0.80366,0.65369,0.28872,3.4944,1.3409,0.24343,-0.011045,-0.086191,3.0404,1.176,0.2546,0.20148,0.24558,4.5205,1.9883,1.0546,0.86232,0.75343,1.6294,-0.085092,-1.1005,-1.0437,-1.3896,5.9688,2.8783,1.2419,1.0834,0.80631,2.2722,0.25328,-0.68357,0.087265,-0.52066,3.3829,1.1175,0.46814,0.5011,0.33259,3.9811,1.326,0.26059,0.17749,-0.099086,5.2543,2.0833,0.50288,0.49295,0.18168,3.0433,0.99779,-0.25686,-0.44318,-0.58531,2.1946,0.6623,-0.42727,-0.56416,-1.0138,3.6156,1.7628,0.67364,0.41559,0.21395,4.5974,1.6053,0.25875,0.14644,-0.24173,-1
4.1975,2.0039,0.54129,0.043784,-0.26253,3.0434,0.23941,-1.5756,-1.5294,-2.1726,3.5858,1.4153,0.051995,-0.47865,-0.67835,4.6275,2.1549,0.77707,0.33171,0.28319,3.159,1.2226,-0.20622,-0.67236,-0.98152,4.2551,2.1611,0.72212,0.13273,-0.16885,3.1756,1.0904,-0.39999,-0.79412,-1.1529,5.7682,3.1424,1.5606,1.0383,0.83751,2.9508,0.50647,-0.92065,-1.1897,-1.579,4.839,1.6354,-0.23936,-0.30574,-0.46021,2.6928,0.31345,-1.1459,-1.4625,-1.9285,5.7938,2.9638,1.2893,0.85171,0.65356,2.7963,0.38803,-0.98354,-1.3247,-1.8704,2.2344,-0.16486,-1.3547,-1.6178,-2.168,1.5617,-0.39972,-1.5227,-1.8357,-2.4801,2.6827,0.59152,-0.91885,-1.3625,-1.7555,4.5466,2.4707,1.0986,0.54895,0.20675,3.5326,0.61274,-0.76285,-1.0107,-1.1589,4.9513,2.26,0.61119,0.21229,-0.068524,3.7705,1.3204,0.10211,-0.14053,-0.51207,3.3838,1.2603,-0.1367,-0.45255,-0.50492,4.6437,1.9814,0.46209,0.13387,-0.17129,1.9701,0.13722,-1.1888,-1.6027,-2.1795,6.0098,2.8529,1.1733,1.0485,0.77982,2.3185,-0.21938,-1.4764,-1.1908,-1.7794,3.5197,1.0605,-0.30312,-0.64476,-1.0122,4.1138,1.4082,-0.17632,-0.57958,-0.79865,5.2908,2.2103,0.42057,0.17416,0.056414,3.3154,1.1433,-0.35135,-0.84824,-1.1895,2.6532,0.76195,-0.4328,-1.0418,-1.4492,4.0358,1.9396,0.54298,-0.05162,-0.30561,4.6672,1.7556,0.084257,-0.21827,-0.48723,1
4.41,2.0166,0.77354,0.62774,0.030696,3.3087,0.3901,-1.4249,-1.2731,-2.3309,3.8108,1.4484,0.24249,0.086111,-0.47531,4.8696,2.1539,0.81827,0.8267,0.17816,3.3317,1.1072,-0.038419,-0.20709,-0.76221,4.443,2.1129,0.91009,0.74403,0.18544,3.401,1.0301,-0.20435,-0.48517,-0.90975,6.0064,3.2118,1.7842,1.7476,1.0947,3.2077,0.65315,-0.73981,-0.92641,-1.3036,5.1411,1.8715,0.15115,0.21574,-0.21548,2.9099,0.41889,-1.009,-1.1659,-1.6192,6.0394,3.0996,1.5732,1.5625,0.89171,3.0349,0.40594,-0.91181,-0.97511,-1.6173,2.468,-0.18391,-1.4304,-1.5207,-2.7686,1.7175,-0.42097,-1.4817,-1.627,-2.7896,2.8901,0.57182,-0.67879,-0.90831,-1.4529,4.7578,2.426,1.3538,0.99894,0.58821,3.8548,0.83376,-0.58131,-0.50189,-1.0096,5.2039,2.348,0.89073,0.93033,0.2017,4.0028,1.4546,0.30896,0.2219,-0.17802,3.6138,1.2778,0.061386,0.0029164,-0.31555,4.8848,2.0672,0.68915,0.64232,0.10996,2.2074,0.14345,-0.96289,-1.1938,-1.7941,6.3373,3.0935,1.5776,1.3872,1.1307,2.6153,0.015842,-1.2673,-1.2901,-1.527,3.8196,1.1881,-0.020379,-0.39784,-0.61381,4.3585,1.5315,0.078375,0.10655,-0.54889,5.5658,2.4099,0.76133,0.83087,0.27998,3.5495,1.1006,-0.16026,-0.45965,-0.89982,2.8098,0.72053,-0.2933,-0.60429,-1.3067,4.2284,1.9084,0.68284,0.53662,-0.049193,4.9158,1.8916,0.33084,0.42481,-0.31525,-1
3.49,1.6438,0.79525,0.92942,0.91631,2.6922,-0.14346,-1.6664,-1.4125,-2.1395,2.8537,1.0614,0.26094,0.41116,0.41687,4.1896,1.7722,0.73573,0.84622,0.81687,2.1156,0.74737,-0.044018,0.082235,0.010989,3.2724,1.7223,0.97053,1.1167,1.0861,2.1279,0.54524,-0.20817,-0.091559,-0.19627,5.3563,2.8031,1.7952,1.9798,1.9706,1.9905,0.12607,-0.5976,-0.45083,-0.48101,4.5243,1.2472,-0.14298,0.070613,0.028733,1.7372,-0.12083,-0.88913,-0.73482,-0.84192,5.4516,2.6362,1.4914,1.604,1.5874,1.9492,-0.14389,-0.85651,-0.63542,-0.87081,1.8842,-0.68829,-1.6214,-1.5996,-2.3957,1.1162,-0.82891,-1.5937,-1.5787,-2.2855,1.6126,0.10942,-0.62183,-0.49098,-0.58063,3.4155,1.9952,1.2937,1.3763,1.3295,3.2834,0.32418,-0.86031,-0.66305,-0.70771,4.5753,1.927,0.85594,1.0322,0.96812,2.7617,0.93215,0.31426,0.47387,0.43971,2.579,0.84468,0.15971,0.34648,0.39273,4.2754,1.7404,0.78526,0.93769,0.81712,1.2863,-0.20404,-1.0553,-1.03,-1.2306,5.5477,2.433,1.4146,1.5453,1.4856,1.8435,-0.41899,-1.3474,-1.1553,-1.4155,2.833,0.87861,0.55988,0.66684,0.44412,3.7052,1.1391,0.10565,0.28185,0.25317,4.9932,1.8769,0.57377,0.7559,0.75918,2.319,0.64356,-0.11925,-0.038585,-0.091802,1.7628,0.39482,-0.31236,-0.37004,-0.41413,3.1389,1.5126,0.74243,0.88737,0.87679,4.3282,1.4426,0.28152,0.43266,0.33331,-1
3.7118,1.752,0.58082,0.25752,-0.056279,2.7805,0.17929,-1.7542,-1.4996,-2.3342,3.0959,1.1799,0.030369,-0.24334,-0.57882,4.2332,1.9113,0.66275,0.32614,0.073496,2.5105,0.88651,-0.12454,-0.66228,-0.79403,3.6036,1.8702,0.77478,0.2489,0.10788,2.5764,0.80838,-0.296,-0.79177,-0.8244,5.3884,2.9471,1.5667,1.2183,0.86606,2.4046,0.29505,-0.90883,-1.2182,-1.3068,4.5226,1.5345,-0.30912,-0.22174,-0.49719,2.1454,0.076383,-1.207,-1.499,-1.6872,5.462,2.8214,1.2866,1.0658,0.62789,2.3283,0.14632,-1.1441,-1.3453,-1.6655,2.0163,-0.35258,-1.7128,-1.6689,-2.5663,1.2872,-0.59977,-1.7092,-1.7058,-2.6991,2.0933,0.27689,-0.88278,-1.2598,-1.5221,3.8914,2.1494,1.1976,0.69634,0.55114,3.1962,0.53327,-0.87084,-0.91031,-1.1265,4.6095,2.0878,0.59596,0.4213,-0.048556,3.235,1.1547,0.14761,0.0085518,-0.17273,2.8311,0.99579,-0.008368,-0.30089,-0.38776,4.2926,1.8186,0.47952,0.18427,0.051465,1.4971,-0.19253,-1.1223,-1.4115,-1.9704,5.6527,2.7682,1.1853,1.0333,0.96433,1.9571,-0.34742,-1.3374,-1.5836,-1.2161,3.0839,0.9087,-0.2264,-0.73899,-0.59754,3.7434,1.2595,-0.16115,-0.36532,-0.66717,4.9744,2.0791,0.38789,0.29359,-0.017049,2.7619,0.86985,-0.31699,-0.70886,-0.94829,2.0319,0.54323,-0.55527,-1.0745,-1.3367,3.4275,1.6699,0.54236,0.066606,-0.14035,4.3539,1.6246,0.052493,-0.014061,-0.53226,-1
3.7891,1.5731,0.38823,-0.022038,-0.38697,3.198,0.1164,-1.7448,-1.4626,-2.5295,3.1068,0.98729,-0.14226,-0.42738,-0.81786,4.6066,1.8918,0.55928,0.17514,-0.13968,2.1952,0.72439,-0.095166,-0.5603,-0.88983,3.4474,1.5946,0.5465,0.020348,-0.26233,2.396,0.61637,-0.52091,-1.0363,-1.2515,5.7865,2.9043,1.3622,0.94177,0.57377,2.4226,-0.010714,-1.0934,-1.3925,-1.5856,5.0391,1.5995,-0.6162,-0.92649,-1.0692,2.1623,-0.14776,-1.303,-1.5686,-1.9452,5.9081,2.8134,1.0778,0.69753,0.28352,2.3761,-0.12702,-1.1599,-1.3596,-1.9145,2.3761,-0.38082,-1.5522,-1.4911,-2.4638,1.4828,-0.59428,-1.5878,-1.5368,-2.5179,1.8379,0.16218,-0.98209,-1.4214,-1.8841,3.5065,1.8796,0.89322,0.4326,0.10306,3.7657,0.57796,-1.1675,-1.4797,-1.6433,5.006,2.052,0.43286,0.15088,-0.37149,3.1558,0.80678,0.0056973,-0.3489,-0.53237,2.8855,0.79926,-0.16453,-0.5571,-0.62529,4.7171,1.8239,0.30354,0.047951,-0.24884,1.4253,-0.25069,-1.2236,-1.5981,-2.1947,6.0852,2.6364,0.84989,0.48785,0.34996,2.4061,-0.28823,-1.4234,-1.2244,-1.5822,3.3125,0.8366,-0.31551,-0.66855,-0.95422,4.1323,1.2192,-0.37875,-0.68193,-0.92394,5.4873,2.1595,0.10436,-0.27347,-0.51044,2.6342,0.67247,-0.42008,-0.9325,-1.3013,1.9861,0.35689,-0.62424,-1.1063,-1.4258,3.3875,1.4868,0.43865,-0.015811,-0.32695,4.8037,1.6605,0.035543,-0.083374,-0.4666,-1
4.0506,1.8232,0.61318,0.23994,-0.038503,3.2689,0.43688,-1.4171,-1.345,-1.9277,3.4256,1.2926,0.047972,-0.2221,-0.57738,4.6088,2.0507,0.8195,0.4716,0.44612,3.0135,1.0958,-0.0049662,-0.37695,-0.44863,4.0779,2.0074,0.68558,0.11641,-0.16976,3.2668,1.045,-0.08354,-0.62981,-0.69109,5.7542,3.049,1.6468,1.3389,1.1121,3.0944,0.70583,-0.74799,-0.94563,-1.1532,5.0445,1.7298,-0.051433,-0.11393,-0.19569,2.847,0.45419,-1.083,-1.2569,-1.5191,5.8526,2.8896,1.3784,1.1288,0.80007,2.988,0.49759,-1.0137,-1.204,-1.686,2.3916,-0.077397,-1.2283,-1.2653,-1.8842,1.5012,-0.42879,-1.3888,-1.5337,-2.1896,2.7716,0.54081,-0.93113,-1.4126,-1.7283,4.4884,2.3572,1.1337,0.52802,0.3566,3.6683,0.70129,-0.58318,-0.53588,-0.69124,4.9693,2.1577,0.66271,0.43974,0.021954,3.9206,1.4728,0.078779,-0.049533,-0.36351,3.2235,1.113,0.12641,-0.11669,-0.30266,4.6732,1.9172,0.62644,0.27358,0.41162,1.7693,-0.047088,-1.1274,-1.5436,-1.9775,6.2669,3.0747,1.3023,1.0473,0.98501,2.5645,0.027304,-0.83382,-0.55779,-0.677,3.7443,1.2135,-0.030603,-0.28369,-0.42926,4.1129,1.3519,-0.062305,-0.14189,-0.53357,5.4288,2.2125,0.56147,0.38836,0.24898,3.4525,1.1096,-0.37039,-0.95311,-1.2212,2.4866,0.67635,-0.41081,-1.0343,-1.3383,3.8663,1.7974,0.52369,0.080373,-0.22757,4.751,1.7523,0.22842,0.10801,-0.21366,1
