@relation dominance 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
3.1391,1.548,0.7936,0.6041,0.55751,2.5481,-0.12292,-1.6515,-1.5127,-2.1352,2.4897,0.9948,0.2466,0.10717,0.04956,3.8525,1.6032,0.70757,0.72961,0.60552,1.7333,0.61899,-0.049224,-0.23284,-0.29307,2.8833,1.5938,0.93208,0.78766,0.75178,2.0434,0.57363,-0.19254,-0.34771,-0.46686,5.0453,2.6672,1.7035,1.6431,1.6259,1.9965,0.017877,-0.71173,-0.75874,-0.80601,4.3838,1.1489,-0.21224,-0.053324,-0.034813,1.7353,-0.22453,-0.99672,-1.0843,-1.1758,5.1825,2.5072,1.4408,1.4283,1.3579,1.9404,-0.15417,-0.961,-0.96209,-1.2179,1.753,-0.62667,-1.6447,-1.7499,-2.5011,0.96376,-0.76029,-1.6141,-1.7818,-2.3968,1.5075,0.091591,-0.67504,-0.85087,-0.91648,3.202,1.9045,1.2985,1.0414,1.0046,3.0876,0.24884,-0.96689,-0.73816,-0.76029,4.2792,1.8087,0.79077,0.81066,0.6914,2.7784,0.87799,0.30549,0.20154,0.22192,2.2516,0.79753,0.080365,0.094324,0.087609,4.0003,1.5748,0.63855,0.65469,0.54937,0.93838,-0.35486,-1.0748,-1.2786,-1.5517,5.5018,2.4207,1.32,1.2712,1.2841,1.8136,-0.48083,-1.3554,-1.4402,-1.47,2.8283,0.78515,0.059043,-0.0024989,-0.071748,3.4087,1.0269,0.0052898,0.031184,0.0315,4.7847,1.7472,0.47644,0.62278,0.58544,2.2836,0.61373,-0.14719,-0.38222,-0.44051,1.4142,0.33035,-0.37455,-0.6549,-0.78363,2.7633,1.4077,0.70606,0.55268,0.52199,4.0897,1.3286,0.15353,0.26389,0.099459,-1
3.1661,1.7199,1.1734,1.2537,1.3932,2.4493,-0.096674,-1.511,-1.1405,-1.6214,2.5217,1.1332,0.65227,0.7353,0.86658,3.8248,1.7561,1.1181,1.1312,1.3301,1.83,0.89364,0.34561,0.35491,0.49698,2.9794,1.8746,1.361,1.3816,1.5883,2.0357,0.84223,0.17753,0.25797,0.34741,5.0146,2.8025,2.2225,2.2945,2.4418,1.9826,0.40643,-0.1828,-0.079889,0.050301,4.2522,1.3157,0.34325,0.68676,0.64309,1.7255,0.16551,-0.55365,-0.42588,-0.31479,5.1083,2.6146,1.8838,1.9659,2.0939,1.9357,0.22013,-0.55349,-0.39085,-0.34566,1.677,-0.57894,-1.5541,-1.4565,-1.9883,0.88749,-0.72713,-1.5244,-1.5009,-1.8492,1.5349,0.37353,-0.26402,-0.19421,-0.07748,3.2077,2.2093,1.6702,1.7165,1.8349,2.9425,0.30076,-0.43226,-0.21175,-0.115,4.2271,1.9128,1.2287,1.306,1.4529,2.7666,1.2872,0.7309,0.8699,0.983,2.3129,0.95783,0.64317,0.64165,0.89691,3.9287,1.6972,1.1716,1.2182,1.241,0.87851,-0.22168,-0.76834,-0.7919,-0.79704,5.3763,2.7629,1.8618,2.1273,2.1333,1.7089,-0.33676,-1.0789,-0.87147,-1.0225,2.7269,1.1832,0.92131,0.93485,0.8827,3.3465,1.121,0.45095,0.53863,0.7202,4.6801,1.8647,1.02,1.2287,1.3057,2.2797,0.96176,0.2455,0.2988,0.40528,1.5131,0.50413,-0.088099,-0.13365,0.0095676,2.8351,1.6481,1.13,1.1367,1.3706,4.0239,1.4205,0.63244,0.78112,0.83931,1
4.3325,2.1447,0.68738,0.11743,-0.074994,2.9738,0.12484,-1.6989,-1.6239,-2.3679,3.732,1.6109,0.13006,-0.37915,-0.61115,4.6842,2.1947,0.72622,0.24895,0.014316,3.2389,1.3077,-0.10242,-0.72474,-0.81441,4.3671,2.3151,0.78584,0.10667,-0.050118,3.1639,1.1709,-0.33484,-0.91181,-1.1241,5.8049,3.1583,1.5735,1.0517,0.84673,2.9231,0.76174,-0.91146,-1.3131,-1.503,4.7437,1.4069,-0.43594,-0.54804,-0.65136,2.6317,0.51535,-1.1715,-1.565,-1.8578,5.7864,2.9131,1.2688,0.81821,0.5807,2.7481,0.51872,-1.1058,-1.4027,-1.7981,2.1791,-0.31523,-1.4535,-1.4041,-2.0759,1.6012,-0.44617,-1.5107,-1.6145,-2.3268,2.6874,0.74005,-0.82081,-1.3682,-1.699,4.615,2.6324,1.1752,0.54954,0.36851,3.4874,0.48283,-0.91133,-1.1367,-1.2545,4.9842,2.2629,0.63019,0.21835,-0.085633,3.7479,1.5907,0.10307,-0.29936,-0.41506,3.5131,1.4228,0.09215,-0.46816,-0.3386,4.6684,2.0032,0.58846,0.44312,0.38557,2.0894,0.21472,-1.0965,-1.5516,-1.9544,5.9025,2.8333,1.0317,0.7567,0.69577,2.2053,-0.1342,-1.0613,-0.94478,-0.94855,3.4344,1.1598,-0.054949,-0.54941,-0.40515,4.1553,1.5245,-0.06699,-0.5596,-0.60915,5.2373,2.0367,0.32143,-0.010641,-0.087223,3.2867,1.2394,-0.31274,-0.87202,-1.1036,2.7469,0.84693,-0.49185,-1.0446,-1.347,4.1404,2.0893,0.60644,0.0056611,-0.16151,4.6569,1.7163,0.12309,-0.11366,-0.38063,-1
3.4616,1.6855,0.6987,0.76628,0.57151,2.6395,-0.04133,-1.7507,-1.376,-2.2113,2.817,1.1062,0.15972,0.29535,0.066918,4.0703,1.815,0.74006,0.8142,0.68416,2.0901,0.87306,0.018244,0.06816,-0.2243,3.2816,1.8055,0.87331,0.90612,0.74891,2.1759,0.76495,-0.23633,-0.18869,-0.35168,5.2498,2.8509,1.6694,1.6507,1.5841,2.0567,0.23724,-0.77502,-0.56772,-0.7762,4.4212,1.2422,-0.40266,-0.31448,-0.28859,1.7841,0.0015886,-1.0287,-0.90444,-1.0809,5.3328,2.6284,1.3219,1.3392,1.1808,1.9787,0.050358,-1.0212,-0.79557,-1.1188,1.8205,-0.54225,-1.554,-1.3775,-2.4325,1.0647,-0.69116,-1.5343,-1.3851,-2.2564,1.6917,0.29266,-0.7337,-0.64284,-0.88411,3.4348,2.1237,1.2412,1.3203,1.0679,3.1574,0.27865,-1.1001,-1.0953,-1.0606,4.4633,1.9286,0.67996,0.74092,0.54207,2.8327,1.0958,0.19716,0.34766,0.13478,2.5781,0.8809,-0.0095563,0.095081,0.00032254,4.1631,1.7141,0.60519,0.64968,0.43862,1.1431,-0.2536,-1.1464,-1.1979,-1.5453,5.5014,2.5764,1.2402,1.3283,1.2175,1.7915,-0.3665,-1.5274,-1.1896,-1.5321,2.8518,1.046,0.28585,0.26672,-0.019723,3.5993,1.1292,-0.07742,-0.024306,-0.13918,4.8711,1.8484,0.32861,0.37837,0.34448,2.3756,0.83943,-0.17252,-0.10843,-0.35954,1.7438,0.50465,-0.38939,-0.38364,-0.71557,3.1404,1.6228,0.69036,0.74891,0.56375,4.2209,1.4324,0.16942,0.3008,0.1128,1
3.8665,1.768,0.73015,0.65971,0.44737,3.056,0.22285,-1.6017,-1.45,-2.1134,3.2498,1.1942,0.176,0.14271,-0.068177,4.5038,1.9411,0.78165,0.6797,0.57107,2.5717,0.87284,-0.043929,-0.1532,-0.33538,3.7142,1.8758,0.90074,0.79864,0.62782,2.7233,0.80464,-0.21228,-0.29551,-0.50807,5.6696,2.9464,1.6883,1.552,1.4313,2.5839,0.34851,-0.71631,-0.7359,-0.82887,4.8541,1.6308,-0.10983,-0.34839,-0.22797,2.3422,0.12337,-1.0039,-1.0245,-1.1687,5.7505,2.8252,1.4106,1.1795,1.0632,2.5232,0.16201,-0.91929,-0.87175,-1.1432,2.2206,-0.33193,-1.4807,-1.6162,-2.1767,1.4606,-0.63209,-1.5696,-1.6817,-2.3399,2.2469,0.34958,-0.69722,-0.74559,-0.95475,4.0059,2.1955,1.2677,1.0958,0.97454,3.5522,0.65167,-0.55398,-0.69149,-0.7288,4.8797,2.0958,0.74875,0.62941,0.418,3.3932,1.2269,0.35672,0.34599,0.29562,2.9857,1.0454,0.16228,0.17127,0.067745,4.5757,1.8367,0.64894,0.45171,0.43293,1.601,-0.16486,-1.1054,-1.2175,-1.5149,5.9506,2.8578,1.3927,1.2307,1.3117,2.237,-0.2728,-1.3041,-1.4512,-1.288,3.3279,1.0312,0.16653,0.032365,-0.0045937,4.0261,1.3182,-0.016654,-0.14495,-0.26527,5.2948,2.148,0.53984,0.24062,0.32484,2.9198,0.90181,-0.14753,-0.20973,-0.39747,2.1583,0.54671,-0.36313,-0.46181,-0.70293,3.5511,1.6819,0.72546,0.66576,0.47956,4.6481,1.6924,0.33385,0.17205,0.0089837,-1
4.1161,1.8675,0.56695,0.24916,-0.11284,2.9937,0.079857,-1.865,-1.5782,-2.5395,3.5062,1.2727,0.035471,-0.20713,-0.60643,4.5423,1.9523,0.62888,0.18991,-0.12679,3.0497,1.1037,-0.074745,-0.53185,-0.85095,4.1562,2.0602,0.72243,0.27845,-0.041302,3.0769,1.0015,-0.25249,-0.70039,-0.99227,5.6854,2.9207,1.5385,1.2159,0.85738,2.8889,0.6593,-0.94074,-0.84852,-1.4406,4.7826,1.3876,-0.75834,-0.61675,-1.0011,2.6173,0.37353,-1.1781,-1.2972,-1.838,5.7131,2.6962,1.1602,0.90098,0.45728,2.7353,0.39501,-1.11,-1.2618,-1.8889,2.1771,-0.50549,-1.7122,-1.8067,-2.8288,1.4618,-0.64863,-1.6808,-1.736,-2.8308,2.6093,0.5683,-0.89012,-1.166,-1.8049,4.4408,2.3818,1.0761,0.70647,0.30926,3.4978,0.45102,-1.2654,-1.3113,-1.6464,4.876,2.0133,0.54641,0.34016,-0.1901,3.6897,1.427,-0.054781,-0.22733,-0.45458,3.3267,1.1098,-0.010765,-0.011497,-0.63757,4.5671,1.8104,0.50854,0.46121,0.29306,1.8853,-0.051715,-1.173,-1.3204,-1.812,5.9722,2.7996,0.80293,0.80504,0.42959,2.3061,-0.078971,-1.309,-1.0403,-0.39463,3.472,1.2942,0.23891,-0.28032,0.12086,4.0226,1.4208,-0.20389,-0.2751,-0.32995,5.2269,1.9519,0.098001,-0.022136,-0.29806,3.2394,1.0945,-0.31039,-0.75911,-1.2689,2.5332,0.65999,-0.55052,-1.0299,-1.4315,3.944,1.8125,0.50082,0.059737,-0.3169,4.5924,1.5057,-0.10763,-0.17143,-0.70918,1
3.5801,1.8607,0.81752,0.89705,0.68803,2.5982,-0.040362,-1.7116,-1.2841,-2.216,2.9405,1.2759,0.28146,0.40293,0.16397,4.1405,1.9088,0.75262,0.82824,0.61695,2.3773,1.0367,0.0092785,-0.019197,-0.22018,3.5003,2.0112,1.0042,0.9959,0.85545,2.3705,0.91464,-0.18455,-0.17081,-0.41282,5.2918,2.9374,1.8068,1.9108,1.7391,2.2149,0.43632,-0.60048,-0.52782,-0.68352,4.4253,1.3396,-0.09584,0.21371,-0.095118,1.9586,0.17619,-0.94732,-0.86703,-1.0984,5.3564,2.7413,1.4659,1.611,1.3783,2.1172,0.19471,-0.94913,-0.75663,-1.1277,1.8349,-0.51236,-1.7537,-1.5807,-2.4913,1.1011,-0.64965,-1.6741,-1.5946,-2.3583,1.8959,0.43052,-0.63204,-0.63052,-0.82004,3.7161,2.3129,1.3204,1.346,1.1103,3.1566,0.36106,-0.86021,-0.75889,-0.85746,4.4969,2.0565,0.84008,1.012,0.74676,3.0075,1.2479,0.31534,0.36882,0.19476,2.7387,1.0519,0.14583,0.25385,0.15778,4.1973,1.8005,0.70518,0.73872,0.58571,1.3631,-0.094319,-1.1055,-1.0749,-1.4448,5.5317,2.6667,1.3783,1.5922,1.3204,1.852,-0.44941,-1.6153,-1.4505,-1.7418,2.9138,1.0339,0.44401,0.54198,0.16213,3.628,1.2798,0.076128,0.2335,0.0036755,4.8819,1.9354,0.5526,0.78461,0.57537,2.5394,0.95493,-0.12304,-0.1525,-0.36263,1.9788,0.61312,-0.38765,-0.49641,-0.69383,3.3342,1.7602,0.77196,0.75787,0.62171,4.2357,1.5103,0.22412,0.47121,0.16013,1
3.4218,1.5948,0.73851,0.77101,0.593,2.4567,-0.28859,-1.8296,-1.3816,-2.1284,2.8286,1.0273,0.24737,0.35434,0.17429,4.0155,1.6754,0.74467,0.83835,0.7972,2.1668,0.794,0.05807,0.075351,-0.055749,3.3105,1.7343,0.89435,0.87549,0.77389,2.1361,0.64836,-0.080025,-0.17745,-0.33027,5.1498,2.6947,1.5758,1.681,1.5338,1.9795,0.21847,-0.67353,-0.49257,-0.73011,4.2848,1.1159,-0.57141,-0.50214,-0.5766,1.7336,-0.021138,-0.98961,-0.80749,-1.0268,5.2067,2.4754,1.2311,1.2798,1.1178,1.89,-0.011315,-0.95379,-0.75707,-1.0761,1.6569,-0.62769,-1.7279,-1.7038,-2.573,0.96104,-0.75799,-1.6725,-1.5685,-2.4119,1.6695,0.15993,-0.72734,-0.59374,-0.77799,3.4764,2.0736,1.2772,1.2595,1.0988,3.0482,0.20962,-1.1111,-1.1712,-1.059,4.3571,1.7592,0.63023,0.72328,0.50844,2.7856,1.1722,0.41474,0.53127,0.45689,2.6333,0.97306,0.32143,0.65592,0.50065,4.0386,1.6511,0.94852,0.88244,0.83712,1.2071,-0.10046,-0.80859,-0.90902,-1.0705,5.3547,2.4551,1.1865,1.2162,1.0793,1.6798,0.19915,0.0772,-0.036188,0.12336,2.7506,1.3708,1.041,0.22428,0.86206,3.5076,1.1291,0.36009,0.11351,0.20271,4.7402,1.7396,0.24133,0.24367,0.23018,2.3216,0.70416,-0.22772,-0.10472,-0.12692,1.7668,0.38559,-0.44852,-0.55677,-0.71674,3.1726,1.4954,0.6218,0.63773,0.57125,4.0879,1.2425,-0.046103,0.12693,-0.19626,-1
3.7955,1.9157,0.53616,0.061479,-0.40795,3.2398,0.27397,-1.4837,-1.5412,-2.1967,3.1892,1.3525,0.087989,-0.36762,-0.72541,4.4613,2.095,0.73683,0.5333,0.36197,2.6122,1.1333,-0.14409,-0.56274,-0.97702,3.7101,2.1035,0.68962,0.13023,-0.32726,2.9864,1.0903,-0.32976,-0.69375,-1.2404,5.6444,3.0828,1.4866,1.1175,0.77473,2.9424,0.61711,-0.99751,-1.3217,-1.7338,5.0054,1.6794,-0.35873,-0.2174,-0.60064,2.6746,0.41257,-1.1989,-1.5713,-2.1074,5.7771,2.9242,1.2121,0.93623,0.56325,2.844,0.45562,-1.0745,-1.3331,-2.0799,2.3932,-0.18072,-1.5332,-1.586,-2.3838,1.4658,-0.42286,-1.5971,-1.7475,-2.643,2.507,0.6449,-0.91866,-1.4223,-1.9852,4.1111,2.3952,1.0958,0.62599,0.080925,3.6417,0.5462,-1.0908,-1.0206,-1.4472,4.8884,2.1904,0.57331,0.32188,-0.1648,3.7125,1.4474,-0.03893,-0.39926,-0.82998,2.9493,1.1003,-0.14591,-0.59815,-0.82027,4.5775,1.9106,0.29812,0.04536,-0.27747,1.5534,0.043017,-1.1933,-1.6165,-2.3538,6.219,3.0094,1.1175,1.0945,0.62389,2.4889,-0.13022,-1.543,-1.5807,-1.7943,3.6395,1.1223,-0.30107,-0.75581,-1.1574,4.0142,1.3508,-0.2168,-0.55449,-0.85661,5.3821,2.1901,0.2685,0.27115,-0.078072,3.2317,1.1559,-0.34672,-0.85114,-1.4638,2.1229,0.76568,-0.51533,-1.0951,-1.6487,3.5194,1.8733,0.49076,-0.097292,-0.4931,4.6963,1.7437,0.054976,-0.11022,-0.582,-1
4.1975,2.0039,0.54129,0.043784,-0.26253,3.0434,0.23941,-1.5756,-1.5294,-2.1726,3.5858,1.4153,0.051995,-0.47865,-0.67835,4.6275,2.1549,0.77707,0.33171,0.28319,3.159,1.2226,-0.20622,-0.67236,-0.98152,4.2551,2.1611,0.72212,0.13273,-0.16885,3.1756,1.0904,-0.39999,-0.79412,-1.1529,5.7682,3.1424,1.5606,1.0383,0.83751,2.9508,0.50647,-0.92065,-1.1897,-1.579,4.839,1.6354,-0.23936,-0.30574,-0.46021,2.6928,0.31345,-1.1459,-1.4625,-1.9285,5.7938,2.9638,1.2893,0.85171,0.65356,2.7963,0.38803,-0.98354,-1.3247,-1.8704,2.2344,-0.16486,-1.3547,-1.6178,-2.168,1.5617,-0.39972,-1.5227,-1.8357,-2.4801,2.6827,0.59152,-0.91885,-1.3625,-1.7555,4.5466,2.4707,1.0986,0.54895,0.20675,3.5326,0.61274,-0.76285,-1.0107,-1.1589,4.9513,2.26,0.61119,0.21229,-0.068524,3.7705,1.3204,0.10211,-0.14053,-0.51207,3.3838,1.2603,-0.1367,-0.45255,-0.50492,4.6437,1.9814,0.46209,0.13387,-0.17129,1.9701,0.13722,-1.1888,-1.6027,-2.1795,6.0098,2.8529,1.1733,1.0485,0.77982,2.3185,-0.21938,-1.4764,-1.1908,-1.7794,3.5197,1.0605,-0.30312,-0.64476,-1.0122,4.1138,1.4082,-0.17632,-0.57958,-0.79865,5.2908,2.2103,0.42057,0.17416,0.056414,3.3154,1.1433,-0.35135,-0.84824,-1.1895,2.6532,0.76195,-0.4328,-1.0418,-1.4492,4.0358,1.9396,0.54298,-0.05162,-0.30561,4.6672,1.7556,0.084257,-0.21827,-0.48723,-1
