@relation dominance 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
593.15,346.42,274.33,146.87,130.21,698.94,394.8,284.39,136.3,106.97,745.89,403.11,293.97,152.41,110.8,749.84,416.37,309.96,228.64,218,477.76,303.46,189.34,131.9,109.77,573.27,276.26,233.73,103.7,83.27,598.8,321.31,195.38,127.9,101.78,873.91,454.5,320.81,216.43,252.95,482.76,354.87,202.46,131.53,105.88,342.96,256.49,165.29,103.63,75.344,818.23,454.35,239.63,141.92,116.17,571.02,431.22,230.07,164.42,142.73,541.4,454.12,219.72,120.65,105.45,624.41,435.31,226.16,144.36,121.6,649.77,444.68,216.23,128.56,103.94,375.5,324.73,185.12,87.595,74.529,821.46,434.84,282.61,157.51,129,728.55,371.95,236.78,153.82,126.08,693.2,365.19,263.25,114.13,83.436,756.23,498.44,295.42,157.97,101.99,632,422.41,267.84,188.74,139.33,481.6,374.93,218.89,143.56,100.69,636.9,380.77,256.93,133.13,82.062,397.05,235.39,210.94,127.62,64.694,554.55,355.6,214.96,135.33,89.45,771.08,455.12,254.94,181.12,172.43,307.66,301.44,208.68,120.39,94.086,359.7,254.45,158.33,106.79,61.497,949.3,474.7,290.74,165.36,133,404.92,349.96,237.74,159.24,154.7,811.18,497.11,264.94,137.58,107.84,685,475.63,228.01,130.69,101.22,1
489.82,434.17,274.39,107.21,95.955,671.04,439.64,274.37,75.878,32.482,659.19,390.96,233.5,-0.54463,-42.453,482.52,456.62,239,97.798,85.667,415.92,378.23,168.64,95.238,-3.1843,384.78,293.38,205.21,55.546,-2.5842,510.6,351.77,171.21,65.845,36.583,717.5,468.24,280.84,188.66,187.81,414.38,376.88,175.42,109.83,85.255,269.7,335.83,191.06,114.59,54.498,778.65,528.21,244.86,127.16,92.157,494.37,484.69,266.86,186.1,157.9,428.35,534.58,214.46,121.86,67.217,504.1,487.22,216.79,111.37,73.831,558.03,502.79,228.88,100.35,79.994,310.73,389.41,186.52,101.26,55.494,693.04,441.91,282.49,158.45,104.58,551.75,383.73,233.37,133.23,71.687,580.17,392.54,286.59,130.54,60.151,706.77,432.95,250.91,109.94,79.329,471.52,433.97,263.44,86.649,27.993,322,262.7,152.14,11.24,-3.7001,515,367.18,267.53,104.97,64.684,266.15,270.14,226.62,133.82,62.994,408.34,339.4,181.23,79.858,20.948,521.26,258.5,119.93,90.344,9.0106,321.11,287.34,152.78,64.558,-18.205,266.82,311.43,184.99,104.04,52.143,946.33,502.03,261.79,125.66,92.849,385.38,398.24,212.32,102.73,96.42,800.59,552.22,245.15,113.27,91.277,636.31,565.62,236.02,109.36,88.64,1
351.31,354.01,243.39,146,95.488,399.4,361.17,261.65,159.52,94.208,424.09,372.2,284.63,164.02,90.567,451.46,353.04,242.84,156.61,116.54,322.49,283.03,199.42,135.35,94.907,374.95,272.43,210,125.26,78.924,366.35,290.43,204.97,130.52,91.831,491.14,402,372.76,294.22,300.31,345.18,350.42,225.11,132.17,110.54,306.66,311.22,174.69,117.35,66.198,392.9,485.78,236.02,131.27,99.989,443.03,501.33,254.78,175.14,149.57,416.85,576.06,223.42,128.93,93.973,450.2,507.58,232.58,140.79,112.29,447.96,472.01,224.83,118.58,95.519,314.75,359.73,177.84,114.84,69.09,435.07,366.11,261.78,161.86,106.91,443.47,376.98,247.13,141.12,111.98,488.95,354.76,266.38,127.87,78.41,496.46,386.85,281.21,146.22,99.384,436.01,390,283.14,177.23,125.64,356.34,337.53,234.49,136.02,91.304,519.57,340.53,250.68,128.48,83.812,358.6,236.73,207.44,146.12,73.865,363.69,308.46,200.51,133.71,86.623,504.91,376.21,318.4,200.75,179.16,276.01,324.71,198.09,143.28,104.13,310.52,264.7,156.65,118.61,64.354,487.98,404.86,249.12,151.37,118.78,334.46,398.56,244.14,176.55,145.59,460.23,475.44,237.61,133.08,96.548,465.96,511.28,234.91,128.49,91.856,1
384.68,370.91,250.5,151.92,113.19,348.44,407.13,294.97,197.47,137.09,349.46,483.34,359.96,287.79,186.92,388.93,416.88,293.56,246.34,184.53,282.15,290.12,196.89,148.56,131.61,241.89,323.34,243.79,166.16,111.47,288.35,404.02,219.82,154.12,114.1,369.12,496.35,342.19,292.45,289.96,357.96,497.07,220.65,133.36,118.64,315.66,302.43,189.33,122.56,67.671,294.84,434.61,257.69,139.23,111.78,524.3,572.49,296.7,220.22,197.61,476.76,504.32,226.42,151,119.16,510.63,484.31,259.86,176.3,167.99,527.01,464.25,236.03,148.26,119.28,347.56,323.29,161.84,112.34,70.615,372.7,401.46,279.01,166.77,115.72,345.49,411.13,248.97,145.46,112.9,519.7,437.64,279.53,146.62,89.995,477.39,434.14,294.68,154.16,103.96,471.23,402.27,304.55,182.7,131.66,336.99,382.47,235.79,161.55,116.48,466.01,416.21,263.21,145.13,90.961,367.7,268.74,223.66,147.86,73.049,253.9,414.68,208.31,143.11,88.47,367.16,423.01,270.64,202.28,166.05,309.96,364.48,192.76,131.67,86.885,318.8,273.17,162.46,120.96,64.821,333.28,438.69,253.15,169.11,113.11,330.14,357.29,229.31,154.13,113.99,405.37,506.13,245.35,149.1,95.14,494.23,540.04,239.22,147.92,102.18,1
545.53,357.35,256.34,162.86,122.88,644.92,405.62,284.68,169.89,106.99,650.78,425.03,326.79,177.67,120.91,663.87,418.37,263.61,178.69,142.4,484.45,340.21,220.16,140.37,113.85,489.56,315.39,246.88,142.03,100.08,466.92,290.27,212.8,145.04,114.48,826.8,562.67,372.9,345.44,329.71,411.93,363.16,205.26,123.36,113.33,296.85,220.33,172.74,103.29,72.341,773.47,445.56,264.37,169.47,146.24,449.89,485.84,234.07,143.14,125.45,450.3,407.01,209.11,128.31,95.368,519.67,411.13,232.15,140.52,121,563.53,450.23,227.5,146.33,126.59,328.23,318.37,178.83,98.645,72.175,803.48,441.3,295.78,187.45,140.32,630.12,365.61,259.28,167.16,151.75,708.31,440.15,293.71,144.71,86.159,775.14,449.42,319.99,165.52,123.55,512.59,361.81,278.64,164.29,120.28,438.98,327.39,239.42,140.11,97.132,670.01,422.01,271.8,143.68,98.808,377.91,262.65,208.17,139.32,74.312,484.75,406.81,226.38,160.26,102.05,698.88,411.91,315.89,204.46,188.45,331.49,324.96,218.69,136.31,89.304,300.81,310.66,167.06,112.66,64.733,888.7,492.59,290.18,204.14,171.19,349.05,279.13,213.72,145.37,116.54,739.4,472.4,258.87,160.68,139.71,566.21,448.22,243.47,166.58,154.33,-1
476.05,462.38,282.24,168.55,133.27,493.68,496.04,313.75,177.45,157.71,500.82,536.23,353.43,194.1,206.57,558.59,520.36,300.16,215.06,181.24,276.41,378.91,216.49,149.6,132.4,195.07,344.77,269.8,134.53,121.88,331.4,387.05,225.65,153.06,133.22,448.37,568.39,399.08,268.34,309.88,382.97,476.05,236.37,157.49,135.5,349.33,362.72,193.11,119.58,68.686,426.89,617.02,280.2,177.98,152.64,586.68,621.89,319.58,233.11,227.48,509.09,740.12,251.93,146.27,116.74,560.98,583.22,267.37,174.94,162.02,573.38,492.57,252.9,139.24,121.44,391.23,458.32,203.03,116.56,73.994,428.27,492,316.97,192.77,139.2,423.58,469.43,277.25,179.98,149.93,606.45,457.28,291.41,153.82,95.715,525.51,500.82,336.61,188.81,125.12,469.3,469.73,336.16,179.8,124.01,396.21,419.23,260.72,147.27,105.34,522.38,415.93,273.77,143.54,94.773,362.64,284.25,222.98,152.4,75.959,296.86,416.9,230.93,154.78,107.39,421.79,563.98,288.04,187.72,183.65,380.05,393.56,226.08,132.8,117.44,341.06,379.15,184.81,125.13,73.591,445.37,566.4,306.19,201.16,174.05,383.44,416.74,281.99,211.02,193.46,482.57,552.12,275.15,159.84,136.19,558.59,488.79,260.37,137.26,120.86,-1
455.02,362.68,262.88,150.54,106.86,568.53,411.58,284.52,160.43,94.813,591.54,429.48,312.77,170.95,108.38,572.87,371.91,266.17,144.42,122.09,404.35,285.14,190.26,104,93.281,453.5,267,227.6,133.55,89.338,381.82,291.74,192.23,119.76,101.52,683.42,424.5,300.05,258.21,240.57,415.5,322.99,188.26,102.96,90.751,256.49,262.99,158.48,101.31,64.339,622.78,432.81,231.95,137.7,125.23,551.08,313.38,221.82,118.06,103.76,510.4,477.81,203.69,124.03,84.673,613.36,418.17,221.21,132.42,93.488,624.79,430.35,226.21,150.2,110.22,307.33,354.34,161.92,101.41,67.166,685.78,421.92,253.78,156.04,115.91,659.15,389.31,239.41,155.15,124.72,818.3,463.06,275.09,140.1,79.567,797.11,494.98,268.47,146.28,108.69,495.58,361.46,231.1,163.97,107.59,425.94,326.66,196.84,127.76,87.159,671.1,386.72,255.3,138.81,82.77,308.07,199.08,196.84,138.62,67.619,375.39,259.31,204.81,120.53,86.654,613.08,392.33,290.13,202.06,171.97,317.28,264.85,180,110.16,83.06,236.9,164.36,154.58,97.893,62.959,698.34,370.14,260.02,182.16,143.06,394.45,292.94,179.42,139.42,103.02,654.71,421.68,237.69,153.44,120.83,618.7,404.04,238.01,159.26,130.51,-1
502.43,307.33,277.41,145.04,116.06,530.18,314.02,287.78,148.45,104.76,534.9,308.45,299.24,163.18,109.17,601.59,324.84,270.63,162.06,141.71,451.64,262.38,203.38,131.74,119.21,385.05,237.93,231.21,143.74,98.444,410.87,276.48,186.34,130.95,112.58,713.25,449.98,329.56,299.21,302.09,416.94,366.06,219.48,140.94,127.15,242.52,277.05,158.55,105.48,65.119,614.9,449.5,231.22,161.91,141.6,419.19,471.66,299.86,201.64,210.03,423.54,453.64,224.43,145.72,116.37,431.2,454.08,255.34,189.98,162.46,425.13,397.36,231.86,154.6,121.33,294.4,233.62,166.26,101.73,68.028,707.59,383.19,277.66,159.48,124.08,618.79,361.4,254.35,182.15,143.31,557.13,328.91,257.59,137.22,84.597,605.71,374.04,274.01,171.51,118.31,528.98,359.96,284.13,171.44,116.6,391.93,346.49,217.08,139.23,93.408,428.54,303.37,233.48,127.67,89.501,249.59,222.73,211.49,141.93,67.48,285.43,290.16,183.29,128.44,95.311,586.9,401.31,264.51,203.79,186.46,226.47,267.22,197.52,118.81,96.326,168.57,189.12,167.37,94.365,63.366,684.32,351.05,260.45,187.89,163.11,261.58,351.15,287.2,213.14,182.49,538.5,382.05,233.55,154.5,125.38,422.83,435.06,227.39,145.24,118.91,1
534.56,432.99,300.01,131.4,88.302,645.52,466.93,327.07,131.33,83.483,694.5,488.91,342.51,142.25,88.451,658.67,508.16,335.07,203.65,189.6,477.47,351.58,217.82,110.1,82.934,554.37,334.86,248.92,113.74,71.867,541.4,396.73,205.62,119.05,81.415,872.1,541.3,307.73,219.82,201.63,485.38,493.94,206.78,122.8,85.998,346.25,397.39,194.16,110.5,65.627,825.4,637.87,264.38,126.57,93.147,579.42,629.76,256.7,146.01,128.38,545.88,694.42,248.32,126.18,93.263,619.4,552.71,262.38,123.76,114.54,585.44,464.78,251,124.03,106.06,366.9,442.23,201.23,101.34,65.705,779.8,460.1,323.85,160.88,105.25,632.55,454.08,263.77,144.38,92.276,569.99,460.9,300.13,128.27,85.661,736.16,516.12,320.59,155.41,93.273,573.47,450.05,309.38,156.65,108.02,428.76,417.04,248.68,133.45,80.264,525.35,441.25,296.44,126.05,84.726,410.21,291.34,257.5,128.81,70.011,505.83,451.39,236.87,131.4,74.96,679.34,491.86,267.54,152.69,104.06,347.1,420.09,213.04,113.65,83.811,346.98,369.72,193.15,108.73,62.905,948.9,573.36,296.77,152.42,99.369,482.02,426.92,242.3,128.03,129.74,799.2,567.58,278.06,141.5,97.225,639.08,527.93,272.69,140.76,110.08,1
518.82,410.42,289,201.95,149.54,636.82,466.16,303.84,190.89,135.44,708.52,503.57,324.02,195.72,153.13,733.86,475.55,310.84,237.79,218.68,536.63,380.48,230.4,188,176.48,487.54,378.75,235.51,155.73,123.48,624.79,334.57,216.13,166.4,152.29,992.93,613.42,359.83,326.5,366.96,495.43,411.39,188.35,156.2,143.79,332.06,245.8,169,119.85,78.808,793.73,501.77,253.61,194.99,174.31,457.06,527.8,236.81,190.75,160.92,539.59,519.48,234.85,145.09,113.74,595.25,510.28,231.49,166.73,131.5,656.19,520.13,243.75,148.38,105.3,390.84,355.66,192.16,116.65,81.468,701.57,476.47,302.54,192.55,151.62,741.25,475.59,262.46,197.75,197.19,520.87,437.12,275.57,144.86,95.388,677.49,509.75,314.2,181.01,135.61,578.43,421.9,293.82,194.52,147.1,544.77,392.04,231.57,152.45,106.53,521.62,420.88,246.67,155.51,102.85,308.16,252.63,209.49,150.2,80.937,551.64,375.1,223.98,147.26,119.86,787.72,520.31,315.47,265.18,251.72,324.13,351.68,211.05,139.42,99.053,353.56,292.51,173.3,121.39,78.072,1010.9,621.9,327,221.7,217.86,431.17,418.81,255.68,199.24,168.08,874.34,639.8,294.11,183.22,159.09,715.28,593.77,255.1,150.06,112.98,1
