@relation valence 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
577.41,420.83,266.48,144.06,108.7,638.94,449.58,289.84,150.84,101.15,674.15,465.29,311.94,163.41,105.59,654.28,487.78,259.65,156.13,124.34,515.91,321.78,202.55,119.71,105.14,454.56,324.9,224.15,127.41,83.5,470.35,325.72,177.23,139.03,101.79,713.4,502.47,311.47,233.45,225.06,426.77,396.46,194.82,137.27,105.36,310.89,298.29,164.61,102.5,67.448,696.01,506.58,243.9,151.01,123.02,565.88,541.79,271.68,192.3,169.41,517.11,580.49,230.55,152.38,125.18,605.93,525.19,281.96,203.17,182.22,608.58,475.84,231.17,148.48,119.11,375.4,418.78,190.24,100.49,71.004,749.25,455.24,280.2,159.16,114.38,637.97,425.34,232.69,153.11,127.68,671.6,456.18,250.12,130.5,82.866,737.51,476.84,279.58,152.28,101.83,597.5,437.49,287.4,155.81,119.12,472.1,381.65,216.29,129.63,98.054,610.76,399.31,226.91,135.11,88.235,371.86,257.06,192.32,132.32,68.518,456.2,332.02,202.93,130.88,94.276,700.88,461.39,244.7,200.04,156.52,329.19,349.96,190.41,122.73,95.001,335.17,297.34,191.3,104.65,64.627,805.63,555.11,274.41,178.53,136.28,406.35,403.57,210.34,145.67,130.23,706.75,570.72,249.32,155.29,107.05,630.63,518.53,232.5,136.65,93.971,1
593.15,346.42,274.33,146.87,130.21,698.94,394.8,284.39,136.3,106.97,745.89,403.11,293.97,152.41,110.8,749.84,416.37,309.96,228.64,218,477.76,303.46,189.34,131.9,109.77,573.27,276.26,233.73,103.7,83.27,598.8,321.31,195.38,127.9,101.78,873.91,454.5,320.81,216.43,252.95,482.76,354.87,202.46,131.53,105.88,342.96,256.49,165.29,103.63,75.344,818.23,454.35,239.63,141.92,116.17,571.02,431.22,230.07,164.42,142.73,541.4,454.12,219.72,120.65,105.45,624.41,435.31,226.16,144.36,121.6,649.77,444.68,216.23,128.56,103.94,375.5,324.73,185.12,87.595,74.529,821.46,434.84,282.61,157.51,129,728.55,371.95,236.78,153.82,126.08,693.2,365.19,263.25,114.13,83.436,756.23,498.44,295.42,157.97,101.99,632,422.41,267.84,188.74,139.33,481.6,374.93,218.89,143.56,100.69,636.9,380.77,256.93,133.13,82.062,397.05,235.39,210.94,127.62,64.694,554.55,355.6,214.96,135.33,89.45,771.08,455.12,254.94,181.12,172.43,307.66,301.44,208.68,120.39,94.086,359.7,254.45,158.33,106.79,61.497,949.3,474.7,290.74,165.36,133,404.92,349.96,237.74,159.24,154.7,811.18,497.11,264.94,137.58,107.84,685,475.63,228.01,130.69,101.22,1
489.82,434.17,274.39,107.21,95.955,671.04,439.64,274.37,75.878,32.482,659.19,390.96,233.5,-0.54463,-42.453,482.52,456.62,239,97.798,85.667,415.92,378.23,168.64,95.238,-3.1843,384.78,293.38,205.21,55.546,-2.5842,510.6,351.77,171.21,65.845,36.583,717.5,468.24,280.84,188.66,187.81,414.38,376.88,175.42,109.83,85.255,269.7,335.83,191.06,114.59,54.498,778.65,528.21,244.86,127.16,92.157,494.37,484.69,266.86,186.1,157.9,428.35,534.58,214.46,121.86,67.217,504.1,487.22,216.79,111.37,73.831,558.03,502.79,228.88,100.35,79.994,310.73,389.41,186.52,101.26,55.494,693.04,441.91,282.49,158.45,104.58,551.75,383.73,233.37,133.23,71.687,580.17,392.54,286.59,130.54,60.151,706.77,432.95,250.91,109.94,79.329,471.52,433.97,263.44,86.649,27.993,322,262.7,152.14,11.24,-3.7001,515,367.18,267.53,104.97,64.684,266.15,270.14,226.62,133.82,62.994,408.34,339.4,181.23,79.858,20.948,521.26,258.5,119.93,90.344,9.0106,321.11,287.34,152.78,64.558,-18.205,266.82,311.43,184.99,104.04,52.143,946.33,502.03,261.79,125.66,92.849,385.38,398.24,212.32,102.73,96.42,800.59,552.22,245.15,113.27,91.277,636.31,565.62,236.02,109.36,88.64,1
429.01,355.44,233.67,128.5,103.03,442.14,389.38,250.46,139.76,88.881,476.87,415.49,297.63,146.77,99.15,522.77,447.48,257.98,177.44,132.88,340.06,329.46,186.43,150.66,127.56,361.23,269.4,207.59,132.16,88.244,379.36,279.53,189.26,153.54,128.95,521.26,562.86,353.51,301.59,294.02,334.33,371.96,210.31,168.99,147.89,302.39,196.6,165.65,105.34,76.349,375.18,443.63,231.24,149,130.87,469.23,536.5,255.67,192.77,174.94,484.52,535.67,209.72,130.28,105.56,579.47,474.25,218.03,151.26,125.18,602.07,424.8,211.19,132.77,113.02,380.95,370.08,178.9,98.758,69.608,474.42,397.51,267.03,149.16,122.68,549.86,378.48,226.3,147.52,136.57,493.81,374.14,253.52,128.25,79.549,517.17,441.54,267.35,148.54,106.9,538.9,393.28,279.58,178.14,124.79,406.01,361.43,214.66,149.05,103.11,440.72,354.92,214.94,137.08,84.832,321.62,219.58,201.75,146.38,73.006,323.02,344.65,200.74,139.61,97.428,478.42,452.75,301.92,256,218.05,332.97,320.4,196.3,121.51,95.817,303.3,276.77,173.96,110.29,70.635,556.46,478.53,282.83,179.46,148.78,414.2,316.43,223.87,158.07,147.53,592.71,480.87,246.02,154.48,118.6,665.11,425.36,214.75,147.45,110.43,1
384.68,370.91,250.5,151.92,113.19,348.44,407.13,294.97,197.47,137.09,349.46,483.34,359.96,287.79,186.92,388.93,416.88,293.56,246.34,184.53,282.15,290.12,196.89,148.56,131.61,241.89,323.34,243.79,166.16,111.47,288.35,404.02,219.82,154.12,114.1,369.12,496.35,342.19,292.45,289.96,357.96,497.07,220.65,133.36,118.64,315.66,302.43,189.33,122.56,67.671,294.84,434.61,257.69,139.23,111.78,524.3,572.49,296.7,220.22,197.61,476.76,504.32,226.42,151,119.16,510.63,484.31,259.86,176.3,167.99,527.01,464.25,236.03,148.26,119.28,347.56,323.29,161.84,112.34,70.615,372.7,401.46,279.01,166.77,115.72,345.49,411.13,248.97,145.46,112.9,519.7,437.64,279.53,146.62,89.995,477.39,434.14,294.68,154.16,103.96,471.23,402.27,304.55,182.7,131.66,336.99,382.47,235.79,161.55,116.48,466.01,416.21,263.21,145.13,90.961,367.7,268.74,223.66,147.86,73.049,253.9,414.68,208.31,143.11,88.47,367.16,423.01,270.64,202.28,166.05,309.96,364.48,192.76,131.67,86.885,318.8,273.17,162.46,120.96,64.821,333.28,438.69,253.15,169.11,113.11,330.14,357.29,229.31,154.13,113.99,405.37,506.13,245.35,149.1,95.14,494.23,540.04,239.22,147.92,102.18,1
554.07,401.75,275.32,184.17,138.88,712.8,472.75,297.14,161.79,113.2,775.86,511.86,306.36,157.72,110.37,677.71,411.79,273.54,161.99,149.38,483.36,358.45,203.87,117.93,98.679,574.72,404.13,229.93,132.01,93.043,521.42,431.36,223.3,133.42,110.39,793.29,505.52,343.14,200.4,253.96,452.18,435.82,215.36,151.27,118.93,366.15,359.88,189.45,111.8,75.955,837.47,544.88,228.52,143.4,134,598.65,591.25,255.87,198.64,184.93,579.19,536.15,216.76,133.31,91.478,673.4,526.87,232.26,131.98,112.65,676.61,521.16,246.09,138.65,125.06,333.46,408.9,180.39,105.82,68.926,758.05,408.89,264.56,172.24,130.36,690.29,418.87,253.87,179.08,132.51,761.17,519.81,265.84,131.78,82.787,849.14,524.27,296.98,153.88,117.53,534.03,396.39,282.45,187.36,160.76,477.79,363.03,239.01,139.2,103.91,683.92,477,267.96,125.3,87.922,383.58,327.5,218.81,130.43,70.125,533.01,430.61,252.09,139.67,95.51,775.29,482.89,282.19,168.17,141.49,410.03,425.17,225.36,130.8,97.059,314.93,351.35,191.09,120.87,68.414,963.15,562.86,277.85,170.64,146.52,480.8,511.69,264.68,186.43,156.73,827.9,635.19,255.74,144.17,128.65,733.86,638.22,258.94,163.62,144.33,1
545.53,357.35,256.34,162.86,122.88,644.92,405.62,284.68,169.89,106.99,650.78,425.03,326.79,177.67,120.91,663.87,418.37,263.61,178.69,142.4,484.45,340.21,220.16,140.37,113.85,489.56,315.39,246.88,142.03,100.08,466.92,290.27,212.8,145.04,114.48,826.8,562.67,372.9,345.44,329.71,411.93,363.16,205.26,123.36,113.33,296.85,220.33,172.74,103.29,72.341,773.47,445.56,264.37,169.47,146.24,449.89,485.84,234.07,143.14,125.45,450.3,407.01,209.11,128.31,95.368,519.67,411.13,232.15,140.52,121,563.53,450.23,227.5,146.33,126.59,328.23,318.37,178.83,98.645,72.175,803.48,441.3,295.78,187.45,140.32,630.12,365.61,259.28,167.16,151.75,708.31,440.15,293.71,144.71,86.159,775.14,449.42,319.99,165.52,123.55,512.59,361.81,278.64,164.29,120.28,438.98,327.39,239.42,140.11,97.132,670.01,422.01,271.8,143.68,98.808,377.91,262.65,208.17,139.32,74.312,484.75,406.81,226.38,160.26,102.05,698.88,411.91,315.89,204.46,188.45,331.49,324.96,218.69,136.31,89.304,300.81,310.66,167.06,112.66,64.733,888.7,492.59,290.18,204.14,171.19,349.05,279.13,213.72,145.37,116.54,739.4,472.4,258.87,160.68,139.71,566.21,448.22,243.47,166.58,154.33,-1
631.46,342.03,238.95,156.43,97.217,814.38,362.95,271.48,154.87,95.767,871.97,409.73,320.99,186.94,118.29,858.82,419.18,328.09,231.19,228.35,578.1,307.38,209.34,133.36,139.91,561.18,315.24,220.23,136.24,85.11,651.12,258.59,205.96,137.42,101.37,1041.5,443.16,363.26,226.77,235.76,520.79,300.35,193.2,116.8,94.597,402.87,202.63,159.73,115.36,72.253,924.68,327.87,210.57,134.87,104.82,585.76,422.55,232.62,162.22,144.13,516.54,402.55,199.94,128.66,101.09,534.18,420.01,217.14,160.3,133.89,559.2,416.88,205.37,126.06,101.59,360.04,281.45,174.4,112.47,72.985,951.77,373.18,258.45,171.37,107.52,848.42,367.81,226.87,144.54,103.62,774.41,378.68,244.8,144.26,86.311,883,386.74,253.52,146.11,100.1,565.43,377.1,279.02,174.44,132.08,538.66,347.21,248.17,161.38,126.58,679.76,326.12,213.65,138.4,90.192,375.12,251.08,197.44,141.52,74.432,585.4,292.69,241.26,159.5,125.9,889.94,439.83,309.28,217.05,184.5,398.24,258.7,211.48,133.47,98.862,314.53,187.17,174.32,117.58,75.478,1171.2,378.74,263.74,163.72,113.41,476.94,361.72,220.72,153.85,138.04,917.59,430.98,233.41,142.42,100.19,673.09,451.33,214.72,114.91,94.063,-1
496.24,467.1,267.27,160.17,106.56,499.46,514.71,293.55,135.93,78.188,516.54,517.81,319.79,165.6,96.581,526.04,478.14,253.2,156.38,105.15,319.28,356.58,206.68,119.56,85.088,375.88,354.88,226.47,126.88,86.001,298.85,348.65,210.7,119.07,94.836,386.32,512.7,321.24,231.29,236.65,393.92,461.83,239.72,139.42,119.36,329.81,328.82,187.53,106.39,66.249,301.87,554.06,273.59,140.82,114.59,568.29,619.88,308.48,229.09,215.65,450.35,621.41,250.27,145.43,111.45,530.68,523.96,256.62,188.8,155.68,558.83,506.27,231.48,158.85,108.05,354.68,437.58,177.2,104.72,61.371,457.02,511.56,292.59,171.58,121.91,469.49,427.15,245.33,154.65,126.12,787.07,526.6,282.01,146.5,81.346,661.53,548.33,286.66,166.68,109.63,607.8,475.83,273.93,185.54,139,442.19,390.75,239.54,140.28,98.956,676.08,441.44,263.52,141.86,83.122,460.1,276.63,220.58,146.71,70.595,370.4,420.24,222.89,131.06,91.526,530.36,425.99,275.48,173.13,140.69,433.65,430.31,230.4,130.55,97.191,361.83,344.8,178.99,108.57,63.594,346.86,485.82,271.87,165.77,120.77,544,471.33,267.68,205.25,169.22,452.87,553.75,247.99,138.72,96.82,595.68,537.06,233.03,135.79,92.785,-1
476.05,462.38,282.24,168.55,133.27,493.68,496.04,313.75,177.45,157.71,500.82,536.23,353.43,194.1,206.57,558.59,520.36,300.16,215.06,181.24,276.41,378.91,216.49,149.6,132.4,195.07,344.77,269.8,134.53,121.88,331.4,387.05,225.65,153.06,133.22,448.37,568.39,399.08,268.34,309.88,382.97,476.05,236.37,157.49,135.5,349.33,362.72,193.11,119.58,68.686,426.89,617.02,280.2,177.98,152.64,586.68,621.89,319.58,233.11,227.48,509.09,740.12,251.93,146.27,116.74,560.98,583.22,267.37,174.94,162.02,573.38,492.57,252.9,139.24,121.44,391.23,458.32,203.03,116.56,73.994,428.27,492,316.97,192.77,139.2,423.58,469.43,277.25,179.98,149.93,606.45,457.28,291.41,153.82,95.715,525.51,500.82,336.61,188.81,125.12,469.3,469.73,336.16,179.8,124.01,396.21,419.23,260.72,147.27,105.34,522.38,415.93,273.77,143.54,94.773,362.64,284.25,222.98,152.4,75.959,296.86,416.9,230.93,154.78,107.39,421.79,563.98,288.04,187.72,183.65,380.05,393.56,226.08,132.8,117.44,341.06,379.15,184.81,125.13,73.591,445.37,566.4,306.19,201.16,174.05,383.44,416.74,281.99,211.02,193.46,482.57,552.12,275.15,159.84,136.19,558.59,488.79,260.37,137.26,120.86,-1
