@relation valence 

@attribute Theta1_1 numeric
@attribute Alpha1_1 numeric
@attribute LowBeta1_1 numeric
@attribute HighBeta1_1 numeric
@attribute Gamma1_1 numeric
@attribute Theta2_1 numeric
@attribute Alpha2_1 numeric
@attribute LowBeta2_1 numeric
@attribute HighBeta2_1 numeric
@attribute Gamma2_1 numeric
@attribute Theta3_1 numeric
@attribute Alpha3_1 numeric
@attribute LowBeta3_1 numeric
@attribute HighBeta3_1 numeric
@attribute Gamma3_1 numeric
@attribute Theta4_1 numeric
@attribute Alpha4_1 numeric
@attribute LowBeta4_1 numeric
@attribute HighBeta4_1 numeric
@attribute Gamma4_1 numeric
@attribute Theta5_1 numeric
@attribute Alpha5_1 numeric
@attribute LowBeta5_1 numeric
@attribute HighBeta5_1 numeric
@attribute Gamma5_1 numeric
@attribute Theta6_1 numeric
@attribute Alpha6_1 numeric
@attribute LowBeta6_1 numeric
@attribute HighBeta6_1 numeric
@attribute Gamma6_1 numeric
@attribute Theta7_1 numeric
@attribute Alpha7_1 numeric
@attribute LowBeta7_1 numeric
@attribute HighBeta7_1 numeric
@attribute Gamma7_1 numeric
@attribute Theta8_1 numeric
@attribute Alpha8_1 numeric
@attribute LowBeta8_1 numeric
@attribute HighBeta8_1 numeric
@attribute Gamma8_1 numeric
@attribute Theta9_1 numeric
@attribute Alpha9_1 numeric
@attribute LowBeta9_1 numeric
@attribute HighBeta9_1 numeric
@attribute Gamma9_1 numeric
@attribute Theta10_1 numeric
@attribute Alpha10_1 numeric
@attribute LowBeta10_1 numeric
@attribute HighBeta10_1 numeric
@attribute Gamma10_1 numeric
@attribute Theta11_1 numeric
@attribute Alpha11_1 numeric
@attribute LowBeta11_1 numeric
@attribute HighBeta11_1 numeric
@attribute Gamma11_1 numeric
@attribute Theta12_1 numeric
@attribute Alpha12_1 numeric
@attribute LowBeta12_1 numeric
@attribute HighBeta12_1 numeric
@attribute Gamma12_1 numeric
@attribute Theta13_1 numeric
@attribute Alpha13_1 numeric
@attribute LowBeta13_1 numeric
@attribute HighBeta13_1 numeric
@attribute Gamma13_1 numeric
@attribute Theta14_1 numeric
@attribute Alpha14_1 numeric
@attribute LowBeta14_1 numeric
@attribute HighBeta14_1 numeric
@attribute Gamma14_1 numeric
@attribute Theta15_1 numeric
@attribute Alpha15_1 numeric
@attribute LowBeta15_1 numeric
@attribute HighBeta15_1 numeric
@attribute Gamma15_1 numeric
@attribute Theta16_1 numeric
@attribute Alpha16_1 numeric
@attribute LowBeta16_1 numeric
@attribute HighBeta16_1 numeric
@attribute Gamma16_1 numeric
@attribute Theta17_1 numeric
@attribute Alpha17_1 numeric
@attribute LowBeta17_1 numeric
@attribute HighBeta17_1 numeric
@attribute Gamma17_1 numeric
@attribute Theta18_1 numeric
@attribute Alpha18_1 numeric
@attribute LowBeta18_1 numeric
@attribute HighBeta18_1 numeric
@attribute Gamma18_1 numeric
@attribute Theta19_1 numeric
@attribute Alpha19_1 numeric
@attribute LowBeta19_1 numeric
@attribute HighBeta19_1 numeric
@attribute Gamma19_1 numeric
@attribute Theta20_1 numeric
@attribute Alpha20_1 numeric
@attribute LowBeta20_1 numeric
@attribute HighBeta20_1 numeric
@attribute Gamma20_1 numeric
@attribute Theta21_1 numeric
@attribute Alpha21_1 numeric
@attribute LowBeta21_1 numeric
@attribute HighBeta21_1 numeric
@attribute Gamma21_1 numeric
@attribute Theta22_1 numeric
@attribute Alpha22_1 numeric
@attribute LowBeta22_1 numeric
@attribute HighBeta22_1 numeric
@attribute Gamma22_1 numeric
@attribute Theta23_1 numeric
@attribute Alpha23_1 numeric
@attribute LowBeta23_1 numeric
@attribute HighBeta23_1 numeric
@attribute Gamma23_1 numeric
@attribute Theta24_1 numeric
@attribute Alpha24_1 numeric
@attribute LowBeta24_1 numeric
@attribute HighBeta24_1 numeric
@attribute Gamma24_1 numeric
@attribute Theta25_1 numeric
@attribute Alpha25_1 numeric
@attribute LowBeta25_1 numeric
@attribute HighBeta25_1 numeric
@attribute Gamma25_1 numeric
@attribute Theta26_1 numeric
@attribute Alpha26_1 numeric
@attribute LowBeta26_1 numeric
@attribute HighBeta26_1 numeric
@attribute Gamma26_1 numeric
@attribute Theta27_1 numeric
@attribute Alpha27_1 numeric
@attribute LowBeta27_1 numeric
@attribute HighBeta27_1 numeric
@attribute Gamma27_1 numeric
@attribute Theta28_1 numeric
@attribute Alpha28_1 numeric
@attribute LowBeta28_1 numeric
@attribute HighBeta28_1 numeric
@attribute Gamma28_1 numeric
@attribute Theta29_1 numeric
@attribute Alpha29_1 numeric
@attribute LowBeta29_1 numeric
@attribute HighBeta29_1 numeric
@attribute Gamma29_1 numeric
@attribute Theta30_1 numeric
@attribute Alpha30_1 numeric
@attribute LowBeta30_1 numeric
@attribute HighBeta30_1 numeric
@attribute Gamma30_1 numeric
@attribute Theta31_1 numeric
@attribute Alpha31_1 numeric
@attribute LowBeta31_1 numeric
@attribute HighBeta31_1 numeric
@attribute Gamma31_1 numeric
@attribute Theta32_1 numeric
@attribute Alpha32_1 numeric
@attribute LowBeta32_1 numeric
@attribute HighBeta32_1 numeric
@attribute Gamma32_1 numeric
@attribute class {-1,1}

@data
NaN,0,0,0,0,750.18,0,0,0,0,798.58,0,0,0,0,789.06,0,0,0,0,583.52,0,0,0,0,572.16,0,0,0,0,608.7,0,0,0,0,850.49,0,0,0,0,545.54,0,0,0,0,419.62,0,0,0,0,825.69,0,0,0,0,689.93,0,0,0,0,656.31,0,0,0,0,733.25,0,0,0,0,752.1,0,0,0,0,485.34,0,0,0,0,870.86,0,0,0,0,767.68,0,0,0,0,822.33,0,0,0,0,895.98,0,0,0,0,706.51,0,0,0,0,566.69,0,0,0,0,760.94,0,0,0,0,476.98,0,0,0,0,555.13,0,0,0,0,844.88,0,0,0,0,442.59,0,0,0,0,421.52,0,0,0,0,947.1,0,0,0,0,572.51,0,0,0,0,867.88,0,0,0,0,783.87,0,0,0,0,1
769.01,0,0,0,0,895.25,0,0,0,0,939.34,0,0,0,0,966.64,0,0,0,0,667.68,0,0,0,0,711.34,0,0,0,0,736.19,0,0,0,0,1091,0,0,0,0,638.1,0,0,0,0,485.78,0,0,0,0,996.97,0,0,0,0,786.79,0,0,0,0,722.71,0,0,0,0,812.67,0,0,0,0,863.83,0,0,0,0,534.65,0,0,0,0,1038.3,0,0,0,0,936.31,0,0,0,0,950.53,0,0,0,0,1054.9,0,0,0,0,837.97,0,0,0,0,635.65,0,0,0,0,902.57,0,0,0,0,541.41,0,0,0,0,682.75,0,0,0,0,957.25,0,0,0,0,481.35,0,0,0,0,487.74,0,0,0,0,1179.6,0,0,0,0,610.43,0,0,0,0,1060.8,0,0,0,0,928.62,0,0,0,0,1
724.16,0,0,0,0,837.45,0,0,0,0,909.42,0,0,0,0,974.99,0,0,0,0,711.25,0,0,0,0,650.41,0,0,0,0,709.69,0,0,0,0,1053.7,0,0,0,0,630.43,0,0,0,0,455.4,0,0,0,0,1009.6,0,0,0,0,816.8,0,0,0,0,683.07,0,0,0,0,738.59,0,0,0,0,791.25,0,0,0,0,493.59,0,0,0,0,1084.5,0,0,0,0,926.14,0,0,0,0,1029.6,0,0,0,0,1104.1,0,0,0,0,751.67,0,0,0,0,648.91,0,0,0,0,948.78,0,0,0,0,505.93,0,0,0,0,676.14,0,0,0,0,998.88,0,0,0,0,510.7,0,0,0,0,468.76,0,0,0,0,1143.6,0,0,0,0,589.8,0,0,0,0,1000,0,0,0,0,859.29,0,0,0,0,1
524.28,0,0,0,0,565.82,0,0,0,0,582.63,0,0,0,0,625.45,0,0,0,0,456.09,0,0,0,0,470.92,0,0,0,0,449.19,0,0,0,0,632.12,0,0,0,0,455.93,0,0,0,0,395.06,0,0,0,0,576.41,0,0,0,0,602.26,0,0,0,0,555.92,0,0,0,0,594.5,0,0,0,0,584.84,0,0,0,0,433.02,0,0,0,0,635.65,0,0,0,0,582.04,0,0,0,0,622.27,0,0,0,0,677.3,0,0,0,0,598.26,0,0,0,0,479.97,0,0,0,0,657.88,0,0,0,0,462.67,0,0,0,0,446.91,0,0,0,0,620.68,0,0,0,0,389.33,0,0,0,0,406.46,0,0,0,0,644.46,0,0,0,0,478.35,0,0,0,0,618.23,0,0,0,0,620.65,0,0,0,0,1
684.97,0,0,0,0,761.98,0,0,0,0,799.83,0,0,0,0,805.55,0,0,0,0,551.74,0,0,0,0,594.74,0,0,0,0,614.35,0,0,0,0,885.73,0,0,0,0,560.26,0,0,0,0,442.16,0,0,0,0,822.39,0,0,0,0,675.31,0,0,0,0,692.97,0,0,0,0,760.22,0,0,0,0,773.89,0,0,0,0,501.95,0,0,0,0,889.02,0,0,0,0,818.92,0,0,0,0,780.61,0,0,0,0,858.11,0,0,0,0,720.38,0,0,0,0,589.4,0,0,0,0,753.81,0,0,0,0,514.76,0,0,0,0,567.28,0,0,0,0,809.29,0,0,0,0,458.76,0,0,0,0,440.1,0,0,0,0,973.47,0,0,0,0,583.81,0,0,0,0,919.85,0,0,0,0,857.27,0,0,0,0,1
720.22,0,0,0,0,852.18,0,0,0,0,904.28,0,0,0,0,971.96,0,0,0,0,687.2,0,0,0,0,694.02,0,0,0,0,767.59,0,0,0,0,1205.1,0,0,0,0,620.16,0,0,0,0,429.87,0,0,0,0,1107.1,0,0,0,0,737.78,0,0,0,0,684.3,0,0,0,0,718.21,0,0,0,0,735.34,0,0,0,0,491.24,0,0,0,0,1034.1,0,0,0,0,930.49,0,0,0,0,789.62,0,0,0,0,994.72,0,0,0,0,750.66,0,0,0,0,642.9,0,0,0,0,754.93,0,0,0,0,482.6,0,0,0,0,716.96,0,0,0,0,972.42,0,0,0,0,444.41,0,0,0,0,417.01,0,0,0,0,1286.9,0,0,0,0,562.96,0,0,0,0,1029.1,0,0,0,0,768.93,0,0,0,0,1
805.67,0,0,0,0,935.13,0,0,0,0,969.87,0,0,0,0,1007,0,0,0,0,721.47,0,0,0,0,694.22,0,0,0,0,653.51,0,0,0,0,1066,0,0,0,0,658.73,0,0,0,0,501.62,0,0,0,0,1039.7,0,0,0,0,889.51,0,0,0,0,755.5,0,0,0,0,842.49,0,0,0,0,874.47,0,0,0,0,512.83,0,0,0,0,1082.2,0,0,0,0,984.07,0,0,0,0,1094.1,0,0,0,0,1155.6,0,0,0,0,752.91,0,0,0,0,629.56,0,0,0,0,973.91,0,0,0,0,542.27,0,0,0,0,672.27,0,0,0,0,945.48,0,0,0,0,522.95,0,0,0,0,459.69,0,0,0,0,1135.4,0,0,0,0,674.33,0,0,0,0,1031.6,0,0,0,0,915.17,0,0,0,0,1
687.47,0,0,0,0,762.78,0,0,0,0,784.37,0,0,0,0,839.7,0,0,0,0,646.83,0,0,0,0,590.25,0,0,0,0,598.08,0,0,0,0,1005.6,0,0,0,0,559.33,0,0,0,0,434.22,0,0,0,0,906.72,0,0,0,0,670.28,0,0,0,0,639.51,0,0,0,0,684.92,0,0,0,0,703.61,0,0,0,0,471.69,0,0,0,0,938.26,0,0,0,0,772.35,0,0,0,0,826.91,0,0,0,0,933.99,0,0,0,0,677.81,0,0,0,0,559.57,0,0,0,0,804.54,0,0,0,0,477.93,0,0,0,0,604.62,0,0,0,0,827,0,0,0,0,453.78,0,0,0,0,439.75,0,0,0,0,1046.6,0,0,0,0,518.18,0,0,0,0,885.95,0,0,0,0,726.75,0,0,0,0,-1
753.65,0,0,0,0,934.66,0,0,0,0,1025.1,0,0,0,0,1018.1,0,0,0,0,714.45,0,0,0,0,663.32,0,0,0,0,784.43,0,0,0,0,1217.2,0,0,0,0,700.14,0,0,0,0,501.17,0,0,0,0,1088.3,0,0,0,0,778.26,0,0,0,0,688.73,0,0,0,0,695.18,0,0,0,0,699.44,0,0,0,0,469.02,0,0,0,0,1078.1,0,0,0,0,982.43,0,0,0,0,955.06,0,0,0,0,1075.8,0,0,0,0,707.1,0,0,0,0,689.74,0,0,0,0,859.53,0,0,0,0,467.33,0,0,0,0,735.92,0,0,0,0,1066.1,0,0,0,0,522.74,0,0,0,0,418.94,0,0,0,0,1300.9,0,0,0,0,599.01,0,0,0,0,1049.3,0,0,0,0,801.07,0,0,0,0,-1
705.98,0,0,0,0,794.74,0,0,0,0,832.26,0,0,0,0,864.71,0,0,0,0,634.06,0,0,0,0,674.48,0,0,0,0,626.72,0,0,0,0,882.57,0,0,0,0,620.39,0,0,0,0,447.62,0,0,0,0,838.71,0,0,0,0,793.77,0,0,0,0,679.94,0,0,0,0,741.88,0,0,0,0,770.67,0,0,0,0,485.97,0,0,0,0,888.29,0,0,0,0,842.14,0,0,0,0,1028,0,0,0,0,1025.1,0,0,0,0,792.39,0,0,0,0,641.55,0,0,0,0,928.01,0,0,0,0,554.5,0,0,0,0,636.96,0,0,0,0,902.19,0,0,0,0,543.1,0,0,0,0,480.46,0,0,0,0,938.62,0,0,0,0,687.36,0,0,0,0,872.42,0,0,0,0,810,0,0,0,0,-1
