@relation valence 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
454.69,431.54,334.61,200.37,141.31,750.18,573.01,391.59,207.42,135.32,798.58,607.68,416.2,219.37,143.25,789.06,610.92,355.23,210.13,156.34,583.52,443.32,259.97,168.35,128.86,572.16,430.92,305.01,172.52,116.32,608.7,502.93,264.36,184.71,130.14,850.49,631.36,417.8,299.43,287.12,545.54,580.03,285.17,190.31,143.06,419.62,426.16,243.6,145.58,89.759,825.69,688.5,338.5,204.19,163.05,689.93,714.78,369.58,262.6,221.97,656.31,774.27,319.08,207.03,165.72,733.25,701.23,362.72,272.14,233.77,752.1,647.55,319.37,199.14,155.55,485.34,526.37,259.6,138.66,91.708,870.86,580.55,387.48,213.06,150.43,767.68,548.61,341.68,212.58,166.66,822.33,578.21,360.41,179.38,113.47,895.98,608.97,388.55,207.82,139.41,706.51,578.04,399.7,211.61,155.94,566.69,510.18,313.56,183.88,129.72,760.94,527.37,335.56,181.06,117.91,476.98,344.47,277.93,184.43,91.825,555.13,491.4,294.63,185.98,123.18,844.88,624,350.58,240.15,197.91,442.59,509.52,275.72,167.95,122.24,421.52,407.99,243.33,149.36,86.864,947.1,690.97,368.42,222.79,176.16,572.51,561.84,300.62,191.54,171.29,867.88,724.52,342.52,194.67,138.29,783.87,687.32,320.73,180.97,125.04,1
769.01,594.18,370.71,209.33,165.27,895.25,629.44,392.19,202.28,141.51,939.34,648.76,420.93,227.03,144.37,966.64,672.37,446.26,310.97,284.91,667.68,512.69,279.73,179.9,140.4,711.34,465.78,323.3,158.67,109.6,736.19,518.99,295.78,176.28,129.69,1091,708.04,440.09,335.08,312.01,638.1,587.23,283.64,177.89,135.97,485.78,446.89,236.79,150.31,96.008,996.97,756.41,325.95,211.57,156.7,786.79,744.73,339.5,227.21,193.46,722.71,805.88,308.14,177.42,132.06,812.67,709.42,309.61,194.28,156.98,863.83,685.43,298.06,176.59,136.05,534.65,565.37,248.5,131.82,95.219,1038.3,661.27,374.07,217.94,162.73,936.31,583.73,330.11,204.38,163.3,950.53,607.27,364.46,171.46,109.59,1054.9,685.51,383.88,219.9,143.76,837.97,612.18,391.17,241.54,181.67,635.65,526.47,315.06,183.77,123.79,902.57,561.77,343.4,173.12,112.39,541.41,379.33,283.65,177.37,89.274,682.75,504.63,296.13,177.76,113.98,957.25,645.88,367.01,230.79,203.14,481.35,501.9,283.32,164.55,121.25,487.74,456.32,238.53,145.01,87.72,1179.6,730.55,382.39,228.6,174.1,610.43,569.55,319.77,212.1,187.57,1060.8,777.76,347.3,197.89,142.92,928.62,743.14,312.93,186.69,141.82,1
724.16,618.84,384.05,227.94,165.95,837.45,666.12,423.5,249.96,163.38,909.42,696.91,485.23,305.63,223.67,974.99,687.86,434.17,325.52,304.75,711.25,504.02,291.5,204.56,212.8,650.41,470.69,329.65,206.9,154.52,709.69,524.93,313.51,213.33,184.54,1053.7,704.39,445.24,360.87,357.26,630.43,630.1,312.21,197.2,164.44,455.4,484,248.73,157,97.917,1009.6,787.55,358.31,206.29,159.39,816.8,789.79,388.06,269.05,233.41,683.07,848.46,317.87,189.59,130.04,738.59,760.59,333.32,195.89,147.05,791.25,742.3,323.82,194.58,141.33,493.59,589.12,247.42,145.86,93.691,1084.5,705.47,396.59,219.44,154.17,926.14,628.47,353.12,198.56,162.97,1029.6,626.04,401.67,193.86,118.18,1104.1,753.04,431.96,232.22,148.69,751.67,655.48,416.2,255.33,218.65,648.91,575.06,359.64,243.09,169,948.78,577.87,384.83,183.26,118.24,505.93,378.86,300.22,188.27,96.171,676.14,564.9,316.76,203.18,146.07,998.88,694.42,432.9,245.5,254.23,510.7,561.96,300.45,195.05,176.67,468.76,454.27,248.48,160.71,96.197,1143.6,777.21,388.24,237.83,183.73,589.8,645.73,322.63,239.3,195.87,1000,876.34,363.57,214.3,156.35,859.29,859.75,341.95,202.71,158.01,1
524.28,516.67,331.05,202.06,131.64,565.82,532.38,357.54,209.29,129.93,582.63,544.9,395.97,226.81,135.7,625.45,541.25,328.25,213.22,157.39,456.09,414.14,262.73,170.23,123.43,470.92,387.16,288.83,166.68,105.03,449.19,420.97,265.31,174.52,116.64,632.12,616.67,497.35,372.13,376.94,455.93,515.72,285.36,171.8,133.45,395.06,401.95,226.86,145.51,89.267,576.41,642.37,322.34,188.97,133.49,602.26,667.9,335.61,229.77,190.59,555.92,756.74,304.02,171.72,124.22,594.5,662.12,312.86,188.46,150.98,584.84,637.49,301.15,163.45,124.11,433.02,512.13,232.1,145.42,89.329,635.65,543.36,358.39,205.78,134.39,582.04,507.87,324.02,183.31,140.68,622.27,515.44,367.8,180.79,106.44,677.3,546.78,384.38,195.77,125.74,598.26,535.98,378.6,223.94,158.27,479.97,469.04,301.65,181.49,118.54,657.88,471.15,345.91,176.27,110.62,462.67,325.05,273.66,191.24,97.436,446.91,426.96,266.65,178.27,109.12,620.68,549.41,406.67,259.76,239.86,389.33,467.27,265.81,182.97,135.89,406.46,390.99,219.18,150.47,86.443,644.46,627.91,346.45,217.8,154.08,478.35,556.06,315.98,229.8,188.39,618.23,703.86,327.82,185.39,128.76,620.65,708.68,317.72,169.03,121.26,1
684.97,533.81,345.6,207.18,162.73,761.98,559.86,375.11,202.45,132.7,799.83,589.85,411.08,220.61,144.21,805.55,596.71,352.95,224.3,179.19,551.74,480.59,265.98,191.2,155.36,594.74,452.45,305.06,172.15,120.58,614.35,487.92,277.83,206.13,157.23,885.73,710.77,480.96,379.13,360.78,560.26,572.22,305.59,222.11,184.31,442.16,415.53,238.41,154.07,95.321,822.39,680.23,336.37,201.41,165.56,675.31,737.56,367.35,249.56,223.01,692.97,764.05,314.14,189.47,135.79,760.22,684.88,323.43,211.43,168.67,773.89,633.4,304.71,186.88,140.69,501.95,553.51,248.17,140.96,94.486,889.02,566.44,360.98,211.76,155.03,818.92,546.2,320.12,207.92,171.87,780.61,559.97,357.93,185.75,114.06,858.11,609.11,387.85,211.29,142.11,720.38,553.7,372.45,227.8,157.64,589.4,482.61,307.47,190.6,137.31,753.81,527.66,342.93,185.23,117.81,514.76,370.45,285.78,186.2,99.04,567.28,483.01,292.67,190.87,129.42,809.29,609.3,391.34,302.69,274.99,458.76,494.41,274.91,169.55,128.15,440.1,448.86,245.69,156.92,92.919,973.47,712.31,364.37,236.15,186.6,583.81,567.08,307.58,218.81,196.03,919.85,751.28,332.76,202.08,156.01,857.27,704.03,307.86,190.26,145.17,1
720.22,577.71,355.82,196.68,146.27,852.18,617.9,406.38,238.64,169.28,904.28,672.38,468.71,333.02,225.48,971.96,642.72,389.64,296.05,225.78,687.2,502,272.88,207.09,175.02,694.02,489.4,332.99,209.21,143.18,767.59,558.38,301.65,211.71,153.96,1205.1,717.68,494.31,384.66,393.21,620.16,679.85,296.87,197.89,162.24,429.87,506.11,242.54,158.37,91.354,1107.1,824.73,351.1,205.59,161.4,737.78,817.44,400.24,287.72,266.12,684.3,923.52,335.43,198.9,161.1,718.21,792.29,361.6,250.46,227.62,735.34,720.69,334.05,196.17,155.62,491.24,594.98,247.54,148.42,95.482,1034.1,662.33,387.89,216.33,152.49,930.49,631.39,345.59,206.27,163.25,789.62,598.66,380.25,189.33,119.68,994.72,665.34,406.56,216.79,143.84,750.66,628.36,401.13,233.5,167.36,642.9,571.19,324.89,204,152.03,754.93,565.55,355.47,186.36,115.57,482.6,377.3,301.09,194.66,95.028,716.96,591.05,316.21,189.92,125.18,972.42,669.82,390.66,261.48,223.34,444.41,528.41,291.83,166.72,118.83,417.01,439.49,236.16,154.85,88.857,1286.9,744.77,391.76,226.67,170.95,562.96,597.84,310.51,198.45,154.53,1029.1,802.59,372.16,197.58,138.4,768.93,789.74,343.7,192.44,131.33,1
805.67,636.49,371.44,232.62,170.71,935.13,711.65,403.83,220.46,147.25,969.87,758.32,434.95,232.69,151.34,1007,717.69,377.12,220.25,178.46,721.47,548.67,278.02,163.79,126.39,694.22,553.65,322.98,180.38,122.67,653.51,578.59,296.62,183.6,138.11,1066,767.47,465.36,307.35,319.52,658.73,647.12,305.28,193.58,157.83,501.62,504.02,263.13,156.02,98.223,1039.7,801.41,346.35,196.86,168.34,889.51,871.96,388.94,268.82,250.38,755.5,872.83,321.33,178.27,124.95,842.49,786.35,327.23,191.27,146.05,874.47,778.4,328.5,196.59,160.07,512.83,612.29,248.75,143.44,90.613,1082.2,735.34,384.03,232.27,162.96,984.07,649.24,356.51,225.12,170.72,1094.1,774.88,383.65,184.25,113.55,1155.6,796.02,415.67,220.31,156,752.91,653.94,410.77,245.5,189.44,629.56,562.92,330.46,189.88,130.54,973.91,669.46,360.98,174.78,120.57,542.27,438.66,291.24,181.63,91.922,672.27,602.33,305.18,189.27,121.77,945.48,702.01,379.15,242.44,197.86,522.95,591.86,295.33,179.66,135.84,459.69,490.91,241.88,156.2,88.965,1135.4,833.26,378.69,236.6,192.93,674.33,706.09,355.32,260.41,235.04,1031.6,934.69,352.91,204.22,169.36,915.17,915.38,351.43,216.47,186.11,1
687.47,594.8,356.91,218.39,154.18,762.78,620.43,394.49,225.37,139.16,784.37,633.56,433.65,236.94,154.32,839.7,635.88,372.27,229.4,177.8,646.83,516.6,291.84,182.07,157.82,590.25,468.32,332.25,184.83,130.57,598.08,519.77,299.74,195.6,148.04,1005.6,761.96,534.46,427.99,454.02,559.33,652.45,293.27,186.89,152.84,434.22,489.1,253.46,153.15,94.157,906.72,830.87,358.23,228.89,184.12,670.28,804.8,349.26,228.16,188.33,639.51,893.92,322.32,192.05,133.11,684.92,744.09,320.81,202.09,161.44,703.61,686.73,314.36,198.17,168.94,471.69,587.93,254.02,146.14,91.828,938.26,667.6,395.72,242.28,170.11,772.35,587.29,352.7,227.98,189.71,826.91,630.25,390.65,198.43,116.56,933.99,665.99,413.56,223.87,153.72,677.81,595.15,386,223.45,151.76,559.57,522.89,319.03,187.9,125.84,804.54,586.91,364.96,193.46,127.59,477.93,399.24,300.99,190.37,98.923,604.62,548.29,296.49,199.4,129.69,827,658.64,421.97,274.94,254.72,453.78,523.02,288.71,177.44,120.62,439.75,466.72,244.9,153.86,87.115,1046.6,755.7,391.68,263.22,206.84,518.18,595.58,285.39,195.38,158.41,885.95,789.22,353.67,223.46,174.54,726.75,752.12,328.38,229.36,195.93,-1
753.65,583.53,351.95,208.15,132.18,934.66,627.17,401.4,211.1,127.57,1025.1,657.54,454.64,234.63,151.59,1018.1,652.62,434.54,323.09,292.36,714.45,482.94,283.31,178.54,174.26,663.32,479.29,321.8,171.7,112.33,784.43,488.4,301.25,186.26,131.88,1217.2,670.53,482.39,326.61,328.69,700.14,593.71,290.77,172.43,127.56,501.17,429.58,243.84,159.05,93.146,1088.3,744.14,332.41,190.21,137.51,778.26,755.53,340.64,228.96,187.21,688.73,810.78,318.11,177.88,136.13,695.18,726.6,323.15,207.48,173.52,699.44,663.64,297.9,178.25,137.77,469.02,494.31,243.06,150.56,95.664,1078.1,649.45,374.69,225.05,139.32,982.43,597.01,320.1,199.56,138.49,955.06,628.5,367.7,191.57,112.2,1075.8,671.11,373.19,209.11,130.26,707.1,599.32,407.24,247.66,180.31,689.74,526.88,349.28,211.29,161.59,859.53,545.59,335.35,182.62,116.49,467.33,360.44,287.71,190.26,96.906,735.92,507.08,333.22,218.71,166.43,1066.1,621.16,406.19,267.72,237.78,522.74,503.88,298.22,184.89,134.21,418.94,391.34,242.83,166.46,97.899,1300.9,687.45,374.89,221.33,156.6,599.01,586.42,325.82,231.26,207.87,1049.3,738.99,341.96,192.34,134.37,801.07,713.35,311.71,177,131.12,-1
705.98,657.03,363.32,204.52,143.86,794.74,704.61,404.23,216.09,135.21,832.26,717.08,434,223.9,137.43,864.71,680.27,356.9,195.01,143.06,634.06,532.34,277.15,163.2,108.9,674.48,502.76,316.16,168.48,111.08,626.72,530.39,287.51,159.43,121.01,882.57,699.34,436.24,296.99,299.57,620.39,658.04,302.48,177.82,146.74,447.62,508.38,249.69,143.25,88.178,838.71,836.61,361.6,192.57,153,793.77,882.4,406.56,275.67,267.58,679.94,956.24,348.44,191.16,148.83,741.88,797.02,359.32,237.55,206.27,770.67,737.45,329.47,192.33,143.23,485.97,675.2,262.06,142.82,88.877,888.29,728.25,398.36,227.73,160.25,842.14,646,350.72,200.96,158.01,1028,709.69,385.16,188.23,113.23,1025.1,758.15,426.48,222.37,148.14,792.39,663.81,400.75,234.32,172.72,641.55,560.96,325.85,186.94,124.92,928.01,630.05,373.19,185.68,111.84,554.5,405.66,298.12,189.92,94.919,636.96,576.04,306.59,171.91,119.5,902.19,649.06,365.7,225.56,178.56,543.1,569.37,291.4,176.91,127.49,480.46,518.59,252.86,146.55,87.236,938.62,765.88,378.53,224.35,162.35,687.36,661.59,339.34,249.87,206.33,872.42,855.05,356.66,189.93,134.31,810,817.3,333.38,177.78,124.1,-1
