class,Theta_1,Alpha_1,LowBeta_1,HighBeta_1,Gamma_1,Theta_2,Alpha_2,LowBeta_2,HighBeta_2,Gamma_2,Theta_3,Alpha_3,LowBeta_3,HighBeta_3,Gamma_3,Theta_4,Alpha_4,LowBeta_4,HighBeta_4,Gamma_4,Theta_5,Alpha_5,LowBeta_5,HighBeta_5,Gamma_5,Theta_6,Alpha_6,LowBeta_6,HighBeta_6,Gamma_6,Theta_7,Alpha_7,LowBeta_7,HighBeta_7,Gamma_7,Theta_8,Alpha_8,LowBeta_8,HighBeta_8,Gamma_8,Theta_9,Alpha_9,LowBeta_9,HighBeta_9,Gamma_9,Theta_10,Alpha_10,LowBeta_10,HighBeta_10,Gamma_10,Theta_11,Alpha_11,LowBeta_11,HighBeta_11,Gamma_11,Theta_12,Alpha_12,LowBeta_12,HighBeta_12,Gamma_12,Theta_13,Alpha_13,LowBeta_13,HighBeta_13,Gamma_13,Theta_14,Alpha_14,LowBeta_14,HighBeta_14,Gamma_14,Theta_15,Alpha_15,LowBeta_15,HighBeta_15,Gamma_15,Theta_16,Alpha_16,LowBeta_16,HighBeta_16,Gamma_16,Theta_17,Alpha_17,LowBeta_17,HighBeta_17,Gamma_17,Theta_18,Alpha_18,LowBeta_18,HighBeta_18,Gamma_18,Theta_19,Alpha_19,LowBeta_19,HighBeta_19,Gamma_19,Theta_20,Alpha_20,LowBeta_20,HighBeta_20,Gamma_20,Theta_21,Alpha_21,LowBeta_21,HighBeta_21,Gamma_21,Theta_22,Alpha_22,LowBeta_22,HighBeta_22,Gamma_22,Theta_23,Alpha_23,LowBeta_23,HighBeta_23,Gamma_23,Theta_24,Alpha_24,LowBeta_24,HighBeta_24,Gamma_24,Theta_25,Alpha_25,LowBeta_25,HighBeta_25,Gamma_25,Theta_26,Alpha_26,LowBeta_26,HighBeta_26,Gamma_26,Theta_27,Alpha_27,LowBeta_27,HighBeta_27,Gamma_27,Theta_28,Alpha_28,LowBeta_28,HighBeta_28,Gamma_28,Theta_29,Alpha_29,LowBeta_29,HighBeta_29,Gamma_29,Theta_30,Alpha_30,LowBeta_30,HighBeta_30,Gamma_30,Theta_31,Alpha_31,LowBeta_31,HighBeta_31,Gamma_31,Theta_32,Alpha_32,LowBeta_32,HighBeta_32,Gamma_32,Theta_33,Alpha_33,LowBeta_33,HighBeta_33,Gamma_33,Theta_34,Alpha_34,LowBeta_34,HighBeta_34,Gamma_34,Theta_35,Alpha_35,LowBeta_35,HighBeta_35,Gamma_35,Theta_36,Alpha_36,LowBeta_36,HighBeta_36,Gamma_36,Theta_37,Alpha_37,LowBeta_37,HighBeta_37,Gamma_37,Theta_38,Alpha_38,LowBeta_38,HighBeta_38,Gamma_38,Theta_39,Alpha_39,LowBeta_39,HighBeta_39,Gamma_39,Theta_40,Alpha_40,LowBeta_40,HighBeta_40,Gamma_40
1,665.42,544.39,363.65,200.37,141.31,750.18,573.01,391.59,207.42,135.32,798.58,607.68,416.2,219.37,143.25,789.06,610.92,355.23,210.13,156.34,583.52,443.32,259.97,168.35,128.86,572.16,430.92,305.01,172.52,116.32,608.7,502.93,264.36,184.71,130.14,850.49,631.36,417.8,299.43,287.12,545.54,580.03,285.17,190.31,143.06,419.62,426.16,243.6,145.58,89.759,825.69,688.5,338.5,204.19,163.05,689.93,714.78,369.58,262.6,221.97,656.31,774.27,319.08,207.03,165.72,733.25,701.23,362.72,272.14,233.77,752.1,647.55,319.37,199.14,155.55,485.34,526.37,259.6,138.66,91.708,870.86,580.55,387.48,213.06,150.43,767.68,548.61,341.68,212.58,166.66,822.33,578.21,360.41,179.38,113.47,895.98,608.97,388.55,207.82,139.41,706.51,578.04,399.7,211.61,155.94,566.69,510.18,313.56,183.88,129.72,760.94,527.37,335.56,181.06,117.91,476.98,344.47,277.93,184.43,91.825,555.13,491.4,294.63,185.98,123.18,844.88,624,350.58,240.15,197.91,442.59,509.52,275.72,167.95,122.24,421.52,407.99,243.33,149.36,86.864,947.1,690.97,368.42,222.79,176.16,572.51,561.84,300.62,191.54,171.29,867.88,724.52,342.52,194.67,138.29,783.87,687.32,320.73,180.97,125.04,1600.5,805.71,436.25,354.38,365.43,1174.4,464.05,295.66,246.39,234.86,536.99,397.72,256.78,226.25,205.92,2139.7,1396.8,942.67,461.05,228.78,5093.4,2562.4,1520.8,1145.7,1365,39676,24260,16000,13295,11510,99830,28607,16681,12504,9968,0.34945,0.17676,0.10448,0.078712,0.063167
1,769.01,594.18,370.71,209.33,165.27,895.25,629.44,392.19,202.28,141.51,939.34,648.76,420.93,227.03,144.37,966.64,672.37,446.26,310.97,284.91,667.68,512.69,279.73,179.9,140.4,711.34,465.78,323.3,158.67,109.6,736.19,518.99,295.78,176.28,129.69,1091,708.04,440.09,335.08,312.01,638.1,587.23,283.64,177.89,135.97,485.78,446.89,236.79,150.31,96.008,996.97,756.41,325.95,211.57,156.7,786.79,744.73,339.5,227.21,193.46,722.71,805.88,308.14,177.42,132.06,812.67,709.42,309.61,194.28,156.98,863.83,685.43,298.06,176.59,136.05,534.65,565.37,248.5,131.82,95.219,1038.3,661.27,374.07,217.94,162.73,936.31,583.73,330.11,204.38,163.3,950.53,607.27,364.46,171.46,109.59,1054.9,685.51,383.88,219.9,143.76,837.97,612.18,391.17,241.54,181.67,635.65,526.47,315.06,183.77,123.79,902.57,561.77,343.4,173.12,112.39,541.41,379.33,283.65,177.37,89.274,682.75,504.63,296.13,177.76,113.98,957.25,645.88,367.01,230.79,203.14,481.35,501.9,283.32,164.55,121.25,487.74,456.32,238.53,145.01,87.72,1179.6,730.55,382.39,228.6,174.1,610.43,569.55,319.77,212.1,187.57,1060.8,777.76,347.3,197.89,142.92,928.62,743.14,312.93,186.69,141.82,1628.6,827.32,413.08,317.2,306.17,1567.1,584.72,333.17,267.75,236.21,518.01,325.94,215.03,183.78,168.54,1991.3,1428.4,907.91,445.12,267.76,52945,26738,15739,11832,9930.5,1.15E+05,83759,52977,43994,37146,90277,16549,9074.3,6802,5409.6,0.22134,0.11293,0.067707,0.050964,0.04138
1,724.16,618.84,384.05,227.94,165.95,837.45,666.12,423.5,249.96,163.38,909.42,696.91,485.23,305.63,223.67,974.99,687.86,434.17,325.52,304.75,711.25,504.02,291.5,204.56,212.8,650.41,470.69,329.65,206.9,154.52,709.69,524.93,313.51,213.33,184.54,1053.7,704.39,445.24,360.87,357.26,630.43,630.1,312.21,197.2,164.44,455.4,484,248.73,157,97.917,1009.6,787.55,358.31,206.29,159.39,816.8,789.79,388.06,269.05,233.41,683.07,848.46,317.87,189.59,130.04,738.59,760.59,333.32,195.89,147.05,791.25,742.3,323.82,194.58,141.33,493.59,589.12,247.42,145.86,93.691,1084.5,705.47,396.59,219.44,154.17,926.14,628.47,353.12,198.56,162.97,1029.6,626.04,401.67,193.86,118.18,1104.1,753.04,431.96,232.22,148.69,751.67,655.48,416.2,255.33,218.65,648.91,575.06,359.64,243.09,169,948.78,577.87,384.83,183.26,118.24,505.93,378.86,300.22,188.27,96.171,676.14,564.9,316.76,203.18,146.07,998.88,694.42,432.9,245.5,254.23,510.7,561.96,300.45,195.05,176.67,468.76,454.27,248.48,160.71,96.197,1143.6,777.21,388.24,237.83,183.73,589.8,645.73,322.63,239.3,195.87,1000,876.34,363.57,214.3,156.35,859.29,859.75,341.95,202.71,158.01,1514.1,756.79,415.41,312.33,289.96,1425.7,554.25,332.64,241.99,232.96,488.27,309.65,228.28,187.19,181.56,1967.4,1361.3,908.47,451.03,218.72,3.15E+05,1.59E+05,93507,70247,56370,1.01E+05,64467,42302,35483,28691,96628,22146,12489,9402.6,7472.6,0.53874,0.27098,0.15984,0.12065,0.096253
1,700.97,545.91,331.57,214.36,152.3,860.88,568.72,364.16,211.79,134.64,938.08,587.27,410.66,227.99,151.11,922.7,610.13,366.73,232.32,185.63,651.73,463.78,271.72,179.8,143.32,592.1,442,310.62,174.69,118.91,707.39,466.46,272.43,180.14,130.25,997.96,662.28,470.71,359.24,371.78,657.8,547.1,262.38,175.74,131.45,443.56,440.03,231.3,156.17,93.196,936.45,677.19,304.12,195.99,142.91,770.7,669.8,309.63,210.73,171.99,688.48,782.17,300.62,189.05,141.09,752.63,710.88,319.61,216.75,181.24,765.55,683.87,290.35,184.96,136.15,500.61,527.39,229.89,145.54,92.519,1032.9,599.42,353.11,226.26,154.18,1029.6,581.09,322.65,207.63,160.67,1091.8,591.53,350.5,182.4,110.73,1118.5,628.58,366.63,206.5,138.18,759.72,616.66,379.18,249.29,180.04,709.65,527.97,313.53,205.16,152.21,956.51,546.59,330.59,190.11,118.01,947.04,441.88,312.36,202.72,108.64,641.65,510.63,288.04,188.35,117.84,987.28,608.75,411.76,244.93,229.26,524.03,479.42,266.43,168.49,106.35,442.81,405.26,238.62,158.67,90.728,1109,646.15,348.04,222.15,164.54,560.7,508.21,263.28,173.22,123.84,958.78,729.18,321.23,192.86,135.85,830.28,742.23,302.05,183.49,127.43,2205.2,832.28,412.66,300.44,256.32,1320.4,555.32,342.67,257.3,231.57,2025.8,1031.5,616.94,476.84,380.06,1937.9,1356.2,887.49,444.33,238.28,62611,31624,18615,13935,11149,35731,24384,16474,14256,11488,1.71E+05,42037,24105,18062,14333,0.056093,0.032032,0.024131,0.021678,0.019944
-1,524.28,516.67,331.05,202.06,131.64,565.82,532.38,357.54,209.29,129.93,582.63,544.9,395.97,226.81,135.7,625.45,541.25,328.25,213.22,157.39,456.09,414.14,262.73,170.23,123.43,470.92,387.16,288.83,166.68,105.03,449.19,420.97,265.31,174.52,116.64,632.12,616.67,497.35,372.13,376.94,455.93,515.72,285.36,171.8,133.45,395.06,401.95,226.86,145.51,89.267,576.41,642.37,322.34,188.97,133.49,602.26,667.9,335.61,229.77,190.59,555.92,756.74,304.02,171.72,124.22,594.5,662.12,312.86,188.46,150.98,584.84,637.49,301.15,163.45,124.11,433.02,512.13,232.1,145.42,89.329,635.65,543.36,358.39,205.78,134.39,582.04,507.87,324.02,183.31,140.68,622.27,515.44,367.8,180.79,106.44,677.3,546.78,384.38,195.77,125.74,598.26,535.98,378.6,223.94,158.27,479.97,469.04,301.65,181.49,118.54,657.88,471.15,345.91,176.27,110.62,462.67,325.05,273.66,191.24,97.436,446.91,426.96,266.65,178.27,109.12,620.68,549.41,406.67,259.76,239.86,389.33,467.27,265.81,182.97,135.89,406.46,390.99,219.18,150.47,86.443,644.46,627.91,346.45,217.8,154.08,478.35,556.06,315.98,229.8,188.39,618.23,703.86,327.82,185.39,128.76,620.65,708.68,317.72,169.03,121.26,1020.3,598.78,364.1,276.84,242.94,1443.8,751.15,474.7,350.99,284,663.55,402.45,290.51,220.77,197.23,2660.8,1616.5,1049.9,603.25,404.57,64587,32597,19173,14377,11507,43916,30275,20206,16504,14542,1.48E+05,15387,6863.6,5203.9,4112.6,0.16671,0.085118,0.051991,0.040214,0.033439
-1,684.97,533.81,345.6,207.18,162.73,761.98,559.86,375.11,202.45,132.7,799.83,589.85,411.08,220.61,144.21,805.55,596.71,352.95,224.3,179.19,551.74,480.59,265.98,191.2,155.36,594.74,452.45,305.06,172.15,120.58,614.35,487.92,277.83,206.13,157.23,885.73,710.77,480.96,379.13,360.78,560.26,572.22,305.59,222.11,184.31,442.16,415.53,238.41,154.07,95.321,822.39,680.23,336.37,201.41,165.56,675.31,737.56,367.35,249.56,223.01,692.97,764.05,314.14,189.47,135.79,760.22,684.88,323.43,211.43,168.67,773.89,633.4,304.71,186.88,140.69,501.95,553.51,248.17,140.96,94.486,889.02,566.44,360.98,211.76,155.03,818.92,546.2,320.12,207.92,171.87,780.61,559.97,357.93,185.75,114.06,858.11,609.11,387.85,211.29,142.11,720.38,553.7,372.45,227.8,157.64,589.4,482.61,307.47,190.6,137.31,753.81,527.66,342.93,185.23,117.81,514.76,370.45,285.78,186.2,99.04,567.28,483.01,292.67,190.87,129.42,809.29,609.3,391.34,302.69,274.99,458.76,494.41,274.91,169.55,128.15,440.1,448.86,245.69,156.92,92.919,973.47,712.31,364.37,236.15,186.6,583.81,567.08,307.58,218.81,196.03,919.85,751.28,332.76,202.08,156.01,857.27,704.03,307.86,190.26,145.17,1863.6,953.27,539.18,436.21,430.95,1266.2,557.27,330.72,266.92,238.67,1153.9,606.61,383.83,301.19,255.8,2159.1,1464.7,926.95,502.16,294.47,76217,38499,22642,16963,13658,49040,28407,21116,17856,14463,1.18E+05,19123,10090,7579.5,6046.2,0.21717,0.1101,0.065581,0.049667,0.041019
-1,720.22,577.71,355.82,196.68,146.27,852.18,617.9,406.38,238.64,169.28,904.28,672.38,468.71,333.02,225.48,971.96,642.72,389.64,296.05,225.78,687.2,502,272.88,207.09,175.02,694.02,489.4,332.99,209.21,143.18,767.59,558.38,301.65,211.71,153.96,1205.1,717.68,494.31,384.66,393.21,620.16,679.85,296.87,197.89,162.24,429.87,506.11,242.54,158.37,91.354,1107.1,824.73,351.1,205.59,161.4,737.78,817.44,400.24,287.72,266.12,684.3,923.52,335.43,198.9,161.1,718.21,792.29,361.6,250.46,227.62,735.34,720.69,334.05,196.17,155.62,491.24,594.98,247.54,148.42,95.482,1034.1,662.33,387.89,216.33,152.49,930.49,631.39,345.59,206.27,163.25,789.62,598.66,380.25,189.33,119.68,994.72,665.34,406.56,216.79,143.84,750.66,628.36,401.13,233.5,167.36,642.9,571.19,324.89,204,152.03,754.93,565.55,355.47,186.36,115.57,482.6,377.3,301.09,194.66,95.028,716.96,591.05,316.21,189.92,125.18,972.42,669.82,390.66,261.48,223.34,444.41,528.41,291.83,166.72,118.83,417.01,439.49,236.16,154.85,88.857,1286.9,744.77,391.76,226.67,170.95,562.96,597.84,310.51,198.45,154.53,1029.1,802.59,372.16,197.58,138.4,768.93,789.74,343.7,192.44,131.33,1704.5,828.49,482.64,427.66,364.41,1774,622.26,323.74,244.39,220.28,451.24,287.95,219.4,189.87,170.44,2100.3,1367.7,901.22,435.83,219.33,77899,39315,23144,17363,13859,85311,46405,29791,23682,19552,1.52E+05,60601,35347,26529,21130,0.53568,0.26994,0.15888,0.11958,0.095748
-1,805.67,636.49,371.44,232.62,170.71,935.13,711.65,403.83,220.46,147.25,969.87,758.32,434.95,232.69,151.34,1007,717.69,377.12,220.25,178.46,721.47,548.67,278.02,163.79,126.39,694.22,553.65,322.98,180.38,122.67,653.51,578.59,296.62,183.6,138.11,1066,767.47,465.36,307.35,319.52,658.73,647.12,305.28,193.58,157.83,501.62,504.02,263.13,156.02,98.223,1039.7,801.41,346.35,196.86,168.34,889.51,871.96,388.94,268.82,250.38,755.5,872.83,321.33,178.27,124.95,842.49,786.35,327.23,191.27,146.05,874.47,778.4,328.5,196.59,160.07,512.83,612.29,248.75,143.44,90.613,1082.2,735.34,384.03,232.27,162.96,984.07,649.24,356.51,225.12,170.72,1094.1,774.88,383.65,184.25,113.55,1155.6,796.02,415.67,220.31,156,752.91,653.94,410.77,245.5,189.44,629.56,562.92,330.46,189.88,130.54,973.91,669.46,360.98,174.78,120.57,542.27,438.66,291.24,181.63,91.922,672.27,602.33,305.18,189.27,121.77,945.48,702.01,379.15,242.44,197.86,522.95,591.86,295.33,179.66,135.84,459.69,490.91,241.88,156.2,88.965,1135.4,833.26,378.69,236.6,192.93,674.33,706.09,355.32,260.41,235.04,1031.6,934.69,352.91,204.22,169.36,915.17,915.38,351.43,216.47,186.11,1764.6,807,380.27,244.13,197.54,1392.5,563.96,324.58,270.73,259.23,464.14,276.12,202.39,159.46,133.18,1955.5,1339,880.12,443.12,211.69,17447,8808.1,5180,3933.3,3404.2,83301,57075,39270,30490,26947,1.06E+05,23112,12937,9702.6,7758.5,0.050551,0.028682,0.022451,0.020901,0.018546
-1,837.1,659.88,394.24,226.49,187.32,999.77,702.41,424.7,214.02,149.12,1077.7,730.59,456.74,229.22,161.48,1110.7,750.47,382,228.71,175.53,806.75,546.74,307.19,208.57,167.31,780.83,521.9,341.44,181.05,125.7,795.6,601.68,312,192.22,156.47,1265.3,827.03,560.86,457.23,461.73,722.02,675.83,324.54,213.09,195.21,500.91,502.9,249.4,156.81,101.4,1250.5,840.6,387.21,226.18,184.77,944.63,816.51,425.48,304.04,285.76,829.8,920.64,336.34,188.18,142.52,884.47,815.88,352.34,214.59,180.37,916.11,772.24,335.08,199.22,159.91,590.17,609.24,253.31,148.23,101.72,1230.9,773.97,419.04,230.45,182.79,1189.7,695.9,353.81,221.16,186.72,1284.5,696.45,416.89,187.64,117.36,1310.6,806.09,421.67,237.69,163.01,846.22,708.95,417.81,273.37,224.14,720.59,629.61,325.99,197.87,139.11,1151.6,675.52,389.92,190.59,122.92,575.95,418.6,308.6,196.28,97.534,781.49,642.21,324.2,183.97,133.28,1091.7,740.92,436.95,285.34,270.92,550.02,567.5,309.45,199.6,165.27,504.7,463.04,250.84,161.58,97.766,1384.7,831,409.9,251.36,205.83,689.67,643.78,387.49,309.97,307.04,1173.9,874.56,374.39,217.6,170.87,966.83,822.66,351.03,208.13,168.37,1775.6,896.72,464.69,409.42,337.95,1778.7,691.13,377.88,285.6,274.43,479.02,306.26,223.95,193.18,168.17,2074.4,1386.4,915.52,455.74,246.05,1.21E+05,61035,35895,26958,21442,1.18E+05,81210,55416,42833,38434,1.49E+05,59651,34790,26148,20768,0.76268,0.38546,0.22673,0.17088,0.13519
-1,753.65,583.53,351.95,208.15,132.18,934.66,627.17,401.4,211.1,127.57,1025.1,657.54,454.64,234.63,151.59,1018.1,652.62,434.54,323.09,292.36,714.45,482.94,283.31,178.54,174.26,663.32,479.29,321.8,171.7,112.33,784.43,488.4,301.25,186.26,131.88,1217.2,670.53,482.39,326.61,328.69,700.14,593.71,290.77,172.43,127.56,501.17,429.58,243.84,159.05,93.146,1088.3,744.14,332.41,190.21,137.51,778.26,755.53,340.64,228.96,187.21,688.73,810.78,318.11,177.88,136.13,695.18,726.6,323.15,207.48,173.52,699.44,663.64,297.9,178.25,137.77,469.02,494.31,243.06,150.56,95.664,1078.1,649.45,374.69,225.05,139.32,982.43,597.01,320.1,199.56,138.49,955.06,628.5,367.7,191.57,112.2,1075.8,671.11,373.19,209.11,130.26,707.1,599.32,407.24,247.66,180.31,689.74,526.88,349.28,211.29,161.59,859.53,545.59,335.35,182.62,116.49,467.33,360.44,287.71,190.26,96.906,735.92,507.08,333.22,218.71,166.43,1066.1,621.16,406.19,267.72,237.78,522.74,503.88,298.22,184.89,134.21,418.94,391.34,242.83,166.46,97.899,1300.9,687.45,374.89,221.33,156.6,599.01,586.42,325.82,231.26,207.87,1049.3,738.99,341.96,192.34,134.37,801.07,713.35,311.71,177,131.12,1726.6,714.6,366.45,267.03,204.14,1641.8,570.23,300.13,200.61,189.36,486,302.3,207.51,173.79,147.12,3116.5,1818.1,1124.4,734.85,556.49,1.35E+05,68236,40177,30121,23982,38901,24601,17226,14601,11941,1.10E+05,15674,8406.2,6293.5,4998.2,0.76153,0.38679,0.2271,0.17106,0.13617
